col_1,col_2,division
,Senator In The General Assembly 2nd District - Democrat,All
,Christine M Tartaglione,All
Christine M Tartaglione,"1,354",All
Total,"1,354",All
,Senator In The General Assembly 2nd District - Democrat,1
,Christine M Tartaglione,1
Christine M Tartaglione,49,1
Total,49,1
,Senator In The General Assembly 2nd District - Democrat,2
,Christine M Tartaglione,2
Christine M Tartaglione,54,2
Total,54,2
,Senator In The General Assembly 2nd District - Democrat,3
,Christine M Tartaglione,3
Christine M Tartaglione,55,3
Total,55,3
,Senator In The General Assembly 2nd District - Democrat,4
,Christine M Tartaglione,4
Christine M Tartaglione,62,4
Total,62,4
,Senator In The General Assembly 2nd District - Democrat,5
,Christine M Tartaglione,5
Christine M Tartaglione,53,5
Total,53,5
,Senator In The General Assembly 2nd District - Democrat,6
,Christine M Tartaglione,6
Christine M Tartaglione,55,6
Total,55,6
,Senator In The General Assembly 2nd District - Democrat,7
,Christine M Tartaglione,7
Christine M Tartaglione,61,7
Total,61,7
,Senator In The General Assembly 2nd District - Democrat,8
,Christine M Tartaglione,8
Christine M Tartaglione,57,8
Total,57,8
,Senator In The General Assembly 2nd District - Democrat,9
,Christine M Tartaglione,9
Christine M Tartaglione,51,9
Total,51,9
,Senator In The General Assembly 2nd District - Democrat,10
,Christine M Tartaglione,10
Christine M Tartaglione,48,10
Total,48,10
,Senator In The General Assembly 2nd District - Democrat,11
,Christine M Tartaglione,11
Christine M Tartaglione,136,11
Total,136,11
,Senator In The General Assembly 2nd District - Democrat,12
,Christine M Tartaglione,12
Christine M Tartaglione,40,12
Total,40,12
,Senator In The General Assembly 2nd District - Democrat,13
,Christine M Tartaglione,13
Christine M Tartaglione,58,13
Total,58,13
,Senator In The General Assembly 2nd District - Democrat,14
,Christine M Tartaglione,14
Christine M Tartaglione,78,14
Total,78,14
,Senator In The General Assembly 2nd District - Democrat,15
,Christine M Tartaglione,15
Christine M Tartaglione,43,15
Total,43,15
,Senator In The General Assembly 2nd District - Democrat,16
,Christine M Tartaglione,16
Christine M Tartaglione,23,16
Total,23,16
,Senator In The General Assembly 2nd District - Democrat,17
,Christine M Tartaglione,17
Christine M Tartaglione,33,17
Total,33,17
,Senator In The General Assembly 2nd District - Democrat,18
,Christine M Tartaglione,18
Christine M Tartaglione,47,18
Total,47,18
,Senator In The General Assembly 2nd District - Democrat,19
,Christine M Tartaglione,19
Christine M Tartaglione,36,19
Total,36,19
,Senator In The General Assembly 2nd District - Democrat,20
,Christine M Tartaglione,20
Christine M Tartaglione,51,20
Total,51,20
,Senator In The General Assembly 2nd District - Democrat,21
,Christine M Tartaglione,21
Christine M Tartaglione,48,21
Total,48,21
,Senator In The General Assembly 2nd District - Democrat,22
,Christine M Tartaglione,22
Christine M Tartaglione,45,22
Total,45,22
,Senator In The General Assembly 2nd District - Democrat,23
,Christine M Tartaglione,23
Christine M Tartaglione,96,23
Total,96,23
,Senator In The General Assembly 2nd District - Democrat,24
,Christine M Tartaglione,24
Christine M Tartaglione,36,24
Total,36,24
,Senator In The General Assembly 2nd District - Democrat,25
,Christine M Tartaglione,25
Christine M Tartaglione,39,25
Total,39,25
