col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,All
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
Camille G Mccolgan,6,181,200,121,117,132,80,60,11,3,All
Linwood Holland,,7,169,93,85,124,89,55,5,4,All
Margaret L Recupido,,,5,107,101,116,83,62,11,5,All
Dan Tinney,,,,2,112,45,49,79,16,6,All
Joseph Giedemann,,,,,4,47,43,66,10,7,All
Kathy Coder,,,,,,16,0,0,0,8,All
Diana Irey Vaughan,,,,,,,40,0,0,9,All
Jeff Bartos,,,,,,,,12,0,10,All
Peg Luksik,,,,,,,,,7,11,All
Total,306,299,296,199,177,230,182,130,27,12,All
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,1
,Dan Tinney,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,1
Dan Tinney,0,5,4,4,4,3,2,2,0,3,1
Linwood Holland,,0,3,4,3,4,1,2,0,4,1
Margaret L Recupido,,,0,3,1,4,1,2,0,5,1
Camille G Mccolgan,,,,0,2,3,1,1,0,6,1
Joseph Giedemann,,,,,0,1,3,1,0,7,1
Diana Irey Vaughan,,,,,,0,0,0,0,8,1
Kathy Coder,,,,,,,0,0,0,9,1
Jeff Bartos,,,,,,,,0,0,10,1
Peg Luksik,,,,,,,,,0,11,1
Total,7,7,7,5,5,7,4,2,0,12,1
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,2
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,2
Linwood Holland,0,6,5,3,3,3,3,2,0,3,2
Camille G Mccolgan,,0,4,3,2,0,4,2,0,4,2
Margaret L Recupido,,,0,3,2,2,1,2,0,5,2
Dan Tinney,,,,0,2,1,2,2,0,6,2
Joseph Giedemann,,,,,0,1,1,2,0,7,2
Diana Irey Vaughan,,,,,,2,0,0,0,8,2
Kathy Coder,,,,,,,0,0,0,9,2
Jeff Bartos,,,,,,,,0,0,10,2
Peg Luksik,,,,,,,,,1,11,2
Total,9,7,6,5,4,6,4,3,1,12,2
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,3
,Diana Irey Vaughan,Peg Luksik,Jeff Bartos,Kathy Coder,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,2,3
Diana Irey Vaughan,2,0,0,0,3,3,2,1,0,3,3
Peg Luksik,,1,0,0,0,1,1,0,0,4,3
Jeff Bartos,,,1,0,0,0,0,0,0,5,3
Kathy Coder,,,,0,1,0,0,0,0,6,3
Linwood Holland,,,,,0,3,3,1,0,7,3
Margaret L Recupido,,,,,,0,4,1,0,8,3
Camille G Mccolgan,,,,,,,0,1,0,9,3
Dan Tinney,,,,,,,,0,0,10,3
Joseph Giedemann,,,,,,,,,0,11,3
Total,6,2,1,1,5,5,4,1,0,12,3
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,4
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Linwood Holland,Joseph Giedemann,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,2,4
Camille G Mccolgan,0,5,3,3,3,4,2,0,0,3,4
Margaret L Recupido,,0,3,3,3,3,3,0,0,4,4
Dan Tinney,,,0,1,2,2,1,1,0,5,4
Linwood Holland,,,,0,1,2,2,0,0,6,4
Joseph Giedemann,,,,,0,3,0,0,0,7,4
Diana Irey Vaughan,,,,,,0,0,0,0,8,4
Kathy Coder,,,,,,,1,0,0,9,4
Peg Luksik,,,,,,,,0,0,10,4
Jeff Bartos,,,,,,,,,0,11,4
Total,6,6,4,4,3,5,4,1,0,12,4
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,5
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,5
Margaret L Recupido,0,9,9,7,5,6,3,2,0,3,5
Camille G Mccolgan,,0,7,5,3,7,1,2,0,4,5
Linwood Holland,,,0,6,4,4,3,2,0,5,5
Dan Tinney,,,,0,4,3,4,1,0,6,5
Joseph Giedemann,,,,,0,2,3,1,0,7,5
Kathy Coder,,,,,,0,0,0,0,8,5
Jeff Bartos,,,,,,,0,0,0,9,5
Diana Irey Vaughan,,,,,,,,0,0,10,5
Peg Luksik,,,,,,,,,0,11,5
Total,11,10,9,8,6,7,4,2,0,12,5
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,6
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,6
Linwood Holland,0,13,9,2,3,17,2,3,0,3,6
Margaret L Recupido,,1,12,6,6,10,3,4,0,4,6
Camille G Mccolgan,,,2,4,5,9,5,2,0,5,6
