col_1,col_2,col_3,col_4,order,division
,Member Of The - Republican State Committee 2nd Congressional District,,,1,All
,Walt Vogler,Calvin R Tucker,Denise Furey,2,All
Walt Vogler,5,7,6,3,All
Calvin R Tucker,,3,6,4,All
Denise Furey,,,2,5,All
Total,12,10,8,6,All
,Member Of The - Republican State Committee 2nd Congressional District,,,1,1
,Calvin R Tucker,Denise Furey,Walt Vogler,2,1
Calvin R Tucker,0,2,2,3,1
Denise Furey,,0,2,4,1
Walt Vogler,,,0,5,1
Total,2,2,2,6,1
,Member Of The - Republican State Committee 2nd Congressional District,,,1,5
,Denise Furey,Calvin R Tucker,Walt Vogler,2,5
Denise Furey,1,0,0,3,5
Calvin R Tucker,,0,0,4,5
Walt Vogler,,,0,5,5
Total,1,0,0,6,5
,Member Of The - Republican State Committee 2nd Congressional District,,,1,6
,Calvin R Tucker,Denise Furey,Walt Vogler,2,6
Calvin R Tucker,1,0,0,3,6
Denise Furey,,0,0,4,6
Walt Vogler,,,0,5,6
Total,1,0,0,6,6
,Member Of The - Republican State Committee 2nd Congressional District,,,1,7
,Walt Vogler,Calvin R Tucker,Denise Furey,2,7
Walt Vogler,1,0,0,3,7
Calvin R Tucker,,0,0,4,7
Denise Furey,,,0,5,7
Total,1,0,0,6,7
,Member Of The - Republican State Committee 2nd Congressional District,,,1,8
,Calvin R Tucker,Denise Furey,Walt Vogler,2,8
Calvin R Tucker,1,0,0,3,8
Denise Furey,,0,0,4,8
Walt Vogler,,,0,5,8
Total,1,0,0,6,8
,Member Of The - Republican State Committee 2nd Congressional District,,,1,9
,Walt Vogler,Calvin R Tucker,Denise Furey,2,9
Walt Vogler,1,0,0,3,9
Calvin R Tucker,,0,0,4,9
Denise Furey,,,0,5,9
Total,1,0,0,6,9
,Member Of The - Republican State Committee 2nd Congressional District,,,1,10
,Walt Vogler,Calvin R Tucker,Denise Furey,2,10
Walt Vogler,1,0,0,3,10
Calvin R Tucker,,0,0,4,10
Denise Furey,,,0,5,10
Total,1,0,0,6,10
,Member Of The - Republican State Committee 2nd Congressional District,,,1,15
,Calvin R Tucker,Denise Furey,Walt Vogler,2,15
Calvin R Tucker,1,0,0,3,15
Denise Furey,,0,0,4,15
Walt Vogler,,,0,5,15
Total,1,0,0,6,15
,Member Of The - Republican State Committee 2nd Congressional District,,,1,16
,Walt Vogler,Calvin R Tucker,Denise Furey,2,16
Walt Vogler,1,1,1,3,16
Calvin R Tucker,,0,1,4,16
Denise Furey,,,0,5,16
Total,2,1,1,6,16
,Member Of The - Republican State Committee 2nd Congressional District,,,1,17
,Calvin R Tucker,Walt Vogler,Denise Furey,2,17
Calvin R Tucker,0,2,1,3,17
Walt Vogler,,0,1,4,17
Denise Furey,,,0,5,17
Total,2,2,1,6,17
,Member Of The - Republican State Committee 2nd Congressional District,,,1,18
,Denise Furey,Walt Vogler,Calvin R Tucker,2,18
Denise Furey,1,1,1,3,18
Walt Vogler,,1,1,4,18
Calvin R Tucker,,,0,5,18
Total,2,2,1,6,18
,Member Of The - Republican State Committee 2nd Congressional District,,,1,19
,Calvin R Tucker,Denise Furey,Walt Vogler,2,19
Calvin R Tucker,0,1,1,3,19
Denise Furey,,0,1,4,19
Walt Vogler,,,0,5,19
Total,1,1,1,6,19
