col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,,,,All
,Marylouise Isaacson,Rhea Powell,Micah Mahjoubian,Andi Perez,Darrell L Clarke,Amanda Mcillmurray,Tom Young,Judi Golding Baker,Mariel J K Martin,Noam Kugelmass,Joe Celentano,Jon Geeting,Matthew D Myers,Malcolm Kenyatta,Alex Deering,Gilberto Gonzalez,Lewis Nash Sr,Lewis Thomas Iii,All
Marylouise Isaacson,1,130,121,135,100,122,101,110,104,77,70,53,51,105,33,28,13,16,All
Rhea Powell,,1,102,111,68,122,90,86,87,82,80,51,29,79,31,27,28,21,All
Micah Mahjoubian,,,1,107,96,86,97,79,84,74,61,39,45,94,23,20,17,17,All
Andi Perez,,,,0,85,97,89,97,103,63,58,43,49,103,25,23,10,13,All
Darrell L Clarke,,,,,0,72,76,75,78,38,33,29,51,94,14,15,16,14,All
Amanda Mcillmurray,,,,,,1,71,81,77,67,54,38,22,71,26,23,12,15,All
Tom Young,,,,,,,0,61,69,61,65,48,46,66,22,15,19,16,All
Judi Golding Baker,,,,,,,,0,78,39,34,25,48,83,19,15,6,9,All
Mariel J K Martin,,,,,,,,,0,49,37,30,41,76,19,15,10,10,All
Noam Kugelmass,,,,,,,,,,2,53,37,15,46,19,16,12,13,All
Joe Celentano,,,,,,,,,,,0,32,23,36,19,14,11,13,All
Jon Geeting,,,,,,,,,,,,1,14,42,9,6,7,9,All
Matthew D Myers,,,,,,,,,,,,,0,46,9,5,2,2,All
Malcolm Kenyatta,,,,,,,,,,,,,,37,0,0,0,0,All
Alex Deering,,,,,,,,,,,,,,,8,0,0,0,All
Gilberto Gonzalez,,,,,,,,,,,,,,,,9,0,0,All
Lewis Nash Sr,,,,,,,,,,,,,,,,,2,0,All
Lewis Thomas Iii,,,,,,,,,,,,,,,,,,9,All
Total,204,193,181,179,157,153,143,137,136,112,95,76,66,202,57,53,44,44,All
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,,,,15
,Marylouise Isaacson,Micah Mahjoubian,Rhea Powell,Amanda Mcillmurray,Andi Perez,Mariel J K Martin,Tom Young,Darrell L Clarke,Judi Golding Baker,Joe Celentano,Noam Kugelmass,Jon Geeting,Matthew D Myers,Malcolm Kenyatta,Alex Deering,Gilberto Gonzalez,Lewis Nash Sr,Lewis Thomas Iii,15
Marylouise Isaacson,1,31,34,37,33,34,32,24,26,20,20,17,13,25,13,6,3,3,15
Micah Mahjoubian,,1,26,26,27,24,27,26,21,17,16,8,11,23,9,7,4,3,15
Rhea Powell,,,0,36,28,30,27,15,22,23,18,12,7,19,13,10,6,0,15
Amanda Mcillmurray,,,,0,27,28,25,22,21,17,19,13,7,23,11,8,4,2,15
Andi Perez,,,,,0,30,27,21,24,17,16,11,14,23,11,8,2,2,15
Mariel J K Martin,,,,,,0,26,21,24,12,12,10,11,22,10,7,2,0,15
Tom Young,,,,,,,0,22,20,21,15,13,15,18,10,6,5,2,15
Darrell L Clarke,,,,,,,,0,19,10,5,6,11,23,8,4,3,3,15
Judi Golding Baker,,,,,,,,,0,11,10,8,11,19,7,6,3,2,15
Joe Celentano,,,,,,,,,,0,12,8,8,8,7,6,3,3,15
Noam Kugelmass,,,,,,,,,,,0,7,0,6,7,5,3,2,15
Jon Geeting,,,,,,,,,,,,1,5,10,4,1,0,2,15
Matthew D Myers,,,,,,,,,,,,,0,11,5,0,0,1,15
Malcolm Kenyatta,,,,,,,,,,,,,,11,0,0,0,0,15
Alex Deering,,,,,,,,,,,,,,,3,0,0,0,15
Gilberto Gonzalez,,,,,,,,,,,,,,,,3,0,0,15
Lewis Nash Sr,,,,,,,,,,,,,,,,,0,0,15
Lewis Thomas Iii,,,,,,,,,,,,,,,,,,2,15
Total,54,50,50,49,48,42,42,41,38,28,25,19,17,53,21,17,11,7,15
,Representative In The General Assembly 181st District - Democrat,,,,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,20
,Malcolm Kenyatta,Alex Deering,Gilberto Gonzalez,Lewis Nash Sr,Lewis Thomas Iii,Marylouise Isaacson,Andi Perez,Rhea Powell,Micah Mahjoubian,Darrell L Clarke,Mariel J K Martin,Amanda Mcillmurray,Tom Young,Noam Kugelmass,Judi Golding Baker,Matthew D Myers,Joe Celentano,Jon Geeting,20
Malcolm Kenyatta,13,0,0,0,0,27,30,24,27,22,21,16,19,15,24,18,9,9,20
Alex Deering,,3,0,0,0,8,6,7,5,2,5,7,4,5,5,0,5,1,20
Gilberto Gonzalez,,,3,0,0,8,6,5,3,5,5,5,3,4,1,1,1,2,20
Lewis Nash Sr,,,,0,0,3,3,7,4,4,3,3,5,5,0,1,3,2,20
Lewis Thomas Iii,,,,,0,3,3,5,4,2,2,2,1,2,2,0,1,1,20
Marylouise Isaacson,,,,,,0,37,31,35,23,28,26,23,20,26,15,12,11,20
Andi Perez,,,,,,,0,30,30,22,30,24,22,19,25,18,13,11,20
Rhea Powell,,,,,,,,0,27,15,21,29,18,22,19,6,16,11,20
Micah Mahjoubian,,,,,,,,,0,23,22,21,27,22,21,16,14,8,20
Darrell L Clarke,,,,,,,,,,0,19,12,17,8,17,17,6,6,20
Mariel J K Martin,,,,,,,,,,,0,16,14,15,21,15,7,7,20
Amanda Mcillmurray,,,,,,,,,,,,1,13,17,18,4,11,7,20
Tom Young,,,,,,,,,,,,,0,16,14,16,13,9,20
Noam Kugelmass,,,,,,,,,,,,,,1,10,4,13,12,20
Judi Golding Baker,,,,,,,,,,,,,,,0,14,5,3,20
Matthew D Myers,,,,,,,,,,,,,,,,0,5,2,20
Joe Celentano,,,,,,,,,,,,,,,,,0,3,20
Jon Geeting,,,,,,,,,,,,,,,,,,0,20
Total,56,15,13,9,5,50,48,48,45,36,36,35,34,33,32,21,19,16,20
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,,,,23
