col_1,col_2,col_3,col_4,order,division
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,All
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,All
Tom Wolf,85,405,341,3,All
Brendan F Boyle,,40,0,4,All
Michele Lawrence,,,29,5,All
Total,831,445,370,6,All
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,1
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,1
Tom Wolf,5,21,16,3,1
Brendan F Boyle,,4,0,4,1
Michele Lawrence,,,2,5,1
Total,42,25,18,6,1
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,2
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,2
Tom Wolf,4,14,10,3,2
Michele Lawrence,,0,0,4,2
Brendan F Boyle,,,1,5,2
Total,28,14,11,6,2
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,3
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,3
Tom Wolf,10,32,25,3,3
Brendan F Boyle,,4,0,4,3
Michele Lawrence,,,1,5,3
Total,67,36,26,6,3
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,4
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,4
Tom Wolf,5,28,23,3,4
Brendan F Boyle,,2,0,4,4
Michele Lawrence,,,4,5,4
Total,56,30,27,6,4
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,5
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,5
Tom Wolf,6,35,27,3,5
Brendan F Boyle,,4,0,4,5
Michele Lawrence,,,0,5,5
Total,68,39,27,6,5
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,6
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,6
Tom Wolf,2,20,16,3,6
Brendan F Boyle,,6,0,4,6
Michele Lawrence,,,5,5,6
Total,38,26,21,6,6
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,7
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,7
Tom Wolf,6,25,13,3,7
Brendan F Boyle,,4,0,4,7
Michele Lawrence,,,4,5,7
Total,44,29,17,6,7
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,8
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,8
Tom Wolf,4,32,11,3,8
Brendan F Boyle,,2,0,4,8
Michele Lawrence,,,0,5,8
Total,47,34,11,6,8
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,9
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,9
Tom Wolf,3,9,6,3,9
Michele Lawrence,,0,0,4,9
Brendan F Boyle,,,0,5,9
Total,18,9,6,6,9
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,10
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,10
Tom Wolf,3,30,22,3,10
Brendan F Boyle,,1,0,4,10
Michele Lawrence,,,3,5,10
Total,55,31,25,6,10
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,11
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,11
Tom Wolf,3,22,19,3,11
