col_1,col_2,col_3,order,division
,United States Senator - Republican,,1,All
,Lou Barletta,Jim Christiana,2,All
Lou Barletta,32,0,3,All
Jim Christiana,,26,4,All
Total,32,26,5,All
,United States Senator - Republican,,1,1
,Jim Christiana,Lou Barletta,2,1
Jim Christiana,3,0,3,1
Lou Barletta,,2,4,1
Total,3,2,5,1
,United States Senator - Republican,,1,2
,Jim Christiana,Lou Barletta,2,2
Jim Christiana,3,0,3,2
Lou Barletta,,2,4,2
Total,3,2,5,2
,United States Senator - Republican,,1,3
,Lou Barletta,Jim Christiana,2,3
Lou Barletta,1,0,3,3
Jim Christiana,,0,4,3
Total,1,0,5,3
,United States Senator - Republican,,1,5
,Jim Christiana,Lou Barletta,2,5
Jim Christiana,1,0,3,5
Lou Barletta,,0,4,5
Total,1,0,5,5
,United States Senator - Republican,,1,7
,Jim Christiana,Lou Barletta,2,7
Jim Christiana,2,0,3,7
Lou Barletta,,1,4,7
Total,2,1,5,7
,United States Senator - Republican,,1,8
,Lou Barletta,Jim Christiana,2,8
Lou Barletta,2,0,3,8
Jim Christiana,,0,4,8
Total,2,0,5,8
,United States Senator - Republican,,1,9
,Lou Barletta,Jim Christiana,2,9
Lou Barletta,1,0,3,9
Jim Christiana,,0,4,9
Total,1,0,5,9
,United States Senator - Republican,,1,10
,Jim Christiana,Lou Barletta,2,10
Jim Christiana,2,0,3,10
Lou Barletta,,1,4,10
Total,2,1,5,10
,United States Senator - Republican,,1,13
,Jim Christiana,Lou Barletta,2,13
Jim Christiana,1,0,3,13
Lou Barletta,,1,4,13
Total,1,1,5,13
,United States Senator - Republican,,1,16
,Lou Barletta,Jim Christiana,2,16
Lou Barletta,6,0,3,16
Jim Christiana,,2,4,16
Total,6,2,5,16
,United States Senator - Republican,,1,17
,Lou Barletta,Jim Christiana,2,17
Lou Barletta,6,0,3,17
Jim Christiana,,1,4,17
Total,6,1,5,17
,United States Senator - Republican,,1,18
,Jim Christiana,Lou Barletta,2,18
Jim Christiana,3,0,3,18
Lou Barletta,,2,4,18
Total,3,2,5,18
,United States Senator - Republican,,1,19
,Lou Barletta,Jim Christiana,2,19
Lou Barletta,4,0,3,19
Jim Christiana,,3,4,19
Total,4,3,5,19
,United States Senator - Republican,,1,22
,Jim Christiana,Lou Barletta,2,22
Jim Christiana,2,0,3,22
Lou Barletta,,0,4,22
Total,2,0,5,22
,United States Senator - Republican,,1,23
,Jim Christiana,Lou Barletta,2,23
Jim Christiana,3,0,3,23
Lou Barletta,,3,4,23
Total,3,3,5,23
