col_1,col_2,col_3,col_4,order,division
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1,All
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2,All
Bob Casey Jr,"101,860","21,134","11,251",3,All
Brendan F Boyle,,"2,166",0,4,All
Michele Lawrence,,,"1,577",5,All
Total,"134,245","23,300","12,828",6,All
