col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
Nat Lownes,,,,,,,,,,,,0,0,0,14,1
John Brady,,,,,,,,,,,,,0,1,15,1
Joe Khan,,,,,,,,,,,,,,0,16,1
Total,28,17,15,11,7,7,6,5,4,4,4,4,2,1,17,1
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Tom Wolf,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Jacque Whaumbush,John Brady,Rebecca Poyourow,Joe Khan,2,2
Tom Wolf,5,30,24,22,20,18,11,9,7,7,5,5,4,1,3,2
Ken Washington,,3,18,18,16,16,9,7,5,5,3,4,1,1,4,2
Kathryn S Huggins,,,0,19,14,15,8,7,5,5,3,3,3,1,5,2
Dewayne Drummond,,,,0,14,18,10,8,7,6,3,4,4,1,6,2
Kevin Bundy,,,,,0,11,4,5,2,4,3,3,2,1,7,2
Liam G Boyle,,,,,,1,7,5,6,3,2,4,3,1,8,2
Linda Norris,,,,,,,0,8,6,5,3,2,2,0,9,2
Lisa Rhodes,,,,,,,,0,5,2,2,1,1,0,10,2
Monica Maria Djerassi,,,,,,,,,0,2,0,0,3,0,11,2
Nat Lownes,,,,,,,,,,0,1,1,2,1,12,2
Jacque Whaumbush,,,,,,,,,,,0,2,1,0,13,2
John Brady,,,,,,,,,,,,0,1,0,14,2
Rebecca Poyourow,,,,,,,,,,,,,0,0,15,2
Joe Khan,,,,,,,,,,,,,,0,16,2
Total,45,33,24,22,21,19,11,10,7,7,5,5,4,1,17,2
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,3
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Lisa Rhodes,John Brady,Linda Norris,Joe Khan,Monica Maria Djerassi,Nat Lownes,Jacque Whaumbush,Rebecca Poyourow,2,3
Tom Wolf,8,38,34,28,28,25,11,9,8,7,7,7,5,5,3,3
Kathryn S Huggins,,1,29,28,29,25,10,7,7,6,6,7,4,5,4,3
Ken Washington,,,2,25,25,21,6,6,6,7,3,5,4,4,5,3
Dewayne Drummond,,,,1,23,21,7,6,4,5,5,7,1,5,6,3
Liam G Boyle,,,,,0,21,6,4,4,5,5,6,3,3,7,3
Kevin Bundy,,,,,,1,6,6,5,5,4,7,3,4,8,3
Lisa Rhodes,,,,,,,0,4,7,2,5,2,4,2,9,3
John Brady,,,,,,,,0,2,4,1,3,1,0,10,3
Linda Norris,,,,,,,,,0,2,3,0,5,2,11,3
Joe Khan,,,,,,,,,,0,1,2,2,0,12,3
Monica Maria Djerassi,,,,,,,,,,,0,1,1,2,13,3
Nat Lownes,,,,,,,,,,,,0,0,2,14,3
Jacque Whaumbush,,,,,,,,,,,,,0,1,15,3
Rebecca Poyourow,,,,,,,,,,,,,,0,16,3
Total,57,41,38,31,30,26,11,9,8,7,7,7,5,5,17,3
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,4
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Rebecca Poyourow,Linda Norris,John Brady,Joe Khan,Monica Maria Djerassi,Nat Lownes,Jacque Whaumbush,2,4
Tom Wolf,3,27,24,18,17,18,10,11,8,7,6,5,6,3,3,4
Kathryn S Huggins,,0,16,14,15,13,7,9,7,6,3,3,5,2,4,4
Ken Washington,,,1,15,15,14,8,7,6,5,4,1,4,3,5,4
Dewayne Drummond,,,,0,13,14,6,5,7,4,3,2,4,2,6,4
Kevin Bundy,,,,,0,12,6,5,6,6,5,1,5,3,7,4
Liam G Boyle,,,,,,0,7,8,5,2,3,3,4,3,8,4
Lisa Rhodes,,,,,,,0,7,6,6,2,4,3,1,9,4
Rebecca Poyourow,,,,,,,,0,4,3,2,5,4,1,10,4
Linda Norris,,,,,,,,,0,5,2,3,1,1,11,4
John Brady,,,,,,,,,,0,3,2,3,0,12,4
Joe Khan,,,,,,,,,,,0,1,2,2,13,4
Monica Maria Djerassi,,,,,,,,,,,,1,1,0,14,4
Nat Lownes,,,,,,,,,,,,,0,0,15,4
Jacque Whaumbush,,,,,,,,,,,,,,0,16,4
Total,41,28,26,18,18,18,11,11,9,8,6,6,6,3,17,4
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,5
,Tom Wolf,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Jacque Whaumbush,Lisa Rhodes,John Brady,Rebecca Poyourow,Monica Maria Djerassi,Nat Lownes,Joe Khan,Linda Norris,2,5
Tom Wolf,6,40,32,25,24,23,11,11,7,8,7,6,6,6,3,5
Ken Washington,,0,25,22,22,22,8,9,5,6,4,6,4,6,4,5
Kathryn S Huggins,,,0,22,20,19,8,9,5,7,4,6,5,4,5,5
