V1,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,division
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,All
Mike Stack,485,0,0,0,0,0,All
Kathi Cozzone,,0,0,276,0,0,All
Nina Ahmad,,140,0,,0,0,All
John Fetterman,,,70,,0,0,All
Ray Sosa,,,,,17,0,All
Write In,,,,,,1,All
Total,485,140,70,276,17,1,All
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,1
Mike Stack,16,0,0,0,0,0,1
Kathi Cozzone,,0,0,12,0,0,1
Nina Ahmad,,10,0,,0,0,1
John Fetterman,,,2,,0,0,1
Ray Sosa,,,,,1,0,1
Write In,,,,,,1,1
Total,16,10,2,12,1,1,1
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,2
Mike Stack,24,0,0,0,0,0,2
Kathi Cozzone,,0,0,15,0,0,2
Nina Ahmad,,12,0,,0,0,2
John Fetterman,,,6,,0,0,2
Ray Sosa,,,,,2,0,2
Write In,,,,,,1,2
Total,24,12,6,15,2,1,2
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,3
Kathi Cozzone,0,0,0,17,0,0,3
Mike Stack,17,0,0,,0,0,3
Nina Ahmad,,8,0,,0,0,3
John Fetterman,,,4,,0,0,3
Ray Sosa,,,,,2,0,3
Write In,,,,,,1,3
Total,17,8,4,17,2,1,3
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,4
Mike Stack,20,0,0,0,0,0,4
Nina Ahmad,,13,0,0,0,0,4
Kathi Cozzone,,,0,4,0,0,4
John Fetterman,,,2,,0,0,4
Ray Sosa,,,,,1,0,4
Write In,,,,,,1,4
Total,20,13,2,4,1,1,4
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,5
Kathi Cozzone,0,0,0,36,0,0,5
Mike Stack,22,0,0,,0,0,5
Nina Ahmad,,11,0,,0,0,5
John Fetterman,,,5,,0,0,5
Ray Sosa,,,,,3,0,5
Write In,,,,,,1,5
Total,22,11,5,36,3,1,5
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,6
Kathi Cozzone,0,0,0,11,0,0,6
Mike Stack,11,0,0,,0,0,6
Nina Ahmad,,8,0,,0,0,6
John Fetterman,,,4,,0,0,6
Ray Sosa,,,,,1,0,6
Write In,,,,,,1,6
Total,11,8,4,11,1,1,6
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,7
Kathi Cozzone,0,0,0,22,0,0,7
Mike Stack,21,0,0,,0,0,7
Nina Ahmad,,13,0,,0,0,7
John Fetterman,,,1,,0,0,7
Ray Sosa,,,,,1,0,7
Write In,,,,,,1,7
Total,21,13,1,22,1,1,7
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,8
Mike Stack,38,0,0,0,0,0,8
Kathi Cozzone,,0,0,10,0,0,8
Nina Ahmad,,10,0,,0,0,8
John Fetterman,,,3,,0,0,8
Ray Sosa,,,,,3,0,8
Write In,,,,,,1,8
Total,38,10,3,10,3,1,8
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,9
Mike Stack,60,0,0,0,0,0,9
Kathi Cozzone,,0,0,9,0,0,9
Nina Ahmad,,5,0,,0,0,9
John Fetterman,,,2,,0,0,9
Ray Sosa,,,,,1,0,9
Write In,,,,,,1,9
Total,60,5,2,9,1,1,9
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,10
Mike Stack,40,0,0,0,0,0,10
Kathi Cozzone,,0,0,26,0,0,10
Nina Ahmad,,14,0,,0,0,10
Ray Sosa,,,0,,3,0,10
John Fetterman,,,2,,,0,10
Write In,,,,,,1,10
Total,40,14,2,26,3,1,10
