col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,All
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Linda Norris,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Kathryn S Huggins,64,"1,950","1,917","1,609","1,380","1,136","1,152","1,157",639,675,477,373,397,"1,566",625,594,165,13,3,All
Dewayne Drummond,,28,"1,788","1,515","1,045","1,025",943,946,470,464,403,299,275,"1,201",450,412,101,15,4,All
Ken Washington,,,17,"1,531","1,021","1,013",939,903,504,423,391,289,232,"1,246",414,397,113,9,5,All
Liam G Boyle,,,,3,805,820,744,770,319,340,280,190,131,992,283,350,104,11,6,All
Lisa Rhodes,,,,,8,420,"1,093",953,392,392,236,262,349,882,420,133,96,7,7,All
Kevin Bundy,,,,,,12,350,343,433,336,334,216,158,566,279,356,73,9,8,All
Linda Norris,,,,,,,1,870,339,354,192,202,286,758,339,117,77,7,9,All
Monica Maria Djerassi,,,,,,,,1,302,452,199,239,268,726,371,120,79,9,10,All
John Brady,,,,,,,,,9,252,202,194,150,390,248,108,52,9,11,All
Rebecca Poyourow,,,,,,,,,,0,239,182,221,270,278,143,66,6,12,All
Nat Lownes,,,,,,,,,,,1,142,126,265,147,97,36,6,13,All
Joe Khan,,,,,,,,,,,,1,119,198,174,56,49,6,14,All
Jacque Whaumbush,,,,,,,,,,,,,2,203,184,50,37,3,15,All
Mike Stack,,,,,,,,,,,,,,135,0,0,0,0,16,All
Nina Ahmad,,,,,,,,,,,,,,,72,0,0,0,17,All
Kathi Cozzone,,,,,,,,,,,,,,,,50,0,0,18,All
John Fetterman,,,,,,,,,,,,,,,,,44,0,19,All
Ray Sosa,,,,,,,,,,,,,,,,,,4,20,All
Total,"3,134","2,283","2,276","1,812","1,598","1,352","1,340","1,337",838,775,564,494,484,"2,050",864,737,268,27,21,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,1
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,John Brady,Joe Khan,Jacque Whaumbush,Nat Lownes,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Kathryn S Huggins,1,27,25,22,19,17,15,11,5,5,2,2,2,19,7,5,1,0,3,1
Dewayne Drummond,,0,25,23,18,17,16,10,6,4,4,2,1,17,5,6,0,0,4,1
Ken Washington,,,1,22,17,16,14,9,4,3,2,2,2,17,4,3,1,0,5,1
Liam G Boyle,,,,0,14,14,14,7,2,1,1,0,1,17,3,2,0,0,6,1
Linda Norris,,,,,0,15,16,4,3,4,1,3,1,12,3,3,1,0,7,1
Monica Maria Djerassi,,,,,,0,13,2,1,0,1,3,1,12,1,4,1,0,8,1
Lisa Rhodes,,,,,,,0,2,2,2,1,1,0,13,2,2,0,0,9,1
Kevin Bundy,,,,,,,,0,4,2,2,2,2,4,4,2,1,0,10,1
Rebecca Poyourow,,,,,,,,,0,3,3,1,1,0,4,1,0,0,11,1
John Brady,,,,,,,,,,0,1,0,0,1,3,0,0,0,12,1
Joe Khan,,,,,,,,,,,0,1,0,0,2,2,0,0,13,1
Jacque Whaumbush,,,,,,,,,,,,0,1,0,0,2,1,0,14,1
Nat Lownes,,,,,,,,,,,,,0,0,1,0,1,0,15,1
Mike Stack,,,,,,,,,,,,,,3,0,0,0,0,16,1
Kathi Cozzone,,,,,,,,,,,,,,,3,0,0,0,17,1
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,1
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,1
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,1
Total,35,30,27,23,20,18,17,12,6,5,4,3,2,25,10,7,1,0,21,1
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,2
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Monica Maria Djerassi,John Brady,Linda Norris,Jacque Whaumbush,Nat Lownes,Rebecca Poyourow,Joe Khan,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,2
Kathryn S Huggins,1,34,26,26,21,16,14,9,11,6,5,5,1,43,9,5,5,0,3,2
Ken Washington,,0,27,27,15,14,15,4,12,5,3,5,1,25,5,2,5,0,4,2
Dewayne Drummond,,,1,25,13,13,13,4,10,3,3,3,0,18,4,6,4,0,5,2
Liam G Boyle,,,,0,11,13,10,2,11,0,3,1,0,17,4,1,4,0,6,2
Lisa Rhodes,,,,,0,3,13,4,12,4,1,2,0,15,0,3,2,0,7,2
Kevin Bundy,,,,,,0,2,1,2,1,4,2,0,10,4,1,2,0,8,2
Monica Maria Djerassi,,,,,,,0,3,10,4,1,3,1,10,0,4,1,0,9,2
John Brady,,,,,,,,1,1,3,1,2,1,8,0,3,1,0,10,2
Linda Norris,,,,,,,,,0,0,1,0,0,10,0,0,1,0,11,2
Jacque Whaumbush,,,,,,,,,,0,1,4,1,4,0,2,0,0,12,2
Nat Lownes,,,,,,,,,,,0,2,0,3,1,1,0,0,13,2
Rebecca Poyourow,,,,,,,,,,,,0,1,4,0,1,0,0,14,2
Joe Khan,,,,,,,,,,,,,0,1,0,0,0,0,15,2
Mike Stack,,,,,,,,,,,,,,0,0,0,0,0,16,2
Kathi Cozzone,,,,,,,,,,,,,,,1,0,0,0,17,2
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,2
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,2
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,2
Total,66,39,34,28,23,17,17,13,13,6,5,5,1,49,10,10,7,0,21,2
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,3
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Lisa Rhodes,Liam G Boyle,Monica Maria Djerassi,Linda Norris,Kevin Bundy,John Brady,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Nat Lownes,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Kathryn S Huggins,2,48,43,37,36,27,27,26,10,9,8,5,6,33,22,6,2,0,3,3
Dewayne Drummond,,0,42,29,35,24,26,27,9,5,7,2,6,22,20,5,3,0,4,3
Ken Washington,,,0,25,32,21,22,22,8,4,5,1,4,23,17,4,2,0,5,3
Lisa Rhodes,,,,0,24,22,23,13,8,5,5,5,2,22,13,3,1,0,6,3
Liam G Boyle,,,,,0,20,21,23,3,1,2,4,0,16,18,3,1,0,7,3
Monica Maria Djerassi,,,,,,0,21,11,9,6,4,3,3,13,10,6,1,0,8,3
Linda Norris,,,,,,,0,11,6,4,5,3,3,12,11,5,1,0,9,3
Kevin Bundy,,,,,,,,0,4,3,0,1,2,6,18,1,1,0,10,3
John Brady,,,,,,,,,0,5,2,2,2,5,4,4,0,0,11,3
Rebecca Poyourow,,,,,,,,,,0,3,3,2,3,2,4,0,0,12,3
Jacque Whaumbush,,,,,,,,,,,0,2,3,4,0,4,0,0,13,3
Joe Khan,,,,,,,,,,,,0,0,1,1,4,0,0,14,3
Nat Lownes,,,,,,,,,,,,,0,2,3,1,0,0,15,3
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,3
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,3
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,3
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,3
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,3
Total,69,52,47,41,40,30,29,28,13,9,8,6,6,37,26,9,3,0,21,3
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,4
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Monica Maria Djerassi,Linda Norris,John Brady,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Nat Lownes,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Kathryn S Huggins,1,31,32,22,21,17,18,16,5,9,7,3,4,24,11,7,0,0,3,4
Ken Washington,,1,29,23,18,16,15,15,5,5,4,5,3,21,7,4,2,0,4,4
Dewayne Drummond,,,0,22,19,16,15,14,5,6,5,3,3,22,8,4,0,0,5,4
Liam G Boyle,,,,0,12,12,12,12,2,2,0,2,2,14,6,2,1,0,6,4
Lisa Rhodes,,,,,0,6,14,15,3,5,5,3,1,16,3,3,0,0,7,4
Kevin Bundy,,,,,,0,4,3,5,6,3,4,3,11,6,1,1,0,8,4
Monica Maria Djerassi,,,,,,,0,13,3,6,4,1,1,12,2,5,0,0,9,4
Linda Norris,,,,,,,,0,0,2,2,1,1,13,2,1,0,0,10,4
John Brady,,,,,,,,,1,3,2,3,2,5,1,1,1,0,11,4
Rebecca Poyourow,,,,,,,,,,0,5,1,3,4,2,3,0,0,12,4
Jacque Whaumbush,,,,,,,,,,,0,0,0,4,1,2,0,0,13,4
Joe Khan,,,,,,,,,,,,0,1,3,0,1,1,0,14,4
Nat Lownes,,,,,,,,,,,,,0,2,1,1,0,0,15,4
Mike Stack,,,,,,,,,,,,,,3,0,0,0,0,16,4
Kathi Cozzone,,,,,,,,,,,,,,,2,0,0,0,17,4
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,4
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,4
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,4
Total,43,35,34,23,22,19,19,16,9,9,7,5,4,30,13,9,2,0,21,4
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,5
,Kathryn S Huggins,Dewayne Drummond,Liam G Boyle,Ken Washington,Lisa Rhodes,Kevin Bundy,Linda Norris,Monica Maria Djerassi,Rebecca Poyourow,John Brady,Nat Lownes,Jacque Whaumbush,Joe Khan,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Kathryn S Huggins,2,35,33,31,28,19,16,15,6,4,2,2,2,30,9,9,2,0,3,5
Dewayne Drummond,,1,33,31,17,16,14,13,5,3,2,2,1,24,7,4,1,0,4,5
Liam G Boyle,,,0,31,16,16,13,13,5,3,2,1,1,25,5,3,1,0,5,5
Ken Washington,,,,0,14,16,12,13,6,3,2,0,1,24,6,1,1,0,6,5
Lisa Rhodes,,,,,2,6,15,16,4,0,1,2,0,17,0,6,1,0,7,5
Kevin Bundy,,,,,,0,3,3,5,3,2,1,1,10,6,3,1,0,8,5
Linda Norris,,,,,,,0,13,3,2,0,2,0,13,0,3,0,0,9,5
Monica Maria Djerassi,,,,,,,,0,3,0,1,1,0,12,0,3,0,0,10,5
Rebecca Poyourow,,,,,,,,,0,2,2,1,0,4,0,1,1,0,11,5
John Brady,,,,,,,,,,0,1,0,2,3,1,1,0,0,12,5
Nat Lownes,,,,,,,,,,,0,0,0,2,0,1,0,0,13,5
Jacque Whaumbush,,,,,,,,,,,,0,0,1,0,1,0,0,14,5
Joe Khan,,,,,,,,,,,,,0,1,1,0,0,0,15,5
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,5
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,5
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,5
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,5
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,5
Total,58,38,35,34,31,22,17,16,7,5,3,2,2,35,10,9,2,0,21,5
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,6
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Kevin Bundy,Liam G Boyle,John Brady,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Kathryn S Huggins,1,43,39,38,40,19,19,17,14,11,15,10,2,33,20,15,1,1,3,6
Dewayne Drummond,,0,37,36,37,16,11,12,11,11,11,6,1,21,14,11,1,1,4,6
Ken Washington,,,0,33,37,12,11,12,8,8,6,7,0,18,13,10,0,1,5,6
Kevin Bundy,,,,0,29,15,5,6,5,10,10,4,1,17,13,9,1,1,6,6
Liam G Boyle,,,,,0,15,14,15,9,11,7,6,0,16,13,11,1,0,7,6
John Brady,,,,,,0,8,8,4,7,7,5,1,13,3,4,1,0,8,6
Lisa Rhodes,,,,,,,0,12,10,2,5,6,3,12,2,6,0,0,9,6
Linda Norris,,,,,,,,0,11,1,7,5,1,9,2,6,1,0,10,6
Monica Maria Djerassi,,,,,,,,,0,0,9,5,2,7,2,6,0,0,11,6
Nat Lownes,,,,,,,,,,0,3,2,0,8,3,3,2,0,12,6
Rebecca Poyourow,,,,,,,,,,,0,5,2,8,2,4,0,0,13,6
Joe Khan,,,,,,,,,,,,0,2,5,0,6,0,0,14,6
Jacque Whaumbush,,,,,,,,,,,,,0,1,0,2,0,0,15,6
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,6
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,6
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,6
John Fetterman,,,,,,,,,,,,,,,,,1,0,19,6
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,6
Total,74,49,44,43,43,21,21,19,16,16,15,11,3,45,20,19,3,1,21,6
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,7
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Kevin Bundy,John Brady,Rebecca Poyourow,Jacque Whaumbush,Nat Lownes,Joe Khan,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,7
Kathryn S Huggins,1,56,56,50,41,35,29,26,15,12,10,8,4,50,17,14,1,0,3,7
Ken Washington,,0,56,51,35,32,28,22,9,8,7,7,3,43,10,9,1,0,4,7
Dewayne Drummond,,,0,51,35,35,29,24,10,10,7,6,3,42,9,9,0,1,5,7
Liam G Boyle,,,,0,28,28,25,19,6,9,6,5,4,38,7,6,1,0,6,7
Lisa Rhodes,,,,,0,34,25,7,9,6,5,3,2,31,2,8,0,0,7,7
Linda Norris,,,,,,0,26,5,4,4,2,1,1,28,2,5,0,0,8,7
Monica Maria Djerassi,,,,,,,0,3,4,4,4,1,0,25,1,4,1,0,9,7
Kevin Bundy,,,,,,,,1,7,7,5,5,1,13,6,9,0,0,10,7
John Brady,,,,,,,,,1,7,8,3,1,6,2,8,1,0,11,7
Rebecca Poyourow,,,,,,,,,,0,7,2,2,4,2,6,1,0,12,7
Jacque Whaumbush,,,,,,,,,,,0,1,2,4,1,5,1,0,13,7
