col_1,col_2,col_3,col_4,order,division
,Governor - Republican,,,1,All
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,All
Paul Mango,36,0,0,3,All
Scott R Wagner,,36,0,4,All
Laura Ellsworth,,,26,5,All
Total,36,36,26,6,All
,Governor - Republican,,,1,3
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,3
Paul Mango,1,0,0,3,3
Laura Ellsworth,,0,0,4,3
Scott R Wagner,,,0,5,3
Total,1,0,0,6,3
,Governor - Republican,,,1,7
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,7
Scott R Wagner,1,0,0,3,7
Laura Ellsworth,,0,0,4,7
Paul Mango,,,0,5,7
Total,1,0,0,6,7
,Governor - Republican,,,1,11
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,11
Scott R Wagner,1,0,0,3,11
Laura Ellsworth,,0,0,4,11
Paul Mango,,,0,5,11
Total,1,0,0,6,11
,Governor - Republican,,,1,12
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,12
Paul Mango,1,0,0,3,12
Laura Ellsworth,,0,0,4,12
Scott R Wagner,,,0,5,12
Total,1,0,0,6,12
,Governor - Republican,,,1,13
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,13
Laura Ellsworth,1,0,0,3,13
Paul Mango,,1,0,4,13
Scott R Wagner,,,1,5,13
Total,1,1,1,6,13
,Governor - Republican,,,1,14
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,14
Paul Mango,2,0,0,3,14
Laura Ellsworth,,1,0,4,14
Scott R Wagner,,,0,5,14
Total,2,1,0,6,14
,Governor - Republican,,,1,17
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,17
Paul Mango,2,0,0,3,17
Scott R Wagner,,2,0,4,17
Laura Ellsworth,,,1,5,17
Total,2,2,1,6,17
,Governor - Republican,,,1,19
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,19
Laura Ellsworth,1,0,0,3,19
Paul Mango,,1,0,4,19
Scott R Wagner,,,1,5,19
Total,1,1,1,6,19
,Governor - Republican,,,1,20
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,20
Scott R Wagner,3,0,0,3,20
Laura Ellsworth,,0,0,4,20
Paul Mango,,,0,5,20
Total,3,0,0,6,20
,Governor - Republican,,,1,21
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,21
Laura Ellsworth,1,0,0,3,21
Paul Mango,,1,0,4,21
Scott R Wagner,,,1,5,21
Total,1,1,1,6,21
,Governor - Republican,,,1,22
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,22
Paul Mango,2,0,0,3,22
Scott R Wagner,,2,0,4,22
Laura Ellsworth,,,0,5,22
Total,2,2,0,6,22
,Governor - Republican,,,1,23
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,23
Scott R Wagner,9,0,0,3,23
Laura Ellsworth,,8,0,4,23
Paul Mango,,,5,5,23
Total,9,8,5,6,23
,Governor - Republican,,,1,24
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,24
Laura Ellsworth,6,0,0,3,24
Paul Mango,,1,0,4,24
Scott R Wagner,,,0,5,24
Total,6,1,0,6,24
,Governor - Republican,,,1,25
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,25
Scott R Wagner,1,0,0,3,25
Laura Ellsworth,,0,0,4,25
Paul Mango,,,0,5,25
Total,1,0,0,6,25
,Governor - Republican,,,1,28
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,28
Paul Mango,1,0,0,3,28
Laura Ellsworth,,0,0,4,28
Scott R Wagner,,,0,5,28
Total,1,0,0,6,28
,Governor - Republican,,,1,29
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,29
Scott R Wagner,1,0,0,3,29
Laura Ellsworth,,0,0,4,29
Paul Mango,,,0,5,29
Total,1,0,0,6,29
,Governor - Republican,,,1,30
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,30
Paul Mango,1,0,0,3,30
Laura Ellsworth,,0,0,4,30
Scott R Wagner,,,0,5,30
Total,1,0,0,6,30
,Governor - Republican,,,1,31
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,31
Scott R Wagner,5,0,0,3,31
Paul Mango,,1,0,4,31
Laura Ellsworth,,,0,5,31
Total,5,1,0,6,31
,Governor - Republican,,,1,32
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,32
Paul Mango,1,0,0,3,32
Laura Ellsworth,,0,0,4,32
Scott R Wagner,,,0,5,32
Total,1,0,0,6,32
,Governor - Republican,,,1,33
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,33
Paul Mango,1,0,0,3,33
Scott R Wagner,,1,0,4,33
Laura Ellsworth,,,0,5,33
Total,1,1,0,6,33
,Governor - Republican,,,1,34
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,34
Paul Mango,8,0,0,3,34
Laura Ellsworth,,5,0,4,34
