col_1,col_2,division
,Governor - Democrat,1
,Tom Wolf,1
Tom Wolf,196,1
Total,196,1
,Governor - Democrat,2
,Tom Wolf,2
Tom Wolf,120,2
Total,120,2
,Governor - Democrat,3
,Tom Wolf,3
Tom Wolf,100,3
Total,100,3
,Governor - Democrat,4
,Tom Wolf,4
Tom Wolf,165,4
Total,165,4
,Governor - Democrat,5
,Tom Wolf,5
Tom Wolf,137,5
Total,137,5
,Governor - Democrat,6
,Tom Wolf,6
Tom Wolf,171,6
Total,171,6
,Governor - Democrat,7
,Tom Wolf,7
Tom Wolf,165,7
Total,165,7
,Governor - Democrat,8
,Tom Wolf,8
Tom Wolf,106,8
Total,106,8
,Governor - Democrat,9
,Tom Wolf,9
Tom Wolf,131,9
Total,131,9
,Governor - Democrat,10
,Tom Wolf,10
Tom Wolf,145,10
Total,145,10
,Governor - Democrat,11
,Tom Wolf,11
Tom Wolf,139,11
Total,139,11
,Governor - Democrat,12
,Tom Wolf,12
Tom Wolf,144,12
Total,144,12
,Governor - Democrat,13
,Tom Wolf,13
Tom Wolf,51,13
Total,51,13
,Governor - Democrat,14
,Tom Wolf,14
Tom Wolf,123,14
Total,123,14
,Governor - Democrat,15
,Tom Wolf,15
Tom Wolf,223,15
Total,223,15
,Governor - Democrat,16
,Tom Wolf,16
Tom Wolf,272,16
Total,272,16
,Governor - Democrat,17
,Tom Wolf,17
Tom Wolf,167,17
Total,167,17
,Governor - Democrat,18
,Tom Wolf,18
Tom Wolf,153,18
Total,153,18
,Governor - Democrat,19
,Tom Wolf,19
Tom Wolf,118,19
Total,118,19
,Governor - Democrat,20
,Tom Wolf,20
Tom Wolf,65,20
Total,65,20
,Governor - Democrat,21
,Tom Wolf,21
Tom Wolf,96,21
Total,96,21
,Governor - Democrat,22
,Tom Wolf,22
Tom Wolf,197,22
Total,197,22
,Governor - Democrat,23
,Tom Wolf,23
Tom Wolf,216,23
Total,216,23
,Governor - Democrat,24
,Tom Wolf,24
Tom Wolf,218,24
Total,218,24
,Governor - Democrat,25
,Tom Wolf,25
Tom Wolf,166,25
Total,166,25
,Governor - Democrat,26
,Tom Wolf,26
Tom Wolf,269,26
Total,269,26
,Governor - Democrat,27
,Tom Wolf,27
Tom Wolf,218,27
Total,218,27
,Governor - Democrat,All
,Tom Wolf,All
Tom Wolf,"4,271",All
Total,"4,271",All
