V1,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,division
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,All
Mike Stack,533,0,0,0,0,0,All
Kathi Cozzone,,0,0,169,0,0,All
Nina Ahmad,,146,0,,0,0,All
John Fetterman,,,100,,0,0,All
Ray Sosa,,,,,10,0,All
Write In,,,,,,1,All
Total,533,146,100,169,10,1,All
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,1
Mike Stack,20,0,0,0,0,0,1
Nina Ahmad,,7,0,0,0,0,1
Kathi Cozzone,,,0,5,0,0,1
John Fetterman,,,3,,0,0,1
Ray Sosa,,,,,2,0,1
Write In,,,,,,1,1
Total,20,7,3,5,2,1,1
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,2
Mike Stack,18,0,0,0,0,0,2
Kathi Cozzone,,0,0,8,0,0,2
Nina Ahmad,,6,0,,0,0,2
John Fetterman,,,4,,0,0,2
Ray Sosa,,,,,2,0,2
Write In,,,,,,1,2
Total,18,6,4,8,2,1,2
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,3
Mike Stack,14,0,0,0,0,0,3
Kathi Cozzone,,0,0,6,0,0,3
Nina Ahmad,,6,0,,0,0,3
John Fetterman,,,5,,0,0,3
Ray Sosa,,,,,1,0,3
Write In,,,,,,1,3
Total,14,6,5,6,1,1,3
