col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Republican,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,All
,Paul Mango,Scott R Wagner,Laura Ellsworth,Denise Furey,Walt Vogler,Calvin R Tucker,2,All
Paul Mango,19,0,0,8,7,7,3,All
Scott R Wagner,,14,0,5,5,3,4,All
Laura Ellsworth,,,10,3,1,1,5,All
Denise Furey,,,,0,9,8,6,All
Walt Vogler,,,,,1,8,7,All
Calvin R Tucker,,,,,,0,8,All
Total,30,23,13,16,14,11,9,All
,Governor - Republican,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,1
,Scott R Wagner,Laura Ellsworth,Paul Mango,Calvin R Tucker,Denise Furey,Walt Vogler,2,1
Scott R Wagner,1,0,0,1,0,0,3,1
Laura Ellsworth,,0,0,0,0,0,4,1
Paul Mango,,,0,0,0,0,5,1
Calvin R Tucker,,,,0,0,0,6,1
Denise Furey,,,,,0,0,7,1
Walt Vogler,,,,,,0,8,1
Total,2,0,0,1,0,0,9,1
,Member Of The - Republican State Committee 2nd Congressional District,,,Governor - Republican,,,1,2
,Calvin R Tucker,Denise Furey,Walt Vogler,Laura Ellsworth,Paul Mango,Scott R Wagner,2,2
Calvin R Tucker,0,1,1,1,0,0,3,2
Denise Furey,,0,1,1,0,0,4,2
Walt Vogler,,,0,1,0,0,5,2
Laura Ellsworth,,,,0,0,0,6,2
Paul Mango,,,,,0,0,7,2
Scott R Wagner,,,,,,0,8,2
Total,1,1,1,1,0,0,9,2
,Governor - Republican,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,3
,Paul Mango,Laura Ellsworth,Scott R Wagner,Calvin R Tucker,Denise Furey,Walt Vogler,2,3
Paul Mango,2,0,0,0,0,0,3,3
Laura Ellsworth,,1,0,0,0,0,4,3
Scott R Wagner,,,1,0,0,0,5,3
Calvin R Tucker,,,,0,0,0,6,3
Denise Furey,,,,,0,0,7,3
Walt Vogler,,,,,,0,8,3
Total,2,1,1,0,0,0,9,3
,Governor - Republican,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,4
,Paul Mango,Laura Ellsworth,Scott R Wagner,Calvin R Tucker,Denise Furey,Walt Vogler,2,4
Paul Mango,1,0,0,0,0,0,3,4
Laura Ellsworth,,0,0,0,0,0,4,4
Scott R Wagner,,,0,0,0,0,5,4
