col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,All
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,All
David Torres,41,204,148,107,19,All
Kathy Coder,,26,0,0,0,All
Diana Irey Vaughan,,,34,0,0,All
Jeff Bartos,,,,23,0,All
Peg Luksik,,,,,8,All
Total,519,230,182,130,27,All
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,1
David Torres,0,7,4,2,0,1
Diana Irey Vaughan,,0,0,0,0,1
Kathy Coder,,,0,0,0,1
Jeff Bartos,,,,0,0,1
Peg Luksik,,,,,0,1
Total,13,7,4,2,0,1
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,2
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2
David Torres,1,5,4,3,1,2
Diana Irey Vaughan,,1,0,0,0,2
Kathy Coder,,,0,0,0,2
Jeff Bartos,,,,0,0,2
Peg Luksik,,,,,0,2
Total,14,6,4,3,1,2
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,3
,David Torres,Diana Irey Vaughan,Peg Luksik,Jeff Bartos,Kathy Coder,3
David Torres,1,6,0,0,1,3
Diana Irey Vaughan,,0,0,0,0,3
Peg Luksik,,,2,0,0,3
Jeff Bartos,,,,1,0,3
Kathy Coder,,,,,0,3
Total,8,6,2,1,1,3
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,4
,David Torres,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,4
David Torres,0,5,4,1,0,4
Diana Irey Vaughan,,0,0,0,0,4
Kathy Coder,,,0,0,0,4
Peg Luksik,,,,0,0,4
Jeff Bartos,,,,,0,4
Total,10,5,4,1,0,4
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,5
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,5
David Torres,0,7,4,2,0,5
Kathy Coder,,0,0,0,0,5
Jeff Bartos,,,0,0,0,5
Diana Irey Vaughan,,,,0,0,5
Peg Luksik,,,,,0,5
Total,13,7,4,2,0,5
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,6
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,6
David Torres,3,19,10,6,1,6
Kathy Coder,,3,0,0,0,6
Diana Irey Vaughan,,,1,0,0,6
Jeff Bartos,,,,2,0,6
Peg Luksik,,,,,0,6
Total,39,22,11,8,1,6
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,7
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,7
David Torres,1,7,4,2,0,7
Jeff Bartos,,0,0,0,0,7
Diana Irey Vaughan,,,1,0,0,7
Kathy Coder,,,,0,0,7
Peg Luksik,,,,,0,7
Total,14,7,5,2,0,7
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,8
,David Torres,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,8
David Torres,2,11,9,3,2,8
Diana Irey Vaughan,,7,0,0,0,8
Kathy Coder,,,3,0,0,8
Peg Luksik,,,,2,0,8
Jeff Bartos,,,,,0,8
Total,27,18,12,5,2,8
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,9
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,9
David Torres,0,7,7,5,3,9
Jeff Bartos,,2,0,0,0,9
Diana Irey Vaughan,,,0,0,0,9
Kathy Coder,,,,0,0,9
Peg Luksik,,,,,0,9
Total,22,9,7,5,3,9
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,10
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,10
David Torres,3,9,3,3,0,10
Kathy Coder,,0,0,0,0,10
Diana Irey Vaughan,,,3,0,0,10
Jeff Bartos,,,,3,0,10
Peg Luksik,,,,,1,10
Total,18,9,6,6,1,10
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,11
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,11
David Torres,1,7,4,4,1,11
Diana Irey Vaughan,,0,0,0,0,11
Jeff Bartos,,,0,0,0,11
Kathy Coder,,,,0,0,11
Peg Luksik,,,,,0,11
Total,17,7,4,4,1,11
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,12
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,12
David Torres,0,4,4,2,0,12
Diana Irey Vaughan,,1,0,0,0,12
Jeff Bartos,,,0,0,0,12
Kathy Coder,,,,1,0,12
Peg Luksik,,,,,0,12
Total,10,5,4,3,0,12
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,13
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,13
David Torres,1,3,0,0,0,13
Kathy Coder,,0,0,0,0,13
Diana Irey Vaughan,,,0,0,0,13
Jeff Bartos,,,,0,0,13
Peg Luksik,,,,,0,13
Total,4,3,0,0,0,13
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,14
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,14
David Torres,0,3,1,2,0,14
Jeff Bartos,,1,0,0,0,14
Diana Irey Vaughan,,,1,0,0,14
Kathy Coder,,,,0,0,14
Peg Luksik,,,,,0,14
Total,6,4,2,2,0,14
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,15
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,15
David Torres,2,7,4,3,0,15
Kathy Coder,,1,0,0,0,15
Diana Irey Vaughan,,,0,0,0,15
Jeff Bartos,,,,1,0,15
Peg Luksik,,,,,0,15
Total,16,8,4,4,0,15
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,16
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,16
David Torres,0,4,2,1,1,16
Kathy Coder,,1,0,0,0,16
Jeff Bartos,,,1,0,0,16
Diana Irey Vaughan,,,,0,0,16
Peg Luksik,,,,,0,16
Total,8,5,3,1,1,16
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,17
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,17
David Torres,2,6,6,2,0,17
Diana Irey Vaughan,,0,0,0,0,17
Kathy Coder,,,0,0,0,17
Jeff Bartos,,,,0,0,17
Peg Luksik,,,,,0,17
Total,16,6,6,2,0,17
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,18
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,18
David Torres,0,6,3,0,0,18
Kathy Coder,,0,0,0,0,18
Jeff Bartos,,,0,0,0,18
Diana Irey Vaughan,,,,1,0,18
Peg Luksik,,,,,0,18
Total,9,6,3,1,0,18
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,19
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,19
David Torres,2,5,6,4,2,19
Diana Irey Vaughan,,3,0,0,0,19
Kathy Coder,,,0,0,0,19
Jeff Bartos,,,,1,0,19
Peg Luksik,,,,,0,19
Total,19,8,6,5,2,19
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,20
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,20
David Torres,0,6,3,1,0,20
Kathy Coder,,2,0,0,0,20
Diana Irey Vaughan,,,0,0,0,20
Jeff Bartos,,,,0,0,20
Peg Luksik,,,,,0,20
Total,10,8,3,1,0,20
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,21
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,21
David Torres,2,3,2,0,0,21
Jeff Bartos,,0,0,0,0,21
Diana Irey Vaughan,,,0,0,0,21
Kathy Coder,,,,0,0,21
Peg Luksik,,,,,0,21
Total,7,3,2,0,0,21
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,22
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,22
David Torres,0,8,6,6,0,22
Diana Irey Vaughan,,0,0,0,0,22
Jeff Bartos,,,2,0,0,22
Kathy Coder,,,,1,0,22
Peg Luksik,,,,,0,22
Total,20,8,8,7,0,22
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,23
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,23
David Torres,0,5,4,3,0,23
Diana Irey Vaughan,,1,0,0,0,23
Kathy Coder,,,1,0,0,23
Jeff Bartos,,,,0,0,23
Peg Luksik,,,,,1,23
Total,12,6,5,3,1,23
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,24
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,24
David Torres,2,6,4,1,1,24
Kathy Coder,,0,0,0,0,24
Diana Irey Vaughan,,,0,0,0,24
Jeff Bartos,,,,1,0,24
Peg Luksik,,,,,0,24
Total,14,6,4,2,1,24
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,25
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,25
David Torres,2,3,2,1,0,25
Kathy Coder,,0,0,0,0,25
Diana Irey Vaughan,,,0,0,0,25
Jeff Bartos,,,,0,0,25
Peg Luksik,,,,,0,25
Total,8,3,2,1,0,25
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,26
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,26
David Torres,0,5,4,2,0,26
Kathy Coder,,2,0,0,0,26
Jeff Bartos,,,0,0,0,26
Diana Irey Vaughan,,,,1,0,26
Peg Luksik,,,,,0,26
Total,11,7,4,3,0,26
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,27
,David Torres,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Kathy Coder,27
David Torres,0,3,1,3,2,27
Diana Irey Vaughan,,0,0,0,0,27
Jeff Bartos,,,2,0,0,27
Peg Luksik,,,,0,0,27
Kathy Coder,,,,,0,27
Total,9,3,3,3,2,27
,Lieutenant Governor - Republican,,,,Representative In Congress 2nd District - Republican,28
,Peg Luksik,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,David Torres,28
Peg Luksik,2,0,0,0,0,28
Diana Irey Vaughan,,1,0,0,0,28
Kathy Coder,,,0,0,1,28
Jeff Bartos,,,,0,0,28
David Torres,,,,,0,28
Total,2,1,1,0,1,28
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,29
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,29
David Torres,2,5,1,0,0,29
Kathy Coder,,3,0,0,0,29
Diana Irey Vaughan,,,2,0,0,29
Jeff Bartos,,,,0,0,29
Peg Luksik,,,,,0,29
Total,8,8,3,0,0,29
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,30
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,30
David Torres,1,4,6,3,0,30
Diana Irey Vaughan,,3,0,0,0,30
Kathy Coder,,,0,0,0,30
Jeff Bartos,,,,2,0,30
Peg Luksik,,,,,0,30
Total,14,7,6,5,0,30
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,31
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,31
David Torres,0,5,4,2,0,31
Kathy Coder,,1,0,0,0,31
Jeff Bartos,,,1,0,0,31
Diana Irey Vaughan,,,,0,0,31
Peg Luksik,,,,,0,31
Total,11,6,5,2,0,31
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,32
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,32
David Torres,3,10,4,3,2,32
Kathy Coder,,1,0,0,0,32
Jeff Bartos,,,0,0,0,32
Diana Irey Vaughan,,,,0,0,32
Peg Luksik,,,,,0,32
Total,22,11,4,3,2,32
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,33
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,33
David Torres,2,8,2,2,0,33
Kathy Coder,,2,0,0,0,33
Diana Irey Vaughan,,,1,0,0,33
Jeff Bartos,,,,0,0,33
Peg Luksik,,,,,0,33
Total,14,10,3,2,0,33
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,34
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,34
David Torres,0,1,1,1,0,34
Jeff Bartos,,1,0,0,0,34
Kathy Coder,,,1,0,0,34
Diana Irey Vaughan,,,,0,0,34
Peg Luksik,,,,,0,34
Total,3,2,2,1,0,34
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,35
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,35
David Torres,0,3,3,1,0,35
Diana Irey Vaughan,,0,0,0,0,35
Kathy Coder,,,0,0,0,35
Jeff Bartos,,,,0,0,35
Peg Luksik,,,,,0,35
Total,7,3,3,1,0,35
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,36
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,36
David Torres,1,4,1,0,0,36
Jeff Bartos,,0,0,0,0,36
Kathy Coder,,,0,0,0,36
Diana Irey Vaughan,,,,0,0,36
Peg Luksik,,,,,0,36
Total,6,4,1,0,0,36
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,37
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,37
David Torres,3,7,6,3,0,37
Kathy Coder,,1,0,0,0,37
Diana Irey Vaughan,,,0,0,0,37
Jeff Bartos,,,,0,0,37
Peg Luksik,,,,,0,37
Total,19,8,6,3,0,37
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,38
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,38
David Torres,1,9,3,2,0,38
Kathy Coder,,2,0,0,0,38
Diana Irey Vaughan,,,2,0,0,38
Jeff Bartos,,,,1,0,38
Peg Luksik,,,,,0,38
Total,15,11,5,3,0,38
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,39
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,39
David Torres,2,3,3,2,0,39
Diana Irey Vaughan,,2,0,0,0,39
Jeff Bartos,,,0,0,0,39
Kathy Coder,,,,0,0,39
Peg Luksik,,,,,0,39
Total,10,5,3,2,0,39
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,40
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,40
David Torres,1,2,1,0,0,40
Kathy Coder,,0,0,0,0,40
