To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,To Remove 3,division
Tom Wolf,8,0,149,0,23
Write In,,1,0,0,23
Bob Casey Jr,,,3,0,23
Total,158,1,153,0,23
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,To Remove 3,24
,Tom Wolf,Write In,Bob Casey Jr,Write In,24
Tom Wolf,13,0,144,1,24
Write In,,1,0,0,24
Bob Casey Jr,,,9,0,24
Write In,,,,0,24
Total,160,1,154,2,24
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,25
,Tom Wolf,Write In,Bob Casey Jr,0,25
Tom Wolf,9,0,97,0,25
Write In,,1,0,0,25
Bob Casey Jr,,,6,0,25
Total,107,1,104,0,25
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,26
,Tom Wolf,Write In,Bob Casey Jr,0,26
Tom Wolf,3,0,40,0,26
Write In,,1,0,0,26
Bob Casey Jr,,,2,0,26
Total,44,1,43,0,26
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,To Remove 3,27
,Tom Wolf,Write In,Bob Casey Jr,Write In,27
Tom Wolf,9,0,115,0,27
Write In,,1,0,0,27
Bob Casey Jr,,,5,0,27
Write In,,,,0,27
Total,126,1,121,1,27
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,28
,Tom Wolf,Write In,Bob Casey Jr,0,28
Tom Wolf,4,0,103,0,28
Write In,,1,0,0,28
Bob Casey Jr,,,2,0,28
Total,108,1,106,0,28
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,29
,Tom Wolf,Write In,Bob Casey Jr,0,29
Bob Casey Jr,113,0,8,0,29
Tom Wolf,6,0,,0,29
Write In,,1,,0,29
Total,120,1,122,0,29
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,30
,Tom Wolf,Write In,Bob Casey Jr,0,30
Tom Wolf,5,0,122,0,30
Write In,,1,0,0,30
Bob Casey Jr,,,4,0,30
Total,128,1,127,0,30
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,31
,Tom Wolf,Write In,Bob Casey Jr,0,31
Tom Wolf,5,0,115,0,31
Write In,,1,0,0,31
Bob Casey Jr,,,3,0,31
Total,121,1,119,0,31
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,32
,Tom Wolf,Write In,Bob Casey Jr,0,32
Tom Wolf,5,0,67,0,32
Write In,,1,0,0,32
Bob Casey Jr,,,3,0,32
Total,73,1,71,0,32
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,33
,Tom Wolf,Write In,Bob Casey Jr,0,33
Bob Casey Jr,98,0,17,0,33
Tom Wolf,9,0,,0,33
Write In,,1,,0,33
Total,108,1,116,0,33
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,34
,Tom Wolf,Write In,Bob Casey Jr,0,34
Tom Wolf,9,0,148,0,34
Write In,,1,0,0,34
Bob Casey Jr,,,4,0,34
Total,158,1,153,0,34
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,35
,Tom Wolf,Write In,Bob Casey Jr,0,35
Tom Wolf,5,0,70,0,35
Write In,,1,0,0,35
Bob Casey Jr,,,2,0,35
Total,76,1,73,0,35
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,36
,Tom Wolf,Write In,Bob Casey Jr,0,36
Bob Casey Jr,54,0,7,0,36
Tom Wolf,3,0,,0,36
Write In,,1,,0,36
Total,58,1,62,0,36
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,37
,Tom Wolf,Write In,Bob Casey Jr,0,37
Tom Wolf,4,0,62,0,37
Write In,,1,0,0,37
Bob Casey Jr,,,2,0,37
Total,67,1,65,0,37
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,38
,Tom Wolf,Write In,Bob Casey Jr,0,38
Tom Wolf,4,0,42,0,38
Write In,,1,0,0,38
Bob Casey Jr,,,3,0,38
Total,47,1,46,0,38
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,39
,Tom Wolf,Write In,Bob Casey Jr,0,39
Tom Wolf,10,0,95,0,39
Write In,,1,0,0,39
Bob Casey Jr,,,4,0,39
Total,106,1,100,0,39
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,40
,Tom Wolf,Write In,Bob Casey Jr,0,40
Tom Wolf,7,0,74,0,40
Write In,,1,0,0,40
Bob Casey Jr,,,3,0,40
Total,82,1,78,0,40
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,41
,Tom Wolf,Write In,Bob Casey Jr,0,41
Tom Wolf,7,0,160,0,41
Write In,,1,0,0,41
Bob Casey Jr,,,5,0,41
Total,168,1,166,0,41
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,42
,Tom Wolf,Write In,Bob Casey Jr,0,42
Tom Wolf,6,0,91,0,42
Write In,,1,0,0,42
Bob Casey Jr,,,4,0,42
Total,98,1,96,0,42
