To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,To Remove 3,division
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,To Remove 3,All
,Tom Wolf,Write In,Bob Casey Jr,Write In,All
Tom Wolf,271,0,"3,882",4,All
Write In,,1,0,0,All
Bob Casey Jr,,,147,0,All
Write In,,,,0,All
Total,"4,159",1,"4,030",5,All
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,1
,Tom Wolf,Write In,Bob Casey Jr,0,1
Tom Wolf,6,0,41,0,1
Write In,,1,0,0,1
Bob Casey Jr,,,4,0,1
Total,48,1,46,0,1
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,2
,Tom Wolf,Write In,Bob Casey Jr,0,2
Tom Wolf,6,0,73,0,2
Write In,,1,0,0,2
Bob Casey Jr,,,3,0,2
Total,80,1,77,0,2
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,3
,Tom Wolf,Write In,Bob Casey Jr,0,3
Tom Wolf,7,0,69,0,3
Write In,,1,0,0,3
Bob Casey Jr,,,4,0,3
Total,77,1,74,0,3
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,4
,Tom Wolf,Write In,Bob Casey Jr,0,4
Bob Casey Jr,51,0,5,0,4
Tom Wolf,4,0,,0,4
Write In,,1,,0,4
Total,56,1,57,0,4
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,5
,Tom Wolf,Write In,Bob Casey Jr,0,5
Tom Wolf,3,0,55,0,5
Write In,,1,0,0,5
Bob Casey Jr,,,2,0,5
Total,59,1,58,0,5
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,6
,Tom Wolf,Write In,Bob Casey Jr,0,6
Tom Wolf,9,0,86,0,6
Write In,,1,0,0,6
Bob Casey Jr,,,4,0,6
Total,96,1,91,0,6
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,7
,Tom Wolf,Write In,Bob Casey Jr,0,7
Tom Wolf,9,0,99,0,7
Write In,,1,0,0,7
Bob Casey Jr,,,4,0,7
Total,109,1,104,0,7
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,8
,Tom Wolf,Write In,Bob Casey Jr,0,8
Tom Wolf,7,0,117,0,8
Write In,,1,0,0,8
Bob Casey Jr,,,5,0,8
Total,125,1,123,0,8
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,9
,Tom Wolf,Write In,Bob Casey Jr,0,9
Tom Wolf,6,0,58,0,9
Write In,,1,0,0,9
Bob Casey Jr,,,2,0,9
Total,65,1,61,0,9
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,10
,Tom Wolf,Write In,Bob Casey Jr,0,10
Tom Wolf,13,0,103,0,10
Write In,,1,0,0,10
Bob Casey Jr,,,7,0,10
Total,117,1,111,0,10
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,11
,Tom Wolf,Write In,Bob Casey Jr,0,11
Bob Casey Jr,89,0,7,0,11
Tom Wolf,7,0,,0,11
Write In,,1,,0,11
Total,97,1,97,0,11
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,12
,Tom Wolf,Write In,Bob Casey Jr,0,12
Tom Wolf,7,0,156,0,12
Write In,,1,0,0,12
Bob Casey Jr,,,6,0,12
Total,164,1,163,0,12
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,13
,Tom Wolf,Write In,Bob Casey Jr,0,13
Tom Wolf,9,0,106,0,13
Write In,,1,0,0,13
Bob Casey Jr,,,5,0,13
Total,116,1,112,0,13
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,14
,Tom Wolf,Write In,Bob Casey Jr,0,14
Tom Wolf,12,0,106,0,14
Write In,,1,0,0,14
Bob Casey Jr,,,5,0,14
Total,119,1,112,0,14
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,15
,Tom Wolf,Write In,Bob Casey Jr,0,15
Tom Wolf,11,0,69,0,15
Write In,,1,0,0,15
Bob Casey Jr,,,2,0,15
Total,81,1,72,0,15
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,16
,Tom Wolf,Write In,Bob Casey Jr,0,16
Tom Wolf,6,0,39,0,16
Write In,,1,0,0,16
Bob Casey Jr,,,3,0,16
Total,46,1,43,0,16
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,17
,Tom Wolf,Write In,Bob Casey Jr,0,17
Bob Casey Jr,67,0,9,0,17
Tom Wolf,7,0,,0,17
Write In,,1,,0,17
Total,75,1,77,0,17
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,18
,Tom Wolf,Write In,Bob Casey Jr,0,18
Tom Wolf,13,0,83,0,18
Write In,,1,0,0,18
Bob Casey Jr,,,3,0,18
Total,97,1,87,0,18
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,19
,Tom Wolf,Write In,Bob Casey Jr,0,19
Tom Wolf,12,0,129,0,19
Write In,,1,0,0,19
Bob Casey Jr,,,3,0,19
Total,142,1,133,0,19
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,20
,Tom Wolf,Write In,Bob Casey Jr,0,20
Tom Wolf,7,0,85,0,20
Write In,,1,0,0,20
Bob Casey Jr,,,3,0,20
Total,93,1,89,0,20
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,To Remove 3,21
,Tom Wolf,Write In,Bob Casey Jr,Write In,21
Tom Wolf,10,0,100,0,21
Write In,,1,0,0,21
Bob Casey Jr,,,3,0,21
Write In,,,,0,21
Total,112,1,104,1,21
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,To Remove 3,22
,Tom Wolf,Write In,Bob Casey Jr,Write In,22
Tom Wolf,10,0,101,0,22
Write In,,1,0,0,22
Bob Casey Jr,,,3,0,22
Write In,,,,0,22
Total,113,1,105,1,22
To Remove,Governor Democrat,To Remove 2,United States Senator Democrat,0,23
,Tom Wolf,Write In,Bob Casey Jr,0,23
