col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,All
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,All
Jaime Bouldin,30,355,338,279,279,260,255,238,250,212,235,79,54,3,All
David Rodriguez,,13,345,274,272,263,246,239,245,189,139,89,41,4,All
Humberto Perez,,,9,257,259,246,246,230,241,184,120,75,40,2,All
Barbara Carroll,,,,3,291,275,258,250,255,151,56,92,29,5,All
Sharon Vaughn,,,,,1,277,262,249,252,153,52,90,28,4,All
Latrice Y Bryant,,,,,,1,251,245,253,151,47,86,27,2,All
Dustin Morris,,,,,,,0,232,242,134,44,68,25,4,All
Robert Taylor,,,,,,,,3,235,136,42,65,21,2,All
Jonathan M Gary,,,,,,,,,0,127,49,65,21,4,All
Mike Stack,,,,,,,,,,65,0,0,0,0,All
Kathi Cozzone,,,,,,,,,,,46,0,0,0,All
Nina Ahmad,,,,,,,,,,,,14,0,0,All
John Fetterman,,,,,,,,,,,,,27,0,All
Ray Sosa,,,,,,,,,,,,,,1,All
Total,626,492,442,352,343,325,284,279,275,391,336,155,104,9,All
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,1
,David Rodriguez,Jaime Bouldin,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,1
David Rodriguez,0,4,9,8,7,6,6,6,5,8,4,1,0,0,1
Jaime Bouldin,,2,5,5,5,4,5,5,5,1,5,5,1,0,1
Humberto Perez,,,0,9,9,7,8,7,5,4,5,1,2,0,1
Barbara Carroll,,,,0,8,6,8,6,5,4,4,0,2,0,1
Sharon Vaughn,,,,,0,7,8,7,5,3,4,0,2,0,1
Latrice Y Bryant,,,,,,0,6,6,4,4,3,0,1,0,1
Robert Taylor,,,,,,,0,6,5,2,4,0,2,0,1
Jonathan M Gary,,,,,,,,0,5,2,4,0,1,0,1
Dustin Morris,,,,,,,,,0,2,4,0,0,0,1
Nina Ahmad,,,,,,,,,,1,0,0,0,0,1
Mike Stack,,,,,,,,,,,2,0,0,0,1
Kathi Cozzone,,,,,,,,,,,,0,0,0,1
John Fetterman,,,,,,,,,,,,,0,0,1
Ray Sosa,,,,,,,,,,,,,,0,1
Total,14,14,13,10,9,8,8,7,6,11,8,7,2,0,1
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,2
,David Rodriguez,Jaime Bouldin,Humberto Perez,Barbara Carroll,Robert Taylor,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Jonathan M Gary,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2
David Rodriguez,2,18,16,14,13,11,12,13,10,14,8,3,1,0,2
Jaime Bouldin,,0,17,12,12,13,12,11,11,11,16,2,0,0,2
Humberto Perez,,,1,10,10,10,10,10,10,13,9,1,0,0,2
Barbara Carroll,,,,1,13,12,13,13,11,8,2,2,1,0,2
Robert Taylor,,,,,2,12,12,12,10,8,1,2,1,0,2
Sharon Vaughn,,,,,,0,12,11,11,8,2,4,0,0,2
Dustin Morris,,,,,,,0,12,11,8,2,1,0,0,2
Latrice Y Bryant,,,,,,,,0,10,8,1,2,0,0,2
Jonathan M Gary,,,,,,,,,0,8,2,1,0,0,2
Mike Stack,,,,,,,,,,4,0,0,0,0,2
Kathi Cozzone,,,,,,,,,,,2,0,0,0,2
Nina Ahmad,,,,,,,,,,,,1,0,0,2
Ray Sosa,,,,,,,,,,,,,0,0,2
John Fetterman,,,,,,,,,,,,,,0,2
Total,30,30,24,16,16,15,13,13,11,24,21,7,1,0,2
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,3
,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Dustin Morris,Robert Taylor,Sharon Vaughn,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,3
Jaime Bouldin,0,34,34,29,30,31,29,29,29,15,20,3,4,0,3
Humberto Perez,,1,33,28,29,29,29,29,28,9,19,4,4,0,3
David Rodriguez,,,0,27,29,29,28,28,27,11,17,3,4,0,3
Barbara Carroll,,,,0,29,29,28,28,28,7,19,2,4,0,3
Jonathan M Gary,,,,,0,30,29,29,28,7,17,3,4,0,3
Latrice Y Bryant,,,,,,0,29,29,29,6,18,3,4,0,3
Dustin Morris,,,,,,,0,29,28,5,17,3,4,0,3
Robert Taylor,,,,,,,,0,28,5,17,3,4,0,3
Sharon Vaughn,,,,,,,,,0,4,18,3,4,0,3
Kathi Cozzone,,,,,,,,,,6,0,0,0,0,3
Mike Stack,,,,,,,,,,,1,0,0,0,3
John Fetterman,,,,,,,,,,,,3,0,0,3
Nina Ahmad,,,,,,,,,,,,,1,0,3
Ray Sosa,,,,,,,,,,,,,,0,3
Total,42,37,35,32,31,31,29,29,29,24,23,7,5,0,3
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,4
,Jaime Bouldin,Sharon Vaughn,Barbara Carroll,David Rodriguez,Dustin Morris,Humberto Perez,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,4
Jaime Bouldin,0,13,12,11,11,11,11,11,9,8,4,3,3,1,4
Sharon Vaughn,,0,13,10,11,10,12,12,10,8,1,3,1,1,4
Barbara Carroll,,,0,9,11,9,11,12,10,8,1,3,1,0,4
David Rodriguez,,,,0,9,10,10,9,8,6,1,4,0,1,4
Dustin Morris,,,,,0,9,10,10,9,6,1,3,2,0,4
Humberto Perez,,,,,,0,9,8,8,6,1,3,1,1,4
Jonathan M Gary,,,,,,,0,11,9,7,1,3,0,1,4
Latrice Y Bryant,,,,,,,,0,10,8,1,3,0,0,4
Robert Taylor,,,,,,,,,0,6,2,3,0,0,4
Mike Stack,,,,,,,,,,0,0,0,0,0,4
Kathi Cozzone,,,,,,,,,,,1,0,0,0,4
Nina Ahmad,,,,,,,,,,,,0,0,0,4
John Fetterman,,,,,,,,,,,,,0,0,4
Ray Sosa,,,,,,,,,,,,,,0,4
Total,19,14,13,12,12,12,12,12,11,9,7,4,3,1,4
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,5
,Jaime Bouldin,David Rodriguez,Latrice Y Bryant,Humberto Perez,Sharon Vaughn,Barbara Carroll,Robert Taylor,Dustin Morris,Jonathan M Gary,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,5
Jaime Bouldin,0,12,9,12,10,9,9,8,8,8,5,3,1,0,5
David Rodriguez,,0,8,11,9,8,8,9,7,7,3,2,2,0,5
Latrice Y Bryant,,,1,8,9,9,9,8,8,8,1,4,0,0,5
Humberto Perez,,,,0,8,9,7,8,7,5,3,3,1,0,5
Sharon Vaughn,,,,,0,9,11,8,8,6,1,4,0,0,5
Barbara Carroll,,,,,,0,8,8,9,6,1,3,0,0,5
Robert Taylor,,,,,,,0,7,8,5,1,4,0,0,5
Dustin Morris,,,,,,,,0,7,5,1,3,1,0,5
Jonathan M Gary,,,,,,,,,0,4,1,3,0,0,5
Mike Stack,,,,,,,,,,2,0,0,0,0,5
Kathi Cozzone,,,,,,,,,,,1,0,0,0,5
Nina Ahmad,,,,,,,,,,,,0,0,0,5
John Fetterman,,,,,,,,,,,,,1,0,5
Ray Sosa,,,,,,,,,,,,,,0,5
Total,19,16,15,13,12,11,11,10,9,17,6,4,3,0,5
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,6
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,6
Jaime Bouldin,1,22,23,19,20,16,17,15,14,13,8,10,1,0,6
David Rodriguez,,2,23,17,17,15,15,14,13,9,8,7,1,0,6
Humberto Perez,,,0,19,18,16,16,16,15,11,7,8,1,0,6
Barbara Carroll,,,,0,19,16,16,16,15,9,2,8,2,0,6
Sharon Vaughn,,,,,0,15,16,15,14,9,2,8,1,0,6
Dustin Morris,,,,,,0,14,13,13,7,1,8,1,0,6
Latrice Y Bryant,,,,,,,0,15,14,6,1,9,1,0,6
Robert Taylor,,,,,,,,0,15,7,1,7,1,0,6
Jonathan M Gary,,,,,,,,,0,6,1,7,1,0,6
Mike Stack,,,,,,,,,,5,0,0,0,0,6
Kathi Cozzone,,,,,,,,,,,2,0,0,0,6
Nina Ahmad,,,,,,,,,,,,1,0,0,6
John Fetterman,,,,,,,,,,,,,1,0,6
Ray Sosa,,,,,,,,,,,,,,0,6
Total,33,27,27,21,20,17,17,16,15,22,12,11,3,0,6
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,7
