col_1,col_2,col_3,col_4,order,division
,Governor - Republican,,,1,All
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,All
Scott R Wagner,243,0,0,3,All
Paul Mango,,198,0,4,All
Laura Ellsworth,,,89,5,All
Total,243,198,89,6,All
,Governor - Republican,,,1,1
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,1
Scott R Wagner,13,0,0,3,1
Paul Mango,,9,0,4,1
Laura Ellsworth,,,4,5,1
Total,13,9,4,6,1
,Governor - Republican,,,1,2
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,2
Paul Mango,9,0,0,3,2
Scott R Wagner,,5,0,4,2
Laura Ellsworth,,,2,5,2
Total,9,5,2,6,2
,Governor - Republican,,,1,3
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,3
Scott R Wagner,8,0,0,3,3
Paul Mango,,5,0,4,3
Laura Ellsworth,,,3,5,3
Total,8,5,3,6,3
,Governor - Republican,,,1,4
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,4
Scott R Wagner,8,0,0,3,4
Paul Mango,,6,0,4,4
Laura Ellsworth,,,1,5,4
Total,8,6,1,6,4
,Governor - Republican,,,1,5
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,5
Scott R Wagner,5,0,0,3,5
Laura Ellsworth,,1,0,4,5
Paul Mango,,,1,5,5
Total,5,1,1,6,5
,Governor - Republican,,,1,6
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,6
Scott R Wagner,13,0,0,3,6
Paul Mango,,11,0,4,6
Laura Ellsworth,,,3,5,6
Total,13,11,3,6,6
,Governor - Republican,,,1,7
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,7
Scott R Wagner,8,0,0,3,7
Paul Mango,,7,0,4,7
Laura Ellsworth,,,2,5,7
Total,8,7,2,6,7
,Governor - Republican,,,1,8
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,8
Scott R Wagner,13,0,0,3,8
Laura Ellsworth,,8,0,4,8
Paul Mango,,,7,5,8
Total,13,8,7,6,8
,Governor - Republican,,,1,9
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,9
Paul Mango,5,0,0,3,9
Scott R Wagner,,5,0,4,9
Laura Ellsworth,,,4,5,9
Total,5,5,4,6,9
,Governor - Republican,,,1,10
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,10
Paul Mango,4,0,0,3,10
Laura Ellsworth,,2,0,4,10
Scott R Wagner,,,2,5,10
Total,4,2,2,6,10
,Governor - Republican,,,1,11
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,11
Paul Mango,8,0,0,3,11
Scott R Wagner,,7,0,4,11
Laura Ellsworth,,,5,5,11
Total,8,7,5,6,11
,Governor - Republican,,,1,12
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,12
Scott R Wagner,9,0,0,3,12
Paul Mango,,7,0,4,12
Laura Ellsworth,,,0,5,12
Total,9,7,0,6,12
,Governor - Republican,,,1,13
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,13
Paul Mango,10,0,0,3,13
Scott R Wagner,,6,0,4,13
Laura Ellsworth,,,3,5,13
Total,10,6,3,6,13
,Governor - Republican,,,1,14
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,14
Paul Mango,9,0,0,3,14
Scott R Wagner,,7,0,4,14
Laura Ellsworth,,,3,5,14
Total,9,7,3,6,14
,Governor - Republican,,,1,15
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,15
Scott R Wagner,9,0,0,3,15
Paul Mango,,5,0,4,15
Laura Ellsworth,,,2,5,15
Total,9,5,2,6,15
,Governor - Republican,,,1,16
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,16
Scott R Wagner,12,0,0,3,16
Paul Mango,,9,0,4,16
Laura Ellsworth,,,2,5,16
Total,12,9,2,6,16
,Governor - Republican,,,1,17
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,17
Scott R Wagner,11,0,0,3,17
Paul Mango,,8,0,4,17
Laura Ellsworth,,,3,5,17
Total,11,8,3,6,17
,Governor - Republican,,,1,18
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,18
Paul Mango,11,0,0,3,18
Scott R Wagner,,9,0,4,18
Laura Ellsworth,,,2,5,18
Total,11,9,2,6,18
,Governor - Republican,,,1,19
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,19
Scott R Wagner,11,0,0,3,19
Paul Mango,,6,0,4,19
Laura Ellsworth,,,1,5,19
Total,11,6,1,6,19
,Governor - Republican,,,1,20
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,20
Paul Mango,5,0,0,3,20
Scott R Wagner,,5,0,4,20
Laura Ellsworth,,,4,5,20
Total,5,5,4,6,20
,Governor - Republican,,,1,21
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,21
Scott R Wagner,13,0,0,3,21
Paul Mango,,9,0,4,21
Laura Ellsworth,,,3,5,21
Total,13,9,3,6,21
,Governor - Republican,,,1,22
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,22
Scott R Wagner,15,0,0,3,22
Laura Ellsworth,,6,0,4,22
Paul Mango,,,4,5,22
Total,15,6,4,6,22
,Governor - Republican,,,1,23
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,23
Scott R Wagner,6,0,0,3,23
Laura Ellsworth,,3,0,4,23
Paul Mango,,,1,5,23
Total,6,3,1,6,23
,Governor - Republican,,,1,24
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,24
Scott R Wagner,17,0,0,3,24
Paul Mango,,8,0,4,24
Laura Ellsworth,,,6,5,24
Total,17,8,6,6,24
,Governor - Republican,,,1,25
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,25
Laura Ellsworth,4,0,0,3,25
Paul Mango,,3,0,4,25
Scott R Wagner,,,3,5,25
Total,4,3,3,6,25
,Governor - Republican,,,1,26
,Laura Ellsworth,Scott R Wagner,Paul Mango,2,26
Laura Ellsworth,4,0,0,3,26
Scott R Wagner,,4,0,4,26
Paul Mango,,,3,5,26
Total,4,4,3,6,26
,Governor - Republican,,,1,27
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,27
Paul Mango,5,0,0,3,27
Scott R Wagner,,3,0,4,27
Laura Ellsworth,,,1,5,27
Total,5,3,1,6,27
,Governor - Republican,,,1,28
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,28
Paul Mango,13,0,0,3,28
Scott R Wagner,,10,0,4,28
Laura Ellsworth,,,5,5,28
Total,13,10,5,6,28
,Governor - Republican,,,1,29
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,29
Paul Mango,10,0,0,3,29
Scott R Wagner,,6,0,4,29
Laura Ellsworth,,,2,5,29
Total,10,6,2,6,29
