col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Bob Casey Jr,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,All
Bob Casey Jr,71,524,530,503,162,13,3,All
John Fetterman,,38,0,0,0,0,4,All
Mike Stack,,,30,0,0,0,5,All
Nina Ahmad,,,,19,0,0,6,All
Kathi Cozzone,,,,,11,0,7,All
Ray Sosa,,,,,,2,8,All
Total,"1,803",562,560,522,173,15,9,All
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,1
Bob Casey Jr,1,44,43,15,12,0,3,1
Nina Ahmad,,3,0,0,0,0,4,1
John Fetterman,,,3,0,0,0,5,1
Mike Stack,,,,1,0,0,6,1
Kathi Cozzone,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,115,47,46,16,12,0,9,1
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,2
Bob Casey Jr,1,11,4,3,2,0,3,2
Mike Stack,,0,0,0,0,0,4,2
Nina Ahmad,,,0,0,0,0,5,2
John Fetterman,,,,0,0,0,6,2
Kathi Cozzone,,,,,0,0,7,2
Ray Sosa,,,,,,0,8,2
Total,21,11,4,3,2,0,9,2
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Bob Casey Jr,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,3
Bob Casey Jr,2,33,24,20,12,4,3,3
John Fetterman,,2,0,0,0,0,4,3
Nina Ahmad,,,0,0,0,0,5,3
Mike Stack,,,,1,0,0,6,3
Kathi Cozzone,,,,,1,0,7,3
Ray Sosa,,,,,,0,8,3
Total,95,35,24,21,13,4,9,3
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Bob Casey Jr,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,4
Bob Casey Jr,3,45,29,26,10,0,3,4
John Fetterman,,2,0,0,0,0,4,4
Mike Stack,,,5,0,0,0,5,4
Nina Ahmad,,,,1,0,0,6,4
Kathi Cozzone,,,,,3,0,7,4
Ray Sosa,,,,,,0,8,4
Total,113,47,34,27,13,0,9,4
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,5
Bob Casey Jr,1,40,28,24,13,0,3,5
Mike Stack,,1,0,0,0,0,4,5
Nina Ahmad,,,1,0,0,0,5,5
John Fetterman,,,,3,0,0,6,5
Kathi Cozzone,,,,,1,0,7,5
Ray Sosa,,,,,,0,8,5
Total,106,41,29,27,14,0,9,5
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,6
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,6
Bob Casey Jr,3,32,20,17,7,1,3,6
Nina Ahmad,,4,0,0,0,0,4,6
John Fetterman,,,2,0,0,0,5,6
Mike Stack,,,,0,0,0,6,6
Kathi Cozzone,,,,,0,0,7,6
Ray Sosa,,,,,,1,8,6
Total,80,36,22,17,7,2,9,6
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,7
,Bob Casey Jr,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,7
Bob Casey Jr,5,77,18,17,12,0,3,7
Mike Stack,,3,0,0,0,0,4,7
John Fetterman,,,1,0,0,0,5,7
Nina Ahmad,,,,0,0,0,6,7
Kathi Cozzone,,,,,1,0,7,7
Ray Sosa,,,,,,0,8,7
Total,129,80,19,17,13,0,9,7
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,8
,Bob Casey Jr,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,8
Bob Casey Jr,5,38,31,12,7,2,3,8
John Fetterman,,1,0,0,0,0,4,8
Nina Ahmad,,,1,0,0,0,5,8
Mike Stack,,,,0,0,0,6,8
Kathi Cozzone,,,,,1,0,7,8
Ray Sosa,,,,,,0,8,8
Total,95,39,32,12,8,2,9,8
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,9
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,9
Bob Casey Jr,2,33,28,8,4,3,3,9
Nina Ahmad,,1,0,0,0,0,4,9
John Fetterman,,,2,0,0,0,5,9
Mike Stack,,,,0,0,0,6,9
Kathi Cozzone,,,,,1,0,7,9
Ray Sosa,,,,,,0,8,9
Total,78,34,30,8,5,3,9,9
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,10
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,10
Bob Casey Jr,1,23,18,13,8,0,3,10
Nina Ahmad,,1,0,0,0,0,4,10
John Fetterman,,,3,0,0,0,5,10
Mike Stack,,,,1,0,0,6,10
Kathi Cozzone,,,,,1,0,7,10
Ray Sosa,,,,,,0,8,10
Total,63,24,21,14,9,0,9,10
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,11
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,11
Bob Casey Jr,4,37,29,22,10,0,3,11
Nina Ahmad,,0,0,0,0,0,4,11
John Fetterman,,,0,0,0,0,5,11
Mike Stack,,,,2,0,0,6,11
Kathi Cozzone,,,,,0,0,7,11
Ray Sosa,,,,,,1,8,11
Total,102,37,29,24,10,1,9,11
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,12
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,12
Bob Casey Jr,6,18,15,13,4,1,3,12
Nina Ahmad,,1,0,0,0,0,4,12
John Fetterman,,,1,0,0,0,5,12
Mike Stack,,,,0,0,0,6,12
Kathi Cozzone,,,,,1,0,7,12
Ray Sosa,,,,,,0,8,12
Total,57,19,16,13,5,1,9,12
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,13
,Bob Casey Jr,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,13
Bob Casey Jr,6,35,31,22,9,1,3,13
John Fetterman,,1,0,0,0,0,4,13
Mike Stack,,,2,0,0,0,5,13
Nina Ahmad,,,,1,0,0,6,13
Kathi Cozzone,,,,,0,0,7,13
Ray Sosa,,,,,,0,8,13
Total,104,36,33,23,9,1,9,13
