col_1,col_2,division
,United States Senator - Democrat,All
,Bob Casey Jr,All
Bob Casey Jr,"1,032",All
Total,"1,032",All
,United States Senator - Democrat,1
,Bob Casey Jr,1
Bob Casey Jr,42,1
Total,42,1
,United States Senator - Democrat,2
,Bob Casey Jr,2
Bob Casey Jr,49,2
Total,49,2
,United States Senator - Democrat,3
,Bob Casey Jr,3
Bob Casey Jr,42,3
Total,42,3
,United States Senator - Democrat,4
,Bob Casey Jr,4
Bob Casey Jr,53,4
Total,53,4
,United States Senator - Democrat,5
,Bob Casey Jr,5
Bob Casey Jr,52,5
Total,52,5
,United States Senator - Democrat,6
,Bob Casey Jr,6
Bob Casey Jr,43,6
Total,43,6
,United States Senator - Democrat,7
,Bob Casey Jr,7
Bob Casey Jr,43,7
Total,43,7
,United States Senator - Democrat,8
,Bob Casey Jr,8
Bob Casey Jr,32,8
Total,32,8
,United States Senator - Democrat,9
,Bob Casey Jr,9
Bob Casey Jr,32,9
Total,32,9
,United States Senator - Democrat,10
,Bob Casey Jr,10
Bob Casey Jr,33,10
Total,33,10
,United States Senator - Democrat,11
,Bob Casey Jr,11
Bob Casey Jr,46,11
Total,46,11
,United States Senator - Democrat,12
,Bob Casey Jr,12
Bob Casey Jr,56,12
Total,56,12
,United States Senator - Democrat,13
,Bob Casey Jr,13
Bob Casey Jr,53,13
Total,53,13
,United States Senator - Democrat,14
,Bob Casey Jr,14
Bob Casey Jr,41,14
Total,41,14
,United States Senator - Democrat,15
,Bob Casey Jr,15
Bob Casey Jr,58,15
Total,58,15
,United States Senator - Democrat,16
,Bob Casey Jr,16
Bob Casey Jr,47,16
Total,47,16
,United States Senator - Democrat,17
,Bob Casey Jr,17
Bob Casey Jr,39,17
Total,39,17
,United States Senator - Democrat,18
,Bob Casey Jr,18
Bob Casey Jr,44,18
Total,44,18
,United States Senator - Democrat,19
,Bob Casey Jr,19
Bob Casey Jr,57,19
Total,57,19
,United States Senator - Democrat,20
,Bob Casey Jr,20
Bob Casey Jr,52,20
Total,52,20
,United States Senator - Democrat,21
,Bob Casey Jr,21
Bob Casey Jr,38,21
Total,38,21
,United States Senator - Democrat,22
,Bob Casey Jr,22
Bob Casey Jr,55,22
Total,55,22
,United States Senator - Democrat,23
,Bob Casey Jr,23
Bob Casey Jr,25,23
Total,25,23
