col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Tom Wolf,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Mariel J K Martin,Tom Young,Matthew D Myers,Andi Perez,Micah Mahjoubian,Joe Celentano,Darrell L Clarke,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,All
Tom Wolf,"1,241","1,664","1,585","1,489","1,475","1,435","1,267","1,385","1,381","1,128","1,149",900,845,665,3,All
Rhea Powell,,16,"1,006","1,039",768,815,389,832,804,793,477,731,681,478,4,All
Marylouise Isaacson,,,8,962,"1,027",957,657,"1,041",987,606,709,689,514,372,5,All
Amanda Mcillmurray,,,,24,807,663,397,729,665,636,439,717,534,422,6,All
Mariel J K Martin,,,,,15,768,718,890,791,484,756,568,399,280,7,All
Tom Young,,,,,,16,630,873,896,662,604,406,520,395,8,All
Matthew D Myers,,,,,,,101,592,563,322,759,312,209,181,9,All
Andi Perez,,,,,,,,5,889,524,657,499,466,383,10,All
Micah Mahjoubian,,,,,,,,,6,552,618,449,521,311,11,All
Joe Celentano,,,,,,,,,,52,312,358,489,394,12,All
Darrell L Clarke,,,,,,,,,,,6,347,228,187,13,All
Judi Golding Baker,,,,,,,,,,,,1,336,233,14,All
Noam Kugelmass,,,,,,,,,,,,,4,308,15,All
Jon Geeting,,,,,,,,,,,,,,4,16,All
Total,"4,826","1,721","1,631","1,556","1,533","1,493","1,430","1,424","1,418","1,225","1,196",929,865,687,17,All
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Joe Celentano,Andi Perez,Matthew D Myers,Darrell L Clarke,Mariel J K Martin,Marylouise Isaacson,Micah Mahjoubian,Tom Young,Noam Kugelmass,Jon Geeting,Judi Golding Baker,2,1
Tom Wolf,17,33,30,25,25,20,20,20,19,19,18,16,14,14,3,1
Rhea Powell,,0,22,18,19,14,17,14,15,14,11,13,12,13,4,1
Amanda Mcillmurray,,,0,16,18,11,13,15,14,11,15,14,11,8,5,1
Joe Celentano,,,,1,15,8,10,11,8,8,11,9,9,5,6,1
Andi Perez,,,,,0,11,13,12,10,11,13,11,10,7,7,1
Matthew D Myers,,,,,,1,13,9,12,6,6,5,5,9,8,1
Darrell L Clarke,,,,,,,0,11,10,10,6,9,7,9,9,1
Mariel J K Martin,,,,,,,,0,9,8,9,9,7,7,10,1
Marylouise Isaacson,,,,,,,,,1,9,7,8,3,8,11,1
Micah Mahjoubian,,,,,,,,,,0,6,8,6,7,12,1
Tom Young,,,,,,,,,,,0,7,6,5,13,1
