To Remove,Governor - Democrat,To Remove 2,Lieutenant Governor - Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,All
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,All
Tom Wolf,65,0,144,123,31,32,9,0,All
Write In,,0,2,0,0,0,0,0,All
Mike Stack,,,18,0,0,0,0,0,All
Kathi Cozzone,,,,4,0,0,0,0,All
John Fetterman,,,,,8,0,0,0,All
Nina Ahmad,,,,,,1,0,0,All
Ray Sosa,,,,,,,1,0,All
Write In,,,,,,,,0,All
Total,404,2,164,127,39,33,10,0,All
1,2,3,4,5,6,7,8,9,All
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,1
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,1
Tom Wolf,2,0,7,4,1,0,0,0,1
Write In,,0,0,0,0,0,0,0,1
Mike Stack,,,2,0,0,0,0,0,1
Kathi Cozzone,,,,1,0,0,0,0,1
John Fetterman,,,,,0,0,0,0,1
Nina Ahmad,,,,,,0,0,0,1
Ray Sosa,,,,,,,0,0,1
Write In,,,,,,,,0,1
Total,14,0,9,5,1,0,0,0,1
1,2,3,4,5,6,7,8,9,1
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,2
,Tom Wolf,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Write In,2
Tom Wolf,1,0,5,1,2,0,0,0,2
Write In,,0,0,0,0,0,0,0,2
Mike Stack,,,1,0,0,0,0,0,2
John Fetterman,,,,1,0,0,0,0,2
Kathi Cozzone,,,,,0,0,0,0,2
Nina Ahmad,,,,,,0,0,0,2
Ray Sosa,,,,,,,0,0,2
Write In,,,,,,,,0,2
Total,9,0,6,2,2,0,0,0,2
1,2,3,4,5,6,7,8,9,2
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,3
,Tom Wolf,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Write In,3
Tom Wolf,3,0,2,1,0,0,0,0,3
Write In,,0,0,0,0,0,0,0,3
Mike Stack,,,1,0,0,0,0,0,3
John Fetterman,,,,0,0,0,0,0,3
Kathi Cozzone,,,,,1,0,0,0,3
Nina Ahmad,,,,,,0,0,0,3
Ray Sosa,,,,,,,0,0,3
Write In,,,,,,,,0,3
Total,6,0,3,1,1,0,0,0,3
1,2,3,4,5,6,7,8,9,3
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,4
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,4
Tom Wolf,7,0,14,12,4,2,2,0,4
Write In,,0,0,0,0,0,0,0,4
Mike Stack,,,0,0,0,0,0,0,4
Kathi Cozzone,,,,0,0,0,0,0,4
John Fetterman,,,,,1,0,0,0,4
Nina Ahmad,,,,,,0,0,0,4
Ray Sosa,,,,,,,0,0,4
Write In,,,,,,,,0,4
Total,41,0,14,12,5,2,2,0,4
1,2,3,4,5,6,7,8,9,4
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,5
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,Write In,5
Tom Wolf,5,0,11,5,2,2,1,0,5
Write In,,0,0,0,0,0,0,0,5
Kathi Cozzone,,,0,0,0,0,0,0,5
Mike Stack,,,,2,0,0,0,0,5
John Fetterman,,,,,2,0,0,0,5
Nina Ahmad,,,,,,0,0,0,5
Ray Sosa,,,,,,,1,0,5
Write In,,,,,,,,0,5
Total,26,0,11,7,4,2,2,0,5
1,2,3,4,5,6,7,8,9,5
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,6
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,6
Tom Wolf,3,0,6,5,2,2,0,0,6
Write In,,0,0,0,0,0,0,0,6
Mike Stack,,,0,0,0,0,0,0,6
Kathi Cozzone,,,,0,0,0,0,0,6
John Fetterman,,,,,0,0,0,0,6
Nina Ahmad,,,,,,0,0,0,6
Ray Sosa,,,,,,,0,0,6
Write In,,,,,,,,0,6
Total,18,0,6,5,2,2,0,0,6
1,2,3,4,5,6,7,8,9,6
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,7
