col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Tom Wolf,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,All
Tom Wolf,93,557,436,432,413,380,345,340,315,309,3,All
James Harrity,,12,282,361,351,281,293,297,278,266,4,All
Mona Getzes Cohen,,,5,201,214,288,166,145,139,133,5,All
Richard Lombardo,,,,5,368,206,301,319,286,273,6,All
Erica Vanstone,,,,,1,219,311,310,276,277,7,All
Meagan Ingerson,,,,,,7,171,143,134,136,8,All
Catherine Bartch,,,,,,,0,245,237,262,9,All
Frank T Brzozowski,,,,,,,,1,236,233,10,All
Billy Cortes,,,,,,,,,0,225,11,All
Marnie Aument Loughrey,,,,,,,,,,0,12,All
Total,930,588,458,457,431,402,363,357,326,324,13,All
,Governor - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Tom Wolf,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,2,1
Tom Wolf,0,20,17,16,12,11,11,9,9,8,3,1
James Harrity,,0,10,10,12,11,10,10,9,8,4,1
Meagan Ingerson,,,0,10,6,5,6,3,2,3,5,1
Mona Getzes Cohen,,,,1,7,6,7,4,2,3,6,1
Erica Vanstone,,,,,0,10,10,9,7,8,7,1
Richard Lombardo,,,,,,0,9,9,8,6,8,1
Billy Cortes,,,,,,,0,7,6,7,9,1
Catherine Bartch,,,,,,,,0,7,6,10,1
Frank T Brzozowski,,,,,,,,,0,5,11,1
Marnie Aument Loughrey,,,,,,,,,,0,12,1
Total,33,21,17,17,12,12,11,10,10,8,13,1
,Governor - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,Tom Wolf,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Meagan Ingerson,Marnie Aument Loughrey,2,2
Tom Wolf,2,25,18,17,16,15,14,14,14,10,3,2
James Harrity,,0,13,14,14,13,11,11,12,9,4,2
Mona Getzes Cohen,,,0,10,9,8,6,8,11,5,5,2
Erica Vanstone,,,,0,14,12,11,11,8,10,6,2
Richard Lombardo,,,,,0,13,10,10,7,9,7,2
Catherine Bartch,,,,,,0,9,10,7,8,8,2
Billy Cortes,,,,,,,0,9,5,7,9,2
Frank T Brzozowski,,,,,,,,0,4,9,10,2
Meagan Ingerson,,,,,,,,,0,2,11,2
Marnie Aument Loughrey,,,,,,,,,,0,12,2
Total,34,25,18,17,16,15,14,14,14,10,13,2
,Governor - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Tom Wolf,James Harrity,Mona Getzes Cohen,Richard Lombardo,Meagan Ingerson,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,2,3
Tom Wolf,2,15,16,16,14,13,13,11,10,7,3,3
James Harrity,,1,8,12,9,11,10,9,7,4,4,3
Mona Getzes Cohen,,,0,12,9,9,10,8,6,5,5,3
Richard Lombardo,,,,0,10,13,13,11,10,7,6,3
Meagan Ingerson,,,,,0,9,8,5,6,3,7,3
Erica Vanstone,,,,,,0,11,8,8,6,8,3
Frank T Brzozowski,,,,,,,0,9,9,6,9,3
Billy Cortes,,,,,,,,0,6,5,10,3
Catherine Bartch,,,,,,,,,0,5,11,3
Marnie Aument Loughrey,,,,,,,,,,0,12,3
Total,27,16,16,16,14,13,13,11,10,7,13,3
,Governor - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Tom Wolf,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Billy Cortes,Richard Lombardo,Erica Vanstone,Marnie Aument Loughrey,Frank T Brzozowski,Catherine Bartch,2,4
Tom Wolf,0,22,17,18,13,12,11,10,9,5,3,4
James Harrity,,1,13,13,11,11,10,10,8,6,4,4
Mona Getzes Cohen,,,1,9,6,6,5,5,3,3,5,4
Meagan Ingerson,,,,1,7,8,6,6,5,3,6,4
Billy Cortes,,,,,0,10,10,8,8,4,7,4
Richard Lombardo,,,,,,0,9,9,8,5,8,4
Erica Vanstone,,,,,,,0,7,8,3,9,4
Marnie Aument Loughrey,,,,,,,,0,6,5,10,4
Frank T Brzozowski,,,,,,,,,0,4,11,4
Catherine Bartch,,,,,,,,,,0,12,4
Total,35,25,20,19,13,12,11,11,9,6,13,4
,Governor - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Tom Wolf,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Mona Getzes Cohen,Frank T Brzozowski,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,2,5
Tom Wolf,2,14,14,13,13,11,8,8,6,4,3,5
