col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Representative In The General Assembly 190th District - Democrat,,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,All
,Vanessa L Brown,Ray Bailey,Wanda Logan,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,All
Vanessa L Brown,168,0,0,492,410,420,329,265,260,262,182,107,112,78,79,62,All
Ray Bailey,,52,0,179,130,114,97,32,39,30,107,33,27,39,24,22,All
Wanda Logan,,,27,77,72,68,46,52,49,53,47,44,26,30,35,28,All
Kathryn S Huggins,,,,7,447,459,385,291,287,279,244,146,106,113,92,84,All
Ken Washington,,,,,0,426,399,254,249,253,239,107,97,91,93,57,All
Dewayne Drummond,,,,,,8,379,255,254,246,233,117,99,100,79,67,All
Liam G Boyle,,,,,,,1,215,207,209,199,75,60,63,53,34,All
Monica Maria Djerassi,,,,,,,,1,243,243,102,120,58,53,70,66,All
Lisa Rhodes,,,,,,,,,0,273,97,89,65,51,53,80,All
Linda Norris,,,,,,,,,,0,84,87,70,42,55,67,All
Kevin Bundy,,,,,,,,,,,0,76,83,86,60,47,All
Rebecca Poyourow,,,,,,,,,,,,0,45,60,56,52,All
John Brady,,,,,,,,,,,,,1,62,50,29,All
Nat Lownes,,,,,,,,,,,,,,0,46,30,All
Joe Khan,,,,,,,,,,,,,,,2,33,All
Jacque Whaumbush,,,,,,,,,,,,,,,,1,All
Total,871,297,161,762,618,617,479,356,353,350,341,187,169,149,140,116,All
,Representative In The General Assembly 190th District - Democrat,,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1
,Vanessa L Brown,Wanda Logan,Ray Bailey,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,Linda Norris,Liam G Boyle,Kevin Bundy,Joe Khan,Jacque Whaumbush,John Brady,Nat Lownes,1
Vanessa L Brown,21,0,0,41,35,31,23,24,22,16,19,18,14,9,15,10,1
Wanda Logan,,7,0,17,12,8,11,11,14,12,3,4,9,7,3,5,1
Ray Bailey,,,0,6,2,4,2,1,0,2,4,3,1,2,1,2,1
Kathryn S Huggins,,,,0,34,32,30,31,33,24,20,21,19,14,14,15,1
Dewayne Drummond,,,,,0,26,24,22,23,16,17,17,14,12,12,9,1
Ken Washington,,,,,,0,17,18,20,15,19,15,14,7,11,10,1
Lisa Rhodes,,,,,,,0,25,21,22,12,15,12,16,8,9,1
Monica Maria Djerassi,,,,,,,,0,28,18,12,10,15,14,8,8,1
Rebecca Poyourow,,,,,,,,,0,19,8,7,15,13,7,10,1
Linda Norris,,,,,,,,,,0,7,8,11,14,7,5,1
Liam G Boyle,,,,,,,,,,,0,17,6,4,8,5,1
Kevin Bundy,,,,,,,,,,,,0,5,4,6,5,1
Joe Khan,,,,,,,,,,,,,0,6,9,6,1
Jacque Whaumbush,,,,,,,,,,,,,,0,4,2,1
John Brady,,,,,,,,,,,,,,,0,7,1
Nat Lownes,,,,,,,,,,,,,,,,0,1
Total,78,27,9,65,49,43,37,37,37,31,26,25,24,19,19,17,1
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,2
