col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Republican,,Lieutenant Governor - Republican,,,,1,All
,Jim Christiana,Lou Barletta,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,All
Jim Christiana,5,0,5,0,0,0,3,All
Lou Barletta,,0,1,0,0,0,4,All
Kathy Coder,,,2,0,0,0,5,All
Jeff Bartos,,,,1,0,0,6,All
Diana Irey Vaughan,,,,,0,0,7,All
Peg Luksik,,,,,,0,8,All
Total,10,1,8,1,0,0,9,All
,United States Senator - Republican,,Lieutenant Governor - Republican,,,,1,2
,Jim Christiana,Lou Barletta,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,2
Jim Christiana,0,0,2,0,0,0,3,2
Lou Barletta,,0,0,0,0,0,4,2
Kathy Coder,,,0,0,0,0,5,2
Diana Irey Vaughan,,,,0,0,0,6,2
Jeff Bartos,,,,,0,0,7,2
Peg Luksik,,,,,,0,8,2
Total,2,0,2,0,0,0,9,2
,Lieutenant Governor - Republican,,,,United States Senator - Republican,,1,4
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Jim Christiana,Lou Barletta,2,4
Kathy Coder,1,0,0,0,1,0,3,4
Diana Irey Vaughan,,0,0,0,0,0,4,4
Jeff Bartos,,,0,0,0,0,5,4
Peg Luksik,,,,0,0,0,6,4
Jim Christiana,,,,,0,0,7,4
Lou Barletta,,,,,,0,8,4
Total,2,0,0,0,1,0,9,4
,United States Senator - Republican,,Lieutenant Governor - Republican,,,,1,8
,Jim Christiana,Lou Barletta,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,8
Jim Christiana,1,0,1,0,0,0,3,8
Lou Barletta,,0,0,0,0,0,4,8
Kathy Coder,,,0,0,0,0,5,8
Diana Irey Vaughan,,,,0,0,0,6,8
Jeff Bartos,,,,,0,0,7,8
Peg Luksik,,,,,,0,8,8
Total,2,0,1,0,0,0,9,8
,United States Senator - Republican,,Lieutenant Governor - Republican,,,,1,10
,Jim Christiana,Lou Barletta,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,10
Jim Christiana,2,0,0,0,0,0,3,10
Lou Barletta,,0,0,0,0,0,4,10
Diana Irey Vaughan,,,0,0,0,0,5,10
Jeff Bartos,,,,0,0,0,6,10
Kathy Coder,,,,,0,0,7,10
Peg Luksik,,,,,,0,8,10
Total,2,0,0,0,0,0,9,10
,Lieutenant Governor - Republican,,,,United States Senator - Republican,,1,12
,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jim Christiana,Lou Barletta,2,12
Jeff Bartos,1,0,0,0,0,0,3,12
Diana Irey Vaughan,,0,0,0,0,0,4,12
Kathy Coder,,,0,0,0,0,5,12
Peg Luksik,,,,0,0,0,6,12
Jim Christiana,,,,,0,0,7,12
Lou Barletta,,,,,,0,8,12
Total,1,0,0,0,0,0,9,12
,Lieutenant Governor - Republican,,,,United States Senator - Republican,,1,15
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Jim Christiana,Lou Barletta,2,15
Kathy Coder,1,0,0,0,0,0,3,15
Diana Irey Vaughan,,0,0,0,0,0,4,15
Jeff Bartos,,,0,0,0,0,5,15
Peg Luksik,,,,0,0,0,6,15
Jim Christiana,,,,,0,0,7,15
Lou Barletta,,,,,,0,8,15
Total,1,0,0,0,0,0,9,15
,United States Senator - Republican,,Lieutenant Governor - Republican,,,,1,17
,Jim Christiana,Lou Barletta,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,17
Jim Christiana,1,0,0,0,0,0,3,17
Lou Barletta,,0,1,0,0,0,4,17
Kathy Coder,,,0,0,0,0,5,17
Diana Irey Vaughan,,,,0,0,0,6,17
Jeff Bartos,,,,,0,0,7,17
Peg Luksik,,,,,,0,8,17
Total,1,1,1,0,0,0,9,17
,United States Senator - Republican,,Lieutenant Governor - Republican,,,,1,20
,Jim Christiana,Lou Barletta,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,20
Jim Christiana,1,0,0,0,0,0,3,20
Lou Barletta,,0,0,0,0,0,4,20
Diana Irey Vaughan,,,0,0,0,0,5,20
Jeff Bartos,,,,0,0,0,6,20
Kathy Coder,,,,,0,0,7,20
Peg Luksik,,,,,,0,8,20
Total,1,0,0,0,0,0,9,20
,United States Senator - Republican,,Lieutenant Governor - Republican,,,,1,21
,Jim Christiana,Lou Barletta,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,21
Jim Christiana,0,0,1,0,0,0,3,21
Lou Barletta,,0,0,0,0,0,4,21
Kathy Coder,,,0,0,0,0,5,21
Diana Irey Vaughan,,,,0,0,0,6,21
Jeff Bartos,,,,,0,0,7,21
Peg Luksik,,,,,,0,8,21
Total,1,0,1,0,0,0,9,21
