col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,order,division
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Rich Lazer,Theresa M Wright,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Mary Gay Scanlon,Thaddeus Kirkland,Margo Davidson,Greg Vitali,Larry Arata,Dan Muroff,Shelly Chauncey,David Wertime,Rhea Powell,Darrell L Clarke,Tom Young,Micah Mahjoubian,Marylouise Isaacson,Mariel J K Martin,Andi Perez,Amanda Mcillmurray,Matthew D Myers,Joe Celentano,Noam Kugelmass,Judi Golding Baker,Jon Geeting,2,All
Rich Lazer,941,0,0,0,0,0,0,0,0,0,0,0,0,44,66,52,55,52,51,52,25,43,26,22,18,14,3,All
Theresa M Wright,,547,0,0,0,0,0,0,0,0,0,0,0,30,11,20,14,11,10,10,5,6,15,16,2,9,4,All
Lindy Li,,,483,0,0,0,0,0,0,0,0,0,0,60,42,50,48,41,43,39,33,22,33,28,26,14,5,All
Molly Sheehan,,,,436,0,0,0,0,0,0,0,0,0,19,17,16,14,11,12,10,13,8,10,8,8,9,6,All
Ashley Lunkenheimer,,,,,211,0,0,0,0,0,0,0,0,5,2,5,2,2,2,2,2,1,0,0,1,0,7,All
Mary Gay Scanlon,,,,,,189,0,0,0,0,0,0,0,11,9,8,6,12,8,9,13,11,9,1,6,5,8,All
Thaddeus Kirkland,,,,,,,183,0,0,0,0,0,0,16,19,14,12,14,12,8,13,7,8,9,5,5,9,All
Margo Davidson,,,,,,,,141,0,0,0,0,0,20,23,8,12,14,14,12,10,11,6,9,6,3,10,All
Greg Vitali,,,,,,,,,148,0,0,0,0,3,0,5,3,0,0,0,0,0,5,3,0,0,11,All
Larry Arata,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,All
Dan Muroff,,,,,,,,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,All
Shelly Chauncey,,,,,,,,,,,,3,0,0,0,1,0,1,1,1,1,0,1,1,0,1,14,All
David Wertime,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,15,All
Rhea Powell,,,,,,,,,,,,,,2,101,102,98,101,97,90,93,51,81,84,58,47,16,All
Darrell L Clarke,,,,,,,,,,,,,,,2,102,101,112,112,109,71,97,51,45,42,31,17,All
Tom Young,,,,,,,,,,,,,,,,0,118,102,104,103,65,79,82,66,36,39,18,All
