col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,United States Senator - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1
,Bob Casey Jr,Rich Lazer,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Greg Vitali,Mary Gay Scanlon,Theresa M Wright,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,1
Bob Casey Jr,4,34,3,3,4,3,3,2,0,0,0,0,0,0,1
Rich Lazer,,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Lindy Li,,,3,0,0,0,0,0,0,0,0,0,0,0,1
Molly Sheehan,,,,3,0,0,0,0,0,0,0,0,0,0,1
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,1
Greg Vitali,,,,,,1,0,0,0,0,0,0,0,0,1
Mary Gay Scanlon,,,,,,,1,0,0,0,0,0,0,0,1
Theresa M Wright,,,,,,,,0,0,0,0,0,0,0,1
Dan Muroff,,,,,,,,,0,0,0,0,0,0,1
David Wertime,,,,,,,,,,0,0,0,0,0,1
Larry Arata,,,,,,,,,,,0,0,0,0,1
Margo Davidson,,,,,,,,,,,,0,0,0,1
Shelly Chauncey,,,,,,,,,,,,,0,0,1
Thaddeus Kirkland,,,,,,,,,,,,,,0,1
Total,56,41,6,6,4,4,4,2,0,0,0,0,0,0,1
,United States Senator - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,2
,Bob Casey Jr,Rich Lazer,Molly Sheehan,Mary Gay Scanlon,Ashley Lunkenheimer,Lindy Li,Greg Vitali,Theresa M Wright,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,2
Bob Casey Jr,2,35,9,6,7,4,2,3,0,0,0,0,0,0,2
Rich Lazer,,12,0,0,0,0,0,0,0,0,0,0,0,0,2
Molly Sheehan,,,2,0,0,0,0,0,0,0,0,0,0,0,2
Mary Gay Scanlon,,,,3,0,0,0,0,0,0,0,0,0,0,2
Ashley Lunkenheimer,,,,,1,0,0,0,0,0,0,0,0,0,2
Lindy Li,,,,,,2,0,0,0,0,0,0,0,0,2
Greg Vitali,,,,,,,1,0,0,0,0,0,0,0,2
Theresa M Wright,,,,,,,,0,0,0,0,0,0,0,2
Dan Muroff,,,,,,,,,0,0,0,0,0,0,2
David Wertime,,,,,,,,,,0,0,0,0,0,2
Larry Arata,,,,,,,,,,,0,0,0,0,2
Margo Davidson,,,,,,,,,,,,0,0,0,2
Shelly Chauncey,,,,,,,,,,,,,0,0,2
Thaddeus Kirkland,,,,,,,,,,,,,,0,2
Total,68,47,11,9,8,6,3,3,0,0,0,0,0,0,2
,United States Senator - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,3
,Bob Casey Jr,Rich Lazer,Greg Vitali,Mary Gay Scanlon,Molly Sheehan,Ashley Lunkenheimer,Lindy Li,Theresa M Wright,Larry Arata,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,3
Bob Casey Jr,3,23,7,6,4,2,1,2,0,0,0,0,0,0,3
Rich Lazer,,14,0,0,0,0,0,0,0,0,0,0,0,0,3
Greg Vitali,,,2,0,0,0,0,0,0,0,0,0,0,0,3
Mary Gay Scanlon,,,,0,0,0,0,0,0,0,0,0,0,0,3
Molly Sheehan,,,,,0,0,0,0,0,0,0,0,0,0,3
Ashley Lunkenheimer,,,,,,1,0,0,0,0,0,0,0,0,3
Lindy Li,,,,,,,2,0,0,0,0,0,0,0,3
Theresa M Wright,,,,,,,,0,0,0,0,0,0,0,3
Larry Arata,,,,,,,,,1,0,0,0,0,0,3
Dan Muroff,,,,,,,,,,0,0,0,0,0,3
David Wertime,,,,,,,,,,,0,0,0,0,3
Margo Davidson,,,,,,,,,,,,0,0,0,3
Shelly Chauncey,,,,,,,,,,,,,0,0,3
Thaddeus Kirkland,,,,,,,,,,,,,,0,3
Total,48,37,9,6,4,3,3,2,1,0,0,0,0,0,3
,United States Senator - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,4
,Bob Casey Jr,Rich Lazer,Molly Sheehan,Greg Vitali,Mary Gay Scanlon,Larry Arata,Lindy Li,Theresa M Wright,Ashley Lunkenheimer,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,4
Bob Casey Jr,5,21,8,3,3,1,0,1,0,0,0,0,0,0,4
Rich Lazer,,12,0,0,0,0,0,0,0,0,0,0,0,0,4
Molly Sheehan,,,0,0,0,0,0,0,0,0,0,0,0,0,4
Greg Vitali,,,,0,0,0,0,0,0,0,0,0,0,0,4
Mary Gay Scanlon,,,,,0,0,0,0,0,0,0,0,0,0,4
Larry Arata,,,,,,0,0,0,0,0,0,0,0,0,4
Lindy Li,,,,,,,1,0,0,0,0,0,0,0,4
Theresa M Wright,,,,,,,,0,0,0,0,0,0,0,4
Ashley Lunkenheimer,,,,,,,,,0,0,0,0,0,0,4
Dan Muroff,,,,,,,,,,0,0,0,0,0,4
David Wertime,,,,,,,,,,,0,0,0,0,4
Margo Davidson,,,,,,,,,,,,0,0,0,4
Shelly Chauncey,,,,,,,,,,,,,0,0,4
Thaddeus Kirkland,,,,,,,,,,,,,,0,4
Total,42,33,8,3,3,1,1,1,0,0,0,0,0,0,4
,United States Senator - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,5
,Bob Casey Jr,Rich Lazer,Mary Gay Scanlon,Molly Sheehan,Ashley Lunkenheimer,Lindy Li,Greg Vitali,Theresa M Wright,Larry Arata,Margo Davidson,Dan Muroff,David Wertime,Shelly Chauncey,Thaddeus Kirkland,5
Bob Casey Jr,1,15,9,9,5,6,4,4,2,1,0,0,0,0,5
Rich Lazer,,18,0,0,0,0,0,0,0,0,0,0,0,0,5
Mary Gay Scanlon,,,2,0,0,0,0,0,0,0,0,0,0,0,5
Molly Sheehan,,,,0,0,0,0,0,0,0,0,0,0,0,5
Ashley Lunkenheimer,,,,,3,0,0,0,0,0,0,0,0,0,5
Lindy Li,,,,,,0,0,0,0,0,0,0,0,0,5
Greg Vitali,,,,,,,1,0,0,0,0,0,0,0,5
Theresa M Wright,,,,,,,,0,0,0,0,0,0,0,5
Larry Arata,,,,,,,,,0,0,0,0,0,0,5
Margo Davidson,,,,,,,,,,0,0,0,0,0,5
Dan Muroff,,,,,,,,,,,0,0,0,0,5
David Wertime,,,,,,,,,,,,0,0,0,5
Shelly Chauncey,,,,,,,,,,,,,0,0,5
Thaddeus Kirkland,,,,,,,,,,,,,,0,5
Total,56,33,11,9,8,6,5,4,2,1,0,0,0,0,5
,United States Senator - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,6
,Bob Casey Jr,Rich Lazer,Molly Sheehan,Ashley Lunkenheimer,Greg Vitali,Mary Gay Scanlon,Lindy Li,Theresa M Wright,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,6
Bob Casey Jr,4,47,10,9,7,4,3,4,0,0,0,0,0,0,6
Rich Lazer,,29,0,0,0,0,0,0,0,0,0,0,0,0,6
Molly Sheehan,,,1,0,0,0,0,0,0,0,0,0,0,0,6
Ashley Lunkenheimer,,,,1,0,0,0,0,0,0,0,0,0,0,6
Greg Vitali,,,,,2,0,0,0,0,0,0,0,0,0,6
Mary Gay Scanlon,,,,,,1,0,0,0,0,0,0,0,0,6
Lindy Li,,,,,,,1,0,0,0,0,0,0,0,6
Theresa M Wright,,,,,,,,0,0,0,0,0,0,0,6
Thaddeus Kirkland,,,,,,,,,1,0,0,0,0,0,6
Dan Muroff,,,,,,,,,,0,0,0,0,0,6
David Wertime,,,,,,,,,,,0,0,0,0,6
Larry Arata,,,,,,,,,,,,0,0,0,6
Margo Davidson,,,,,,,,,,,,,0,0,6
Shelly Chauncey,,,,,,,,,,,,,,0,6
Total,88,76,11,10,9,5,4,4,1,0,0,0,0,0,6
,United States Senator - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,7
,Bob Casey Jr,Rich Lazer,Mary Gay Scanlon,Molly Sheehan,Greg Vitali,Ashley Lunkenheimer,Lindy Li,Theresa M Wright,Larry Arata,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,7
Bob Casey Jr,2,13,10,8,4,2,2,2,1,0,0,0,0,0,7
Rich Lazer,,8,0,0,0,0,0,0,0,0,0,0,0,0,7
Mary Gay Scanlon,,,1,0,0,0,0,0,0,0,0,0,0,0,7
Molly Sheehan,,,,0,0,0,0,0,0,0,0,0,0,0,7
Greg Vitali,,,,,0,0,0,0,0,0,0,0,0,0,7
