col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,All
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Chris Rabb,Carla Cain,2,All
Tom Wolf,"1,052","1,986","1,606","1,589","1,514",3,All
Sherrie Cohen,,32,"1,338","1,327","1,381",4,All
Qasim Rashad,,,15,"1,286","1,326",5,All
Chris Rabb,,,,12,"1,289",6,All
Carla Cain,,,,,8,7,All
Total,"3,664","2,052","1,651","1,631","1,557",8,All
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,1
,Tom Wolf,Sherrie Cohen,Carla Cain,Chris Rabb,Qasim Rashad,2,1
Tom Wolf,49,62,41,41,41,3,1
Sherrie Cohen,,1,38,36,35,4,1
Carla Cain,,,1,36,35,5,1
Chris Rabb,,,,0,33,6,1
Qasim Rashad,,,,,0,7,1
Total,124,63,42,41,41,8,1
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,2
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,2
Tom Wolf,69,73,60,55,51,3,2
Sherrie Cohen,,0,46,47,48,4,2
Qasim Rashad,,,0,45,44,5,2
Carla Cain,,,,0,47,6,2
Chris Rabb,,,,,0,7,2
Total,164,73,60,55,51,8,2
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,3
,Tom Wolf,Sherrie Cohen,Carla Cain,Chris Rabb,Qasim Rashad,2,3
Tom Wolf,51,62,60,61,52,3,3
Sherrie Cohen,,0,54,51,45,4,3
Carla Cain,,,0,50,47,5,3
Chris Rabb,,,,0,45,6,3
Qasim Rashad,,,,,1,7,3
Total,139,65,64,63,56,8,3
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,4
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,4
Tom Wolf,24,82,71,67,65,3,4
Sherrie Cohen,,1,57,59,57,4,4
Qasim Rashad,,,0,53,50,5,4
Carla Cain,,,,0,52,6,4
Chris Rabb,,,,,0,7,4
Total,134,84,71,67,66,8,4
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,5
,Tom Wolf,Sherrie Cohen,Carla Cain,Chris Rabb,Qasim Rashad,2,5
Tom Wolf,39,82,63,62,61,3,5
Sherrie Cohen,,1,54,50,52,4,5
Carla Cain,,,0,50,53,5,5
Chris Rabb,,,,0,48,6,5
Qasim Rashad,,,,,0,7,5
Total,147,83,63,62,61,8,5
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,6
,Tom Wolf,Sherrie Cohen,Chris Rabb,Qasim Rashad,Carla Cain,2,6
Tom Wolf,50,66,55,55,45,3,6
Sherrie Cohen,,1,42,41,41,4,6
Chris Rabb,,,1,42,39,5,6
Qasim Rashad,,,,0,42,6,6
Carla Cain,,,,,0,7,6
Total,141,67,56,55,45,8,6
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,7
,Tom Wolf,Sherrie Cohen,Carla Cain,Chris Rabb,Qasim Rashad,2,7
Tom Wolf,24,50,38,40,39,3,7
Sherrie Cohen,,6,37,36,35,4,7
Carla Cain,,,3,38,34,5,7
Chris Rabb,,,,2,33,6,7
Qasim Rashad,,,,,1,7,7
Total,88,61,45,45,44,8,7
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,8
,Tom Wolf,Sherrie Cohen,Chris Rabb,Qasim Rashad,Carla Cain,2,8
Tom Wolf,22,50,46,43,38,3,8
Sherrie Cohen,,1,33,32,32,4,8
Chris Rabb,,,0,32,34,5,8
Qasim Rashad,,,,0,31,6,8
Carla Cain,,,,,0,7,8
Total,98,51,46,43,38,8,8
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,9
,Tom Wolf,Sherrie Cohen,Chris Rabb,Qasim Rashad,Carla Cain,2,9
Tom Wolf,29,66,56,52,47,3,9
Sherrie Cohen,,0,48,46,44,4,9
