col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,All
,Michael H O Brien,Debby Derricks,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,All
Michael H O Brien,6,0,45,33,25,17,1,All
Debby Derricks,,3,19,13,19,21,1,All
Mike Stack,,,6,0,0,0,0,All
Kathi Cozzone,,,,7,0,0,0,All
Nina Ahmad,,,,,3,0,0,All
John Fetterman,,,,,,1,0,All
Ray Sosa,,,,,,,2,All
Total,127,76,70,53,47,39,4,All
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,9
,Debby Derricks,Michael H O Brien,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,9
Debby Derricks,1,0,2,4,1,1,0,9
Michael H O Brien,,0,2,2,1,0,0,9
Kathi Cozzone,,,3,0,0,0,0,9
Mike Stack,,,,0,0,0,0,9
John Fetterman,,,,,0,0,0,9
Nina Ahmad,,,,,,0,0,9
Ray Sosa,,,,,,,0,9
Total,9,5,7,6,2,1,0,9
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,13
,Michael H O Brien,Debby Derricks,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,13
Michael H O Brien,2,0,7,9,4,7,0,13
Debby Derricks,,0,2,1,4,1,0,13
Mike Stack,,,2,0,0,0,0,13
Kathi Cozzone,,,,0,0,0,0,13
John Fetterman,,,,,0,0,0,13
Nina Ahmad,,,,,,0,0,13
Ray Sosa,,,,,,,0,13
Total,29,8,11,10,8,8,0,13
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,14
,Michael H O Brien,Debby Derricks,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,14
Michael H O Brien,1,0,3,3,2,2,0,14
Debby Derricks,,0,2,2,2,0,1,14
Mike Stack,,,2,0,0,0,0,14
Nina Ahmad,,,,0,0,0,0,14
John Fetterman,,,,,0,0,0,14
Kathi Cozzone,,,,,,0,0,14
Ray Sosa,,,,,,,0,14
Total,11,7,7,5,4,2,1,14
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,15
,Michael H O Brien,Debby Derricks,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,15
Michael H O Brien,0,0,3,0,3,0,0,15
Debby Derricks,,0,1,3,0,0,0,15
Mike Stack,,,0,0,0,0,0,15
John Fetterman,,,,0,0,0,0,15
Kathi Cozzone,,,,,0,0,0,15
Nina Ahmad,,,,,,0,0,15
Ray Sosa,,,,,,,0,15
Total,6,4,4,3,3,0,0,15
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,16
,Michael H O Brien,Debby Derricks,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,16
Michael H O Brien,1,0,3,2,2,0,1,16
Debby Derricks,,0,3,1,0,0,0,16
Mike Stack,,,0,0,0,0,0,16
Kathi Cozzone,,,,0,0,0,0,16
John Fetterman,,,,,0,0,0,16
Nina Ahmad,,,,,,1,0,16
Ray Sosa,,,,,,,0,16
Total,9,4,6,3,2,1,1,16
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,17
,Debby Derricks,Michael H O Brien,John Fetterman,Kathi Cozzone,Mike Stack,Nina Ahmad,Ray Sosa,17
Debby Derricks,0,0,4,2,0,2,0,17
Michael H O Brien,,0,0,1,3,0,0,17
John Fetterman,,,0,0,0,0,0,17
Kathi Cozzone,,,,0,0,0,0,17
Mike Stack,,,,,0,0,0,17
Nina Ahmad,,,,,,0,0,17
Ray Sosa,,,,,,,0,17
Total,8,4,4,3,3,2,0,17
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,18
,Michael H O Brien,Debby Derricks,Nina Ahmad,John Fetterman,Kathi Cozzone,Mike Stack,Ray Sosa,18
Michael H O Brien,0,0,8,4,1,3,0,18
Debby Derricks,,0,2,2,4,1,0,18
Nina Ahmad,,,0,0,0,0,0,18
John Fetterman,,,,1,0,0,0,18
Kathi Cozzone,,,,,2,0,0,18
Mike Stack,,,,,,0,0,18
Ray Sosa,,,,,,,0,18
Total,16,9,10,7,7,4,0,18
,Representative In The General Assembly 175th District - Democrat,,Lieutenant Governor - Democrat,,,,,19
,Michael H O Brien,Debby Derricks,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,19
Michael H O Brien,0,0,7,4,1,0,0,19
Debby Derricks,,2,1,0,1,0,0,19
