col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,All
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
Bryan E Leib,8,30,21,14,9,3,All
Kathy Coder,,3,0,0,0,4,All
Diana Irey Vaughan,,,5,0,0,5,All
Jeff Bartos,,,,4,0,6,All
Peg Luksik,,,,,1,7,All
Total,82,33,26,18,10,8,All
,Lieutenant Governor - Republican,,,,Representative In Congress 3rd District - Republican,1,3
,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Bryan E Leib,2,3
Jeff Bartos,1,0,0,0,0,3,3
Diana Irey Vaughan,,0,0,0,0,4,3
Kathy Coder,,,0,0,0,5,3
Peg Luksik,,,,0,0,6,3
Bryan E Leib,,,,,0,7,3
Total,1,0,0,0,0,8,3
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,7
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,7
Bryan E Leib,0,1,0,0,0,3,7
Kathy Coder,,0,0,0,0,4,7
Diana Irey Vaughan,,,0,0,0,5,7
Jeff Bartos,,,,0,0,6,7
Peg Luksik,,,,,0,7,7
Total,1,1,0,0,0,8,7
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,12
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,12
Bryan E Leib,0,1,0,0,0,3,12
Kathy Coder,,0,0,0,0,4,12
Diana Irey Vaughan,,,0,0,0,5,12
Jeff Bartos,,,,0,0,6,12
Peg Luksik,,,,,0,7,12
Total,1,1,0,0,0,8,12
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,13
,Bryan E Leib,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,13
Bryan E Leib,0,2,1,0,0,3,13
Diana Irey Vaughan,,0,0,0,0,4,13
Kathy Coder,,,0,0,0,5,13
Jeff Bartos,,,,0,0,6,13
Peg Luksik,,,,,0,7,13
Total,3,2,1,0,0,8,13
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,14
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,14
Bryan E Leib,0,1,1,1,0,3,14
Diana Irey Vaughan,,0,0,0,0,4,14
Jeff Bartos,,,0,0,0,5,14
Kathy Coder,,,,0,0,6,14
Peg Luksik,,,,,0,7,14
Total,3,1,1,1,0,8,14
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,17
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,17
Bryan E Leib,0,3,1,0,0,3,17
Kathy Coder,,0,0,0,0,4,17
Diana Irey Vaughan,,,0,0,0,5,17
Jeff Bartos,,,,0,0,6,17
Peg Luksik,,,,,0,7,17
Total,4,3,1,0,0,8,17
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,19
,Bryan E Leib,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,19
Bryan E Leib,1,1,1,0,0,3,19
Diana Irey Vaughan,,0,0,0,0,4,19
Kathy Coder,,,0,0,0,5,19
Jeff Bartos,,,,0,0,6,19
Peg Luksik,,,,,0,7,19
Total,3,1,1,0,0,8,19
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,20
,Bryan E Leib,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,20
Bryan E Leib,0,2,0,0,0,3,20
Jeff Bartos,,0,0,0,0,4,20
Kathy Coder,,,2,0,0,5,20
Diana Irey Vaughan,,,,0,0,6,20
Peg Luksik,,,,,0,7,20
Total,2,2,2,0,0,8,20
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,21
,Bryan E Leib,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,21
Bryan E Leib,0,2,1,0,0,3,21
Kathy Coder,,0,0,0,0,4,21
Jeff Bartos,,,0,0,0,5,21
Diana Irey Vaughan,,,,0,0,6,21
Peg Luksik,,,,,0,7,21
Total,3,2,1,0,0,8,21
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,22
,Bryan E Leib,Jeff Bartos,Peg Luksik,Diana Irey Vaughan,Kathy Coder,2,22
Bryan E Leib,2,1,0,0,0,3,22
Jeff Bartos,,0,0,0,0,4,22
Peg Luksik,,,1,0,0,5,22
Diana Irey Vaughan,,,,0,0,6,22
Kathy Coder,,,,,0,7,22
Total,3,1,1,0,0,8,22
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,23
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,23
Bryan E Leib,1,6,4,4,3,3,23
Kathy Coder,,1,0,0,0,4,23
Diana Irey Vaughan,,,2,0,0,5,23
Jeff Bartos,,,,1,0,6,23
Peg Luksik,,,,,0,7,23
Total,18,7,6,5,3,8,23
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,24
,Bryan E Leib,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,2,24
Bryan E Leib,2,1,2,1,0,3,24
Diana Irey Vaughan,,1,0,0,0,4,24
Kathy Coder,,,0,0,0,5,24
Peg Luksik,,,,0,0,6,24
Jeff Bartos,,,,,0,7,24
Total,6,2,2,1,0,8,24
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,25
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,25
Bryan E Leib,0,1,0,0,0,3,25
Diana Irey Vaughan,,0,0,0,0,4,25
Jeff Bartos,,,0,0,0,5,25
Kathy Coder,,,,0,0,6,25
Peg Luksik,,,,,0,7,25
Total,1,1,0,0,0,8,25
,Lieutenant Governor - Republican,,,,Representative In Congress 3rd District - Republican,1,28
,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Bryan E Leib,2,28
Jeff Bartos,1,0,0,0,0,3,28
Diana Irey Vaughan,,0,0,0,0,4,28
Kathy Coder,,,0,0,0,5,28
Peg Luksik,,,,0,0,6,28
Bryan E Leib,,,,,0,7,28
Total,1,0,0,0,0,8,28
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,29
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,29
Bryan E Leib,0,1,0,0,0,3,29
Kathy Coder,,0,0,0,0,4,29
Diana Irey Vaughan,,,0,0,0,5,29
Jeff Bartos,,,,0,0,6,29
Peg Luksik,,,,,0,7,29
Total,1,1,0,0,0,8,29
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,30
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,30
Bryan E Leib,1,0,0,0,0,3,30
Diana Irey Vaughan,,0,0,0,0,4,30
Jeff Bartos,,,0,0,0,5,30
Kathy Coder,,,,0,0,6,30
Peg Luksik,,,,,0,7,30
Total,1,0,0,0,0,8,30
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,31
,Bryan E Leib,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,31
Bryan E Leib,0,4,2,0,0,3,31
Kathy Coder,,0,0,0,0,4,31
Jeff Bartos,,,0,0,0,5,31
Diana Irey Vaughan,,,,0,0,6,31
Peg Luksik,,,,,0,7,31
Total,6,4,2,0,0,8,31
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,32
,Bryan E Leib,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,32
Bryan E Leib,0,1,0,0,0,3,32
Jeff Bartos,,0,0,0,0,4,32
Diana Irey Vaughan,,,0,0,0,5,32
Kathy Coder,,,,0,0,6,32
Peg Luksik,,,,,0,7,32
Total,1,1,0,0,0,8,32
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,33
,Bryan E Leib,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,33
Bryan E Leib,0,1,1,0,0,3,33
Diana Irey Vaughan,,0,0,0,0,4,33
Kathy Coder,,,0,0,0,5,33
Jeff Bartos,,,,0,0,6,33
Peg Luksik,,,,,0,7,33
Total,2,1,1,0,0,8,33
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,34
,Bryan E Leib,Diana Irey Vaughan,Peg Luksik,Kathy Coder,Jeff Bartos,2,34
Bryan E Leib,0,5,5,4,0,3,34
Diana Irey Vaughan,,1,0,0,0,4,34
Peg Luksik,,,0,0,0,5,34
Kathy Coder,,,,0,0,6,34
Jeff Bartos,,,,,0,7,34
Total,14,6,5,4,0,8,34
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,35
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,35
Bryan E Leib,1,0,0,0,0,3,35
