col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Dwight Evans,Kevin Johnson,Marylouise Isaacson,Micah Mahjoubian,Rhea Powell,Judi Golding Baker,Andi Perez,Mariel J K Martin,Tom Young,Amanda Mcillmurray,Darrell L Clarke,Noam Kugelmass,Matthew D Myers,Joe Celentano,Jon Geeting,All
Dwight Evans,408,0,"1,725","1,521","1,364","1,387","1,378","1,312","1,205","1,025","1,138",780,864,722,468,All
Kevin Johnson,,109,354,292,404,314,303,286,254,337,174,248,171,209,149,All
Marylouise Isaacson,,,6,"1,460","1,264","1,462","1,397","1,391","1,163","1,167","1,026",724,874,654,408,All
Micah Mahjoubian,,,,8,"1,016","1,142","1,222","1,111","1,084",792,934,712,751,615,344,All
Rhea Powell,,,,,17,984,982,912,804,"1,103",575,822,423,750,452,All
Judi Golding Baker,,,,,,1,"1,172","1,211",922,910,958,554,861,435,284,All
Andi Perez,,,,,,,0,"1,194","1,001",825,929,608,783,517,385,All
Mariel J K Martin,,,,,,,,0,974,888,891,523,785,452,290,All
Tom Young,,,,,,,,,3,615,751,564,727,606,333,All
Amanda Mcillmurray,,,,,,,,,,2,485,622,395,567,348,All
Darrell L Clarke,,,,,,,,,,,4,344,733,294,217,All
Noam Kugelmass,,,,,,,,,,,,3,271,499,309,All
Matthew D Myers,,,,,,,,,,,,,1,249,184,All
Joe Celentano,,,,,,,,,,,,,,3,304,All
Jon Geeting,,,,,,,,,,,,,,,1,All
Total,"2,888",706,"2,165","1,874","1,867","1,757","1,734","1,649","1,512","1,424","1,343","1,085","1,067",971,644,All
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1
,Dwight Evans,Kevin Johnson,Marylouise Isaacson,Rhea Powell,Micah Mahjoubian,Judi Golding Baker,Mariel J K Martin,Tom Young,Andi Perez,Amanda Mcillmurray,Darrell L Clarke,Matthew D Myers,Joe Celentano,Noam Kugelmass,Jon Geeting,1
Dwight Evans,30,0,133,111,106,100,96,99,98,77,78,72,60,50,31,1
Kevin Johnson,,2,18,31,17,18,20,16,16,23,9,12,14,11,11,1
Marylouise Isaacson,,,0,92,107,106,103,91,98,84,74,73,53,37,30,1
Rhea Powell,,,,2,70,69,69,69,68,90,41,40,62,50,34,1
Micah Mahjoubian,,,,,1,81,80,77,79,61,62,58,43,33,22,1
Judi Golding Baker,,,,,,0,83,75,85,59,65,65,36,32,16,1
Mariel J K Martin,,,,,,,0,77,85,63,64,61,38,22,16,1
Tom Young,,,,,,,,0,71,50,50,58,53,40,23,1
Andi Perez,,,,,,,,,0,54,63,65,35,30,20,1
Amanda Mcillmurray,,,,,,,,,,0,31,32,50,35,24,1
Darrell L Clarke,,,,,,,,,,,0,57,19,17,12,1
Matthew D Myers,,,,,,,,,,,,0,25,13,15,1
Joe Celentano,,,,,,,,,,,,,0,32,25,1
Noam Kugelmass,,,,,,,,,,,,,,0,16,1
Jon Geeting,,,,,,,,,,,,,,,0,1
Total,224,39,158,149,128,122,121,121,119,106,90,88,78,65,43,1
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,2
,Dwight Evans,Kevin Johnson,Marylouise Isaacson,Micah Mahjoubian,Judi Golding Baker,Rhea Powell,Andi Perez,Amanda Mcillmurray,Mariel J K Martin,Darrell L Clarke,Tom Young,Noam Kugelmass,Joe Celentano,Matthew D Myers,Jon Geeting,2
Dwight Evans,17,0,79,66,63,55,53,46,56,54,48,36,34,35,9,2
Kevin Johnson,,3,20,16,17,21,18,20,11,7,6,13,10,7,2,2
Marylouise Isaacson,,,2,70,73,64,62,59,61,47,49,40,37,42,8,2
Micah Mahjoubian,,,,0,58,51,56,42,47,44,42,41,32,30,9,2
Judi Golding Baker,,,,,0,48,51,49,52,47,38,31,28,37,8,2
Rhea Powell,,,,,,1,45,52,36,31,34,38,42,22,10,2
Andi Perez,,,,,,,0,36,44,44,34,34,27,31,9,2
Amanda Mcillmurray,,,,,,,,0,44,26,23,26,32,19,8,2
Mariel J K Martin,,,,,,,,,0,33,35,20,21,30,6,2
Darrell L Clarke,,,,,,,,,,0,33,23,17,31,6,2
Tom Young,,,,,,,,,,,0,25,25,32,5,2
Noam Kugelmass,,,,,,,,,,,,0,27,14,8,2
Joe Celentano,,,,,,,,,,,,,0,10,6,2
Matthew D Myers,,,,,,,,,,,,,,0,2,2
Jon Geeting,,,,,,,,,,,,,,,1,2
Total,117,28,106,85,83,81,72,69,68,62,60,54,47,46,15,2
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,3
,Dwight Evans,Kevin Johnson,Marylouise Isaacson,Judi Golding Baker,Mariel J K Martin,Micah Mahjoubian,Andi Perez,Tom Young,Darrell L Clarke,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Noam Kugelmass,Joe Celentano,Jon Geeting,3
Dwight Evans,39,0,122,110,100,96,95,92,85,84,62,59,43,36,14,3
Kevin Johnson,,3,11,10,9,9,11,4,5,5,11,9,8,6,2,3
Marylouise Isaacson,,,0,108,95,92,94,81,73,77,50,58,37,29,10,3
Judi Golding Baker,,,,0,92,79,88,78,67,75,45,49,33,23,11,3
Mariel J K Martin,,,,,0,75,77,73,69,72,40,45,32,23,7,3
Micah Mahjoubian,,,,,,1,82,74,67,70,30,32,30,17,6,3
Andi Perez,,,,,,,0,77,68,71,35,33,30,18,10,3
Tom Young,,,,,,,,0,68,72,27,28,25,23,10,3
Darrell L Clarke,,,,,,,,,0,66,18,22,22,14,2,3
Matthew D Myers,,,,,,,,,,0,19,23,18,14,6,3
Rhea Powell,,,,,,,,,,,1,47,36,25,12,3
Amanda Mcillmurray,,,,,,,,,,,,0,36,29,8,3
Noam Kugelmass,,,,,,,,,,,,,1,27,9,3
Joe Celentano,,,,,,,,,,,,,,0,6,3
Jon Geeting,,,,,,,,,,,,,,,0,3
Total,204,20,134,121,109,108,107,98,92,90,76,69,54,44,16,3
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,4
,Dwight Evans,Kevin Johnson,Marylouise Isaacson,Micah Mahjoubian,Rhea Powell,Judi Golding Baker,Tom Young,Mariel J K Martin,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Noam Kugelmass,Joe Celentano,Matthew D Myers,Jon Geeting,4
Dwight Evans,26,0,94,91,80,76,65,65,58,68,62,41,42,40,25,4
Kevin Johnson,,10,20,14,17,17,15,14,20,7,12,15,14,10,9,4
Marylouise Isaacson,,,0,82,70,82,62,66,65,65,56,43,39,41,27,4
Micah Mahjoubian,,,,2,58,67,62,55,43,58,51,37,39,33,20,4
Rhea Powell,,,,,1,58,49,43,63,45,36,48,43,22,26,4
Judi Golding Baker,,,,,,0,53,57,53,53,49,35,33,44,16,4
