col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,2,All
Kathryn S Huggins,183,422,352,321,352,295,264,201,201,93,101,81,78,3,All
Ken Washington,,65,318,307,338,232,227,148,149,77,95,66,56,4,All
Dewayne Drummond,,,35,234,261,177,166,151,114,74,83,65,49,5,All
Kevin Bundy,,,,22,241,144,132,84,132,76,86,54,38,6,All
Liam G Boyle,,,,,9,168,159,118,122,40,66,39,26,7,All
Lisa Rhodes,,,,,,6,245,155,135,68,55,57,72,8,All
Linda Norris,,,,,,,3,148,123,56,51,47,62,9,All
Monica Maria Djerassi,,,,,,,,4,93,43,48,56,58,10,All
Rebecca Poyourow,,,,,,,,,2,37,64,45,54,11,All
John Brady,,,,,,,,,,9,32,28,19,12,All
Nat Lownes,,,,,,,,,,,1,41,29,13,All
Joe Khan,,,,,,,,,,,,2,27,14,All
Jacque Whaumbush,,,,,,,,,,,,,1,15,All
Total,770,577,448,408,404,364,315,241,228,136,136,110,105,16,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Kevin Bundy,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,John Brady,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,2,1
Kathryn S Huggins,8,23,20,18,14,12,11,6,6,2,4,2,0,3,1
Dewayne Drummond,,2,25,20,16,14,11,8,8,4,4,2,1,4,1
Ken Washington,,,1,22,15,12,10,7,6,3,2,2,2,5,1
Liam G Boyle,,,,0,11,9,9,5,3,0,1,1,1,6,1
Kevin Bundy,,,,,2,5,3,5,8,4,3,2,2,7,1
Linda Norris,,,,,,0,10,7,4,2,2,2,0,8,1
Lisa Rhodes,,,,,,,0,6,1,1,3,2,1,9,1
Monica Maria Djerassi,,,,,,,,0,3,2,1,2,2,10,1
Nat Lownes,,,,,,,,,0,4,2,1,1,11,1
John Brady,,,,,,,,,,0,1,0,1,12,1
Rebecca Poyourow,,,,,,,,,,,0,1,0,13,1
Jacque Whaumbush,,,,,,,,,,,,0,1,14,1
Joe Khan,,,,,,,,,,,,,0,15,1
Total,32,30,29,22,20,14,13,9,8,4,4,3,2,16,1
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Nat Lownes,John Brady,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,2,2
Kathryn S Huggins,11,17,20,18,15,10,10,11,10,6,7,7,2,3,2
Ken Washington,,5,17,15,12,6,10,7,9,5,4,4,4,4,2
Dewayne Drummond,,,2,17,12,7,8,8,11,6,6,4,6,5,2
Kevin Bundy,,,,2,9,6,7,5,9,6,5,5,3,6,2
Liam G Boyle,,,,,3,5,5,4,6,2,5,2,2,7,2
Monica Maria Djerassi,,,,,,2,6,6,6,2,5,4,1,8,2
Linda Norris,,,,,,,1,7,6,2,1,3,2,9,2
Lisa Rhodes,,,,,,,,1,3,2,3,6,1,10,2
