col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,All
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,All
Meagan Ingerson,10,800,749,575,578,532,463,399,363,436,581,3,All
Erica Vanstone,,6,697,658,705,655,589,534,495,519,480,4,All
Mona Getzes Cohen,,,6,533,518,487,402,376,340,374,476,5,All
James Harrity,,,,4,503,475,493,467,411,479,329,6,All
Catherine Bartch,,,,,0,594,418,408,422,406,353,7,All
Marnie Aument Loughrey,,,,,,0,426,399,400,377,331,8,All
Frank T Brzozowski,,,,,,,5,431,361,393,260,9,All
Richard Lombardo,,,,,,,,1,361,352,229,10,All
Billy Cortes,,,,,,,,,0,317,225,11,All
Brendan F Boyle,,,,,,,,,,260,0,12,All
Michele Lawrence,,,,,,,,,,,112,13,All
Total,"1,048","1,029",870,832,774,721,673,594,552,998,788,14,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,1
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Michele Lawrence,Brendan F Boyle,2,1
Meagan Ingerson,0,73,67,51,49,47,31,30,27,50,39,3,1
Erica Vanstone,,2,65,53,51,47,31,31,30,41,38,4,1
Mona Getzes Cohen,,,0,49,42,44,27,28,26,41,36,5,1
James Harrity,,,,0,32,29,27,25,23,28,34,6,1
Catherine Bartch,,,,,0,41,21,18,25,35,19,7,1
Marnie Aument Loughrey,,,,,,0,19,22,21,30,20,8,1
Frank T Brzozowski,,,,,,,0,20,13,18,17,9,1
Richard Lombardo,,,,,,,,0,17,17,17,10,1
Billy Cortes,,,,,,,,,0,18,15,11,1
Michele Lawrence,,,,,,,,,,6,0,12,1
Brendan F Boyle,,,,,,,,,,,7,13,1
Total,89,81,77,62,54,50,35,34,33,63,55,14,1
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,2
,James Harrity,Erica Vanstone,Marnie Aument Loughrey,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Richard Lombardo,Meagan Ingerson,Mona Getzes Cohen,Brendan F Boyle,Michele Lawrence,2,2
James Harrity,1,11,10,10,10,9,9,5,5,11,1,3,2
Erica Vanstone,,0,12,12,12,11,11,3,3,10,1,4,2
Marnie Aument Loughrey,,,0,11,11,10,11,3,3,10,1,5,2
Catherine Bartch,,,,0,11,11,10,3,2,9,1,6,2
Frank T Brzozowski,,,,,0,10,11,2,2,9,1,7,2
Billy Cortes,,,,,,0,9,2,2,8,1,8,2
Richard Lombardo,,,,,,,0,1,1,9,0,9,2
Meagan Ingerson,,,,,,,,0,5,4,2,10,2
Mona Getzes Cohen,,,,,,,,,0,4,2,11,2
Brendan F Boyle,,,,,,,,,,1,0,12,2
Michele Lawrence,,,,,,,,,,,1,13,2
Total,15,13,13,12,12,11,11,6,6,14,3,14,2
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,3
,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Marnie Aument Loughrey,James Harrity,Frank T Brzozowski,Catherine Bartch,Billy Cortes,Richard Lombardo,Brendan F Boyle,Michele Lawrence,2,3
Erica Vanstone,0,44,36,34,29,33,26,25,27,32,29,3,3
Meagan Ingerson,,0,39,29,25,27,22,19,20,24,28,4,3
Mona Getzes Cohen,,,0,27,24,22,18,20,19,19,25,5,3
Marnie Aument Loughrey,,,,0,22,23,26,20,18,18,19,6,3
James Harrity,,,,,1,24,16,20,22,20,15,7,3
Frank T Brzozowski,,,,,,0,13,22,24,19,14,8,3
Catherine Bartch,,,,,,,0,16,12,16,14,9,3
Billy Cortes,,,,,,,,0,20,18,11,10,3
Richard Lombardo,,,,,,,,,0,18,11,11,3
Brendan F Boyle,,,,,,,,,,12,0,12,3
Michele Lawrence,,,,,,,,,,,6,13,3
Total,62,53,44,37,36,34,30,29,29,52,43,14,3
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,4
,Erica Vanstone,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,4
Erica Vanstone,0,66,51,52,55,46,52,35,33,46,32,3,4
Meagan Ingerson,,0,45,53,47,40,45,28,26,44,31,4,4
James Harrity,,,0,42,44,43,42,32,31,45,17,5,4
Mona Getzes Cohen,,,,0,40,33,40,23,21,37,25,6,4
Catherine Bartch,,,,,0,38,50,32,31,36,22,7,4
Frank T Brzozowski,,,,,,3,39,27,26,40,16,8,4
Marnie Aument Loughrey,,,,,,,0,31,29,36,20,9,4
Richard Lombardo,,,,,,,,0,24,24,12,10,4
Billy Cortes,,,,,,,,,0,20,15,11,4
Brendan F Boyle,,,,,,,,,,10,0,12,4
Michele Lawrence,,,,,,,,,,,4,13,4
Total,81,76,65,63,61,61,58,39,38,75,42,14,4
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Brendan F Boyle,Michele Lawrence,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Marnie Aument Loughrey,James Harrity,Mona Getzes Cohen,Billy Cortes,Frank T Brzozowski,Richard Lombardo,2,5
Brendan F Boyle,12,0,39,25,35,31,32,23,23,27,23,3,5
Michele Lawrence,,6,28,32,20,21,17,26,12,7,8,4,5
Erica Vanstone,,,0,47,54,50,40,43,35,32,29,5,5
Meagan Ingerson,,,,1,37,34,25,41,20,17,13,6,5
Catherine Bartch,,,,,0,45,34,35,32,29,26,7,5
Marnie Aument Loughrey,,,,,,0,35,35,31,29,26,8,5
James Harrity,,,,,,,1,26,26,22,24,9,5
Mona Getzes Cohen,,,,,,,,0,21,19,17,10,5
Billy Cortes,,,,,,,,,0,22,19,11,5
Frank T Brzozowski,,,,,,,,,,0,21,12,5
Richard Lombardo,,,,,,,,,,,0,13,5
Total,67,41,67,58,55,52,50,49,35,34,31,14,5
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,6
,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Marnie Aument Loughrey,James Harrity,Catherine Bartch,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Michele Lawrence,Brendan F Boyle,2,6
Meagan Ingerson,1,41,42,35,34,31,27,25,23,34,21,3,6
Mona Getzes Cohen,,0,34,30,30,27,22,25,21,28,22,4,6
Erica Vanstone,,,2,32,31,29,24,21,18,25,21,5,6
Marnie Aument Loughrey,,,,0,23,26,16,15,17,24,15,6,6
James Harrity,,,,,0,20,26,22,19,19,18,7,6
Catherine Bartch,,,,,,0,10,18,14,19,15,8,6
Frank T Brzozowski,,,,,,,0,18,14,13,16,9,6
Richard Lombardo,,,,,,,,0,14,11,17,10,6
Billy Cortes,,,,,,,,,0,12,13,11,6
Michele Lawrence,,,,,,,,,,8,0,12,6
Brendan F Boyle,,,,,,,,,,,4,13,6
Total,57,50,48,39,38,35,30,29,25,48,33,14,6
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,7
,Brendan F Boyle,Michele Lawrence,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,James Harrity,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,2,7
Brendan F Boyle,99,0,0,0,0,0,0,0,0,0,0,3,7
Michele Lawrence,,28,0,0,0,0,0,0,0,0,0,4,7
Billy Cortes,,,0,0,0,0,0,0,0,0,0,5,7
Catherine Bartch,,,,0,0,0,0,0,0,0,0,6,7
Erica Vanstone,,,,,0,0,0,0,0,0,0,7,7
Frank T Brzozowski,,,,,,0,0,0,0,0,0,8,7
James Harrity,,,,,,,0,0,0,0,0,9,7
Marnie Aument Loughrey,,,,,,,,0,0,0,0,10,7
Meagan Ingerson,,,,,,,,,0,0,0,11,7
Mona Getzes Cohen,,,,,,,,,,0,0,12,7
Richard Lombardo,,,,,,,,,,,0,13,7
Total,99,28,0,0,0,0,0,0,0,0,0,14,7
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,8
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,Catherine Bartch,James Harrity,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Brendan F Boyle,Michele Lawrence,2,8
Meagan Ingerson,0,54,51,46,39,38,31,31,32,24,38,3,8
Erica Vanstone,,0,47,49,40,41,35,36,34,25,35,4,8
Mona Getzes Cohen,,,0,39,33,32,27,26,26,19,35,5,8
Catherine Bartch,,,,0,35,40,29,31,27,24,29,6,8
James Harrity,,,,,0,29,28,27,27,26,23,7,8
Marnie Aument Loughrey,,,,,,0,24,27,22,20,26,8,8
Richard Lombardo,,,,,,,0,25,25,19,20,9,8
Billy Cortes,,,,,,,,0,20,19,19,10,8
Frank T Brzozowski,,,,,,,,,0,18,19,11,8
Brendan F Boyle,,,,,,,,,,13,0,12,8
Michele Lawrence,,,,,,,,,,,3,13,8
Total,63,60,55,53,50,46,39,38,37,47,46,14,8
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,9
,Mona Getzes Cohen,Erica Vanstone,Meagan Ingerson,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,Richard Lombardo,Michele Lawrence,Brendan F Boyle,2,9
Mona Getzes Cohen,0,43,45,37,30,24,23,22,21,30,22,3,9
Erica Vanstone,,0,43,39,32,26,24,24,22,30,21,4,9
Meagan Ingerson,,,0,37,31,25,23,20,23,33,18,5,9
James Harrity,,,,0,27,23,23,22,23,24,19,6,9
Catherine Bartch,,,,,0,25,17,17,17,22,13,7,9
Marnie Aument Loughrey,,,,,,0,17,14,14,19,10,8,9
Frank T Brzozowski,,,,,,,0,12,18,14,14,9,9
Billy Cortes,,,,,,,,0,13,12,15,10,9
Richard Lombardo,,,,,,,,,0,15,11,11,9
Michele Lawrence,,,,,,,,,,7,0,12,9
Brendan F Boyle,,,,,,,,,,,7,13,9
Total,52,51,51,43,35,29,28,27,26,47,35,14,9
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,10
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Richard Lombardo,Frank T Brzozowski,Michele Lawrence,Brendan F Boyle,2,10
Meagan Ingerson,1,38,37,29,28,28,21,21,19,27,24,3,10
Erica Vanstone,,0,31,24,23,25,18,19,19,22,18,4,10
Mona Getzes Cohen,,,2,25,22,22,18,17,15,22,17,5,10
James Harrity,,,,0,21,22,18,19,14,15,17,6,10
Catherine Bartch,,,,,0,23,18,16,11,15,15,7,10
Marnie Aument Loughrey,,,,,,0,17,16,12,14,16,8,10
Billy Cortes,,,,,,,0,11,12,13,11,9,10
Richard Lombardo,,,,,,,,0,14,9,14,10,10
Frank T Brzozowski,,,,,,,,,0,11,10,11,10
Michele Lawrence,,,,,,,,,,3,0,12,10
Brendan F Boyle,,,,,,,,,,,3,13,10
Total,54,42,42,32,30,30,24,23,21,35,30,14,10
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,11
,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Catherine Bartch,James Harrity,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Michele Lawrence,Brendan F Boyle,2,11
Meagan Ingerson,2,56,52,42,37,38,30,27,22,39,29,3,11
Mona Getzes Cohen,,1,49,41,35,35,28,27,21,36,24,4,11
Erica Vanstone,,,0,48,38,40,35,33,27,31,29,5,11
Catherine Bartch,,,,0,34,39,29,27,24,26,24,6,11
James Harrity,,,,,0,33,32,29,24,23,23,7,11
Marnie Aument Loughrey,,,,,,0,29,27,23,21,23,8,11
Frank T Brzozowski,,,,,,,0,23,19,19,20,9,11
Richard Lombardo,,,,,,,,0,24,17,18,10,11
Billy Cortes,,,,,,,,,0,14,17,11,11
Michele Lawrence,,,,,,,,,,5,0,12,11
Brendan F Boyle,,,,,,,,,,,6,13,11
Total,73,64,63,52,48,47,40,37,31,49,47,14,11
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,12
,Erica Vanstone,Meagan Ingerson,Marnie Aument Loughrey,Catherine Bartch,Mona Getzes Cohen,James Harrity,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Michele Lawrence,Brendan F Boyle,2,12
Erica Vanstone,0,23,26,24,18,18,18,18,17,17,14,3,12
Meagan Ingerson,,1,19,17,18,15,11,11,11,21,9,4,12
Marnie Aument Loughrey,,,0,22,16,17,18,18,18,16,11,5,12
Catherine Bartch,,,,0,13,14,14,15,14,11,14,6,12
Mona Getzes Cohen,,,,,1,11,10,10,9,14,9,7,12
James Harrity,,,,,,0,13,13,11,9,14,8,12
Frank T Brzozowski,,,,,,,0,13,14,9,10,9,12
Richard Lombardo,,,,,,,,0,13,8,11,10,12
Billy Cortes,,,,,,,,,0,10,8,11,12
Michele Lawrence,,,,,,,,,,5,0,12,12
Brendan F Boyle,,,,,,,,,,,2,13,12
Total,31,31,27,25,24,23,19,19,18,29,22,14,12
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,13
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,13
Meagan Ingerson,0,51,42,28,34,30,23,23,22,23,38,3,13
Erica Vanstone,,0,41,36,44,40,35,35,33,29,31,4,13
Mona Getzes Cohen,,,2,25,31,28,20,22,22,21,28,5,13
James Harrity,,,,0,27,27,26,27,26,26,19,6,13
Catherine Bartch,,,,,0,36,21,25,29,21,23,7,13
Marnie Aument Loughrey,,,,,,0,23,25,28,19,22,8,13
Frank T Brzozowski,,,,,,,1,28,23,26,14,9,13
Richard Lombardo,,,,,,,,0,26,22,16,10,13
Billy Cortes,,,,,,,,,0,20,14,11,13
Brendan F Boyle,,,,,,,,,,7,0,12,13
Michele Lawrence,,,,,,,,,,,6,13,13
Total,64,63,53,47,46,42,41,39,36,57,46,14,13
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,14
,Meagan Ingerson,Erica Vanstone,James Harrity,Mona Getzes Cohen,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,14
Meagan Ingerson,0,44,40,43,31,34,27,23,13,24,44,3,14
Erica Vanstone,,1,43,40,41,40,35,32,23,22,33,4,14
James Harrity,,,0,39,33,37,29,30,22,25,27,5,14
Mona Getzes Cohen,,,,0,30,28,26,23,13,16,32,6,14
Catherine Bartch,,,,,0,26,32,20,19,22,23,7,14
Frank T Brzozowski,,,,,,0,26,27,18,19,25,8,14
Marnie Aument Loughrey,,,,,,,0,19,18,19,18,9,14
Richard Lombardo,,,,,,,,1,17,15,17,10,14
Billy Cortes,,,,,,,,,0,16,8,11,14
Brendan F Boyle,,,,,,,,,,12,0,12,14
Michele Lawrence,,,,,,,,,,,2,13,14
Total,69,57,54,50,46,45,38,34,24,56,48,14,14
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,15
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Michele Lawrence,Brendan F Boyle,2,15
Meagan Ingerson,0,48,46,36,30,30,28,27,19,38,26,3,15
Erica Vanstone,,0,44,37,32,32,31,29,18,29,25,4,15
Mona Getzes Cohen,,,0,38,28,31,29,29,18,28,25,5,15
James Harrity,,,,0,28,30,23,21,16,21,26,6,15
Frank T Brzozowski,,,,,0,25,15,16,16,16,20,7,15
Richard Lombardo,,,,,,0,19,21,15,18,17,8,15
Catherine Bartch,,,,,,,0,24,12,14,19,9,15
Marnie Aument Loughrey,,,,,,,,0,12,14,18,10,15
Billy Cortes,,,,,,,,,0,9,13,11,15
Michele Lawrence,,,,,,,,,,9,0,12,15
Brendan F Boyle,,,,,,,,,,,11,13,15
Total,65,56,54,47,37,35,33,32,22,54,47,14,15
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,16
,Erica Vanstone,James Harrity,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,16
Erica Vanstone,0,56,61,53,57,55,46,48,48,46,33,3,16
James Harrity,,0,43,40,38,45,36,40,35,40,27,4,16
Catherine Bartch,,,0,40,53,43,37,36,40,40,26,5,16
Meagan Ingerson,,,,1,35,33,51,23,25,27,35,6,16
Marnie Aument Loughrey,,,,,0,41,33,35,40,37,23,7,16
Frank T Brzozowski,,,,,,0,28,40,38,38,22,8,16
Mona Getzes Cohen,,,,,,,0,21,24,22,32,9,16
Richard Lombardo,,,,,,,,0,32,36,16,10,16
Billy Cortes,,,,,,,,,0,28,21,11,16
Brendan F Boyle,,,,,,,,,,14,0,12,16
Michele Lawrence,,,,,,,,,,,5,13,16
Total,82,69,68,66,62,61,55,52,49,74,50,14,16
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,17
,Brendan F Boyle,Michele Lawrence,Erica Vanstone,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,James Harrity,Mona Getzes Cohen,Richard Lombardo,2,17
Brendan F Boyle,13,0,33,28,21,26,27,25,28,13,22,3,17
Michele Lawrence,,2,22,19,26,19,14,13,9,21,11,4,17
Erica Vanstone,,,0,44,39,42,38,35,30,32,32,5,17
Catherine Bartch,,,,0,35,40,30,33,26,26,26,6,17
Meagan Ingerson,,,,,0,32,25,24,19,34,21,7,17
Marnie Aument Loughrey,,,,,,0,30,29,24,25,26,8,17
Frank T Brzozowski,,,,,,,1,25,20,18,26,9,17
Billy Cortes,,,,,,,,0,24,19,27,10,17
James Harrity,,,,,,,,,0,15,23,11,17
Mona Getzes Cohen,,,,,,,,,,0,16,12,17
Richard Lombardo,,,,,,,,,,,0,13,17
Total,58,32,57,48,48,45,44,39,38,35,33,14,17
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,18
,Meagan Ingerson,James Harrity,Erica Vanstone,Mona Getzes Cohen,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,2,18
Meagan Ingerson,0,39,40,40,29,29,27,21,17,27,30,3,18
James Harrity,,0,36,35,34,33,27,25,19,29,20,4,18
Erica Vanstone,,,0,35,32,31,30,25,23,28,20,5,18
Mona Getzes Cohen,,,,0,27,25,25,19,14,23,24,6,18
Frank T Brzozowski,,,,,0,31,23,20,18,24,14,7,18
Richard Lombardo,,,,,,0,24,21,16,26,11,8,18
Catherine Bartch,,,,,,,0,21,17,20,16,9,18
Billy Cortes,,,,,,,,0,13,17,13,10,18
Marnie Aument Loughrey,,,,,,,,,0,15,10,11,18
Brendan F Boyle,,,,,,,,,,15,0,12,18
Michele Lawrence,,,,,,,,,,,2,13,18
Total,58,50,48,48,38,37,36,30,25,55,41,14,18
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,19
,Brendan F Boyle,Michele Lawrence,Erica Vanstone,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,2,19
Brendan F Boyle,12,0,43,27,46,39,36,33,22,33,31,3,19
Michele Lawrence,,4,21,35,15,14,18,14,27,12,10,4,19
Erica Vanstone,,,1,40,46,49,51,44,38,43,39,5,19
Meagan Ingerson,,,,3,31,30,30,23,40,20,17,6,19
James Harrity,,,,,1,42,37,32,28,38,33,7,19
Frank T Brzozowski,,,,,,0,40,37,26,40,37,8,19
Catherine Bartch,,,,,,,0,44,31,38,35,9,19
Marnie Aument Loughrey,,,,,,,,0,24,35,33,10,19
Mona Getzes Cohen,,,,,,,,,0,23,18,11,19
Richard Lombardo,,,,,,,,,,0,34,12,19
Billy Cortes,,,,,,,,,,,0,13,19
Total,75,43,67,67,65,56,55,49,49,47,43,14,19
