col_1,col_2,col_3,col_4,col_5,order,division
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,All
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,All
Bryan E Leib,4,34,27,25,3,All
Calvin R Tucker,,0,26,26,4,All
Denise Furey,,,1,26,5,All
Walt Vogler,,,,0,6,All
Total,43,37,31,28,7,All
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,2
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,2
Bryan E Leib,0,1,1,1,3,2
Calvin R Tucker,,0,1,1,4,2
Denise Furey,,,0,1,5,2
Walt Vogler,,,,0,6,2
Total,1,1,1,1,7,2
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,3
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,3
Bryan E Leib,0,1,1,1,3,3
Calvin R Tucker,,0,1,1,4,3
Denise Furey,,,0,1,5,3
Walt Vogler,,,,0,6,3
Total,1,1,1,1,7,3
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,4
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,4
Bryan E Leib,0,2,1,1,3,4
Calvin R Tucker,,0,0,0,4,4
Denise Furey,,,0,1,5,4
Walt Vogler,,,,0,6,4
Total,3,2,1,1,7,4
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,5
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,5
Bryan E Leib,0,1,1,1,3,5
Calvin R Tucker,,0,1,1,4,5
Denise Furey,,,0,1,5,5
Walt Vogler,,,,0,6,5
Total,1,1,1,1,7,5
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,8
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,8
Bryan E Leib,0,1,0,0,3,8
Calvin R Tucker,,0,0,0,4,8
Denise Furey,,,0,0,5,8
Walt Vogler,,,,0,6,8
Total,1,1,0,0,7,8
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,10
,Bryan E Leib,Denise Furey,Calvin R Tucker,Walt Vogler,2,10
Bryan E Leib,0,2,0,0,3,10
Denise Furey,,0,0,0,4,10
Calvin R Tucker,,,0,0,5,10
Walt Vogler,,,,0,6,10
Total,2,2,0,0,7,10
,Member Of The - Republican State Committee 2nd Congressional District,,,Representative In Congress 3rd District - Republican,1,12
,Denise Furey,Calvin R Tucker,Walt Vogler,Bryan E Leib,2,12
Denise Furey,1,1,1,1,3,12
Calvin R Tucker,,0,1,1,4,12
Walt Vogler,,,0,1,5,12
Bryan E Leib,,,,0,6,12
Total,2,1,1,1,7,12
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,13
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,13
Bryan E Leib,0,2,2,1,3,13
Calvin R Tucker,,0,2,1,4,13
Denise Furey,,,0,1,5,13
Walt Vogler,,,,0,6,13
Total,2,2,2,1,7,13
,Member Of The - Republican State Committee 2nd Congressional District,,,Representative In Congress 3rd District - Republican,1,15
,Calvin R Tucker,Denise Furey,Walt Vogler,Bryan E Leib,2,15
Calvin R Tucker,0,6,6,7,3,15
Denise Furey,,0,6,5,4,15
Walt Vogler,,,0,5,5,15
Bryan E Leib,,,,0,6,15
Total,8,6,6,7,7,15
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,16
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,16
Bryan E Leib,0,1,1,1,3,16
Calvin R Tucker,,0,1,1,4,16
Denise Furey,,,0,1,5,16
Walt Vogler,,,,0,6,16
Total,1,1,1,1,7,16
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,17
,Bryan E Leib,Calvin R Tucker,Walt Vogler,Denise Furey,2,17
Bryan E Leib,0,4,4,3,3,17
Calvin R Tucker,,0,4,3,4,17
Walt Vogler,,,0,3,5,17
Denise Furey,,,,0,6,17
Total,4,4,4,3,7,17
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,18
,Bryan E Leib,Calvin R Tucker,Walt Vogler,Denise Furey,2,18
Bryan E Leib,0,4,2,1,3,18
Calvin R Tucker,,0,2,2,4,18
Walt Vogler,,,0,2,5,18
Denise Furey,,,,0,6,18
Total,5,5,3,2,7,18
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,20
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,20
Bryan E Leib,0,1,1,1,3,20
Calvin R Tucker,,0,1,1,4,20
Denise Furey,,,0,1,5,20
Walt Vogler,,,,0,6,20
Total,1,1,1,1,7,20
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,21
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,21
Bryan E Leib,1,2,1,1,3,21
Calvin R Tucker,,0,1,1,4,21
Denise Furey,,,0,1,5,21
Walt Vogler,,,,0,6,21
Total,3,2,1,1,7,21
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,22
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,22
Bryan E Leib,1,3,2,2,3,22
Calvin R Tucker,,0,3,3,4,22
Denise Furey,,,0,3,5,22
Walt Vogler,,,,0,6,22
Total,4,4,3,3,7,22
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,23
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,23
Bryan E Leib,0,2,2,2,3,23
Calvin R Tucker,,0,2,2,4,23
Denise Furey,,,0,2,5,23
Walt Vogler,,,,0,6,23
Total,2,2,2,2,7,23
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,24
,Bryan E Leib,Denise Furey,Calvin R Tucker,Walt Vogler,2,24
Bryan E Leib,0,1,0,0,3,24
Denise Furey,,0,0,0,4,24
Calvin R Tucker,,,0,0,5,24
Walt Vogler,,,,0,6,24
Total,1,1,0,0,7,24
,Representative In Congress 3rd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,25
,Bryan E Leib,Calvin R Tucker,Denise Furey,Walt Vogler,2,25
Bryan E Leib,2,1,1,1,3,25
Calvin R Tucker,,0,1,1,4,25
Denise Furey,,,0,1,5,25
Walt Vogler,,,,0,6,25
Total,3,1,1,1,7,25
