col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,All
,Rich Lazer,Molly Sheehan,Mary Gay Scanlon,Ashley Lunkenheimer,Lindy Li,Greg Vitali,Theresa M Wright,Larry Arata,Margo Davidson,Thaddeus Kirkland,Shelly Chauncey,Dan Muroff,David Wertime,All
Rich Lazer,844,0,0,0,0,0,0,0,0,0,0,0,0,All
Molly Sheehan,,272,0,0,0,0,0,0,0,0,0,0,0,All
Mary Gay Scanlon,,,187,0,0,0,0,0,0,0,0,0,0,All
Ashley Lunkenheimer,,,,166,0,0,0,0,0,0,0,0,0,All
Lindy Li,,,,,158,0,0,0,0,0,0,0,0,All
Greg Vitali,,,,,,100,0,0,0,0,0,0,0,All
Theresa M Wright,,,,,,,65,0,0,0,0,0,0,All
Larry Arata,,,,,,,,19,0,0,0,0,0,All
Margo Davidson,,,,,,,,,9,0,0,0,0,All
Thaddeus Kirkland,,,,,,,,,,8,0,0,0,All
Shelly Chauncey,,,,,,,,,,,1,0,0,All
Dan Muroff,,,,,,,,,,,,0,0,All
David Wertime,,,,,,,,,,,,,0,All
Total,844,272,187,166,158,100,65,19,9,8,1,0,0,All
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1
,Rich Lazer,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Greg Vitali,Mary Gay Scanlon,Theresa M Wright,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,1
Rich Lazer,41,0,0,0,0,0,0,0,0,0,0,0,0,1
Lindy Li,,6,0,0,0,0,0,0,0,0,0,0,0,1
Molly Sheehan,,,6,0,0,0,0,0,0,0,0,0,0,1
Ashley Lunkenheimer,,,,4,0,0,0,0,0,0,0,0,0,1
Greg Vitali,,,,,4,0,0,0,0,0,0,0,0,1
Mary Gay Scanlon,,,,,,4,0,0,0,0,0,0,0,1
Theresa M Wright,,,,,,,2,0,0,0,0,0,0,1
Dan Muroff,,,,,,,,0,0,0,0,0,0,1
David Wertime,,,,,,,,,0,0,0,0,0,1
Larry Arata,,,,,,,,,,0,0,0,0,1
Margo Davidson,,,,,,,,,,,0,0,0,1
Shelly Chauncey,,,,,,,,,,,,0,0,1
Thaddeus Kirkland,,,,,,,,,,,,,0,1
Total,41,6,6,4,4,4,2,0,0,0,0,0,0,1
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,2
,Rich Lazer,Molly Sheehan,Mary Gay Scanlon,Ashley Lunkenheimer,Lindy Li,Greg Vitali,Theresa M Wright,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,2
Rich Lazer,47,0,0,0,0,0,0,0,0,0,0,0,0,2
Molly Sheehan,,11,0,0,0,0,0,0,0,0,0,0,0,2
Mary Gay Scanlon,,,9,0,0,0,0,0,0,0,0,0,0,2
Ashley Lunkenheimer,,,,8,0,0,0,0,0,0,0,0,0,2
Lindy Li,,,,,6,0,0,0,0,0,0,0,0,2
Greg Vitali,,,,,,3,0,0,0,0,0,0,0,2
Theresa M Wright,,,,,,,3,0,0,0,0,0,0,2
Dan Muroff,,,,,,,,0,0,0,0,0,0,2
David Wertime,,,,,,,,,0,0,0,0,0,2
Larry Arata,,,,,,,,,,0,0,0,0,2
Margo Davidson,,,,,,,,,,,0,0,0,2
Shelly Chauncey,,,,,,,,,,,,0,0,2
Thaddeus Kirkland,,,,,,,,,,,,,0,2
Total,47,11,9,8,6,3,3,0,0,0,0,0,0,2
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,3
,Rich Lazer,Greg Vitali,Mary Gay Scanlon,Molly Sheehan,Ashley Lunkenheimer,Lindy Li,Theresa M Wright,Larry Arata,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,3
Rich Lazer,37,0,0,0,0,0,0,0,0,0,0,0,0,3
Greg Vitali,,9,0,0,0,0,0,0,0,0,0,0,0,3
Mary Gay Scanlon,,,6,0,0,0,0,0,0,0,0,0,0,3
Molly Sheehan,,,,4,0,0,0,0,0,0,0,0,0,3
Ashley Lunkenheimer,,,,,3,0,0,0,0,0,0,0,0,3
Lindy Li,,,,,,3,0,0,0,0,0,0,0,3
