col_1,col_2,col_3,division
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,All
,Joanna E Mcclinton,Bob Casey Jr,All
Joanna E Mcclinton,151,"1,835",All
Bob Casey Jr,,123,All
Total,"1,986","1,958",All
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,1
,Bob Casey Jr,Joanna E Mcclinton,1
Bob Casey Jr,7,47,1
Joanna E Mcclinton,,6,1
Total,54,53,1
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,2
,Joanna E Mcclinton,Bob Casey Jr,2
Joanna E Mcclinton,5,60,2
Bob Casey Jr,,4,2
Total,65,64,2
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,3
,Bob Casey Jr,Joanna E Mcclinton,3
Bob Casey Jr,5,84,3
Joanna E Mcclinton,,4,3
Total,89,88,3
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,4
,Joanna E Mcclinton,Bob Casey Jr,4
Joanna E Mcclinton,11,100,4
Bob Casey Jr,,5,4
Total,111,105,4
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,5
,Bob Casey Jr,Joanna E Mcclinton,5
Bob Casey Jr,7,57,5
Joanna E Mcclinton,,5,5
Total,64,62,5
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,6
,Joanna E Mcclinton,Bob Casey Jr,6
Joanna E Mcclinton,9,77,6
Bob Casey Jr,,6,6
Total,86,83,6
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,7
,Joanna E Mcclinton,Bob Casey Jr,7
Joanna E Mcclinton,6,69,7
Bob Casey Jr,,5,7
Total,75,74,7
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,8
,Joanna E Mcclinton,Bob Casey Jr,8
Joanna E Mcclinton,7,85,8
Bob Casey Jr,,5,8
Total,92,90,8
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,9
,Joanna E Mcclinton,Bob Casey Jr,9
Joanna E Mcclinton,9,111,9
Bob Casey Jr,,8,9
Total,120,119,9
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,10
,Bob Casey Jr,Joanna E Mcclinton,10
Bob Casey Jr,6,80,10
Joanna E Mcclinton,,6,10
Total,86,86,10
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,11
,Joanna E Mcclinton,Bob Casey Jr,11
Joanna E Mcclinton,9,122,11
Bob Casey Jr,,7,11
Total,131,129,11
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,12
,Bob Casey Jr,Joanna E Mcclinton,12
Bob Casey Jr,3,87,12
Joanna E Mcclinton,,3,12
Total,90,90,12
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,13
,Joanna E Mcclinton,Bob Casey Jr,13
Joanna E Mcclinton,4,64,13
Bob Casey Jr,,1,13
Total,68,65,13
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,14
,Joanna E Mcclinton,Bob Casey Jr,14
Joanna E Mcclinton,7,107,14
Bob Casey Jr,,4,14
Total,114,111,14
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,15
,Joanna E Mcclinton,Bob Casey Jr,15
Joanna E Mcclinton,4,101,15
Bob Casey Jr,,3,15
Total,105,104,15
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,16
,Joanna E Mcclinton,Bob Casey Jr,16
Joanna E Mcclinton,11,101,16
Bob Casey Jr,,4,16
Total,112,105,16
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,17
,Joanna E Mcclinton,Bob Casey Jr,17
Joanna E Mcclinton,11,116,17
Bob Casey Jr,,3,17
Total,127,119,17
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,18
,Joanna E Mcclinton,Bob Casey Jr,18
Joanna E Mcclinton,8,86,18
Bob Casey Jr,,5,18
Total,94,91,18
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,19
,Bob Casey Jr,Joanna E Mcclinton,19
Bob Casey Jr,9,102,19
Joanna E Mcclinton,,8,19
Total,111,110,19
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,20
,Bob Casey Jr,Joanna E Mcclinton,20
Bob Casey Jr,7,87,20
Joanna E Mcclinton,,6,20
Total,94,93,20
,Representative In The General Assembly 191st District - Democrat,United States Senator - Democrat,21
,Joanna E Mcclinton,Bob Casey Jr,21
Joanna E Mcclinton,7,31,21
Bob Casey Jr,,6,21
Total,38,37,21
,United States Senator - Democrat,Representative In The General Assembly 191st District - Democrat,22
,Bob Casey Jr,Joanna E Mcclinton,22
Bob Casey Jr,13,61,22
Joanna E Mcclinton,,5,22
Total,74,66,22
