col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Noam Kugelmass,Judi Golding Baker,Rhea Powell,Matthew D Myers,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Micah Mahjoubian,Jon Geeting,Tom Young,Mariel J K Martin,Darrell L Clarke,Joe Celentano,2,All
Noam Kugelmass,33,"1,107",641,935,504,512,467,451,540,418,377,280,305,3,All
Judi Golding Baker,,17,633,999,607,573,479,387,493,302,435,344,214,4,All
Rhea Powell,,,91,384,694,676,605,545,336,520,534,361,413,5,All
Matthew D Myers,,,,7,359,337,289,214,425,220,271,237,140,6,All
Amanda Mcillmurray,,,,,9,664,552,449,272,414,489,313,310,7,All
Marylouise Isaacson,,,,,,7,534,468,259,395,456,325,299,8,All
Andi Perez,,,,,,,8,440,281,389,417,322,300,9,All
Micah Mahjoubian,,,,,,,,26,203,405,319,281,323,10,All
Jon Geeting,,,,,,,,,34,214,219,142,180,11,All
Tom Young,,,,,,,,,,24,278,234,353,12,All
Mariel J K Martin,,,,,,,,,,,4,248,224,13,All
Darrell L Clarke,,,,,,,,,,,,42,160,14,All
Joe Celentano,,,,,,,,,,,,,13,15,All
Total,"1,460","1,449","1,165","1,123",929,887,826,748,740,696,679,598,523,16,All
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Rhea Powell,Noam Kugelmass,Judi Golding Baker,Amanda Mcillmurray,Tom Young,Matthew D Myers,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Mariel J K Martin,Joe Celentano,Darrell L Clarke,Jon Geeting,2,1
Rhea Powell,12,64,55,59,58,35,56,52,52,46,41,35,23,3,1
Noam Kugelmass,,2,72,40,52,56,40,36,35,32,33,21,22,4,1
Judi Golding Baker,,,3,46,32,58,35,38,28,36,14,24,15,5,1
Amanda Mcillmurray,,,,1,41,25,47,49,37,42,29,27,20,6,1
Tom Young,,,,,4,24,39,31,35,25,34,20,20,7,1
Matthew D Myers,,,,,,0,28,20,15,24,13,15,12,8,1
Andi Perez,,,,,,,1,42,37,38,26,25,23,9,1
Marylouise Isaacson,,,,,,,,0,31,37,26,24,15,10,1
Micah Mahjoubian,,,,,,,,,3,25,30,24,13,11,1
Mariel J K Martin,,,,,,,,,,0,20,19,17,12,1
Joe Celentano,,,,,,,,,,,3,16,16,13,1
Darrell L Clarke,,,,,,,,,,,,1,11,14,1
Jon Geeting,,,,,,,,,,,,,0,15,1
Total,116,108,101,75,74,71,70,66,65,57,50,47,34,16,1
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Noam Kugelmass,Judi Golding Baker,Rhea Powell,Matthew D Myers,Marylouise Isaacson,Micah Mahjoubian,Andi Perez,Tom Young,Amanda Mcillmurray,Mariel J K Martin,Joe Celentano,Darrell L Clarke,Jon Geeting,2,2
Noam Kugelmass,3,59,32,53,20,23,18,17,18,14,16,10,11,3,2
Judi Golding Baker,,2,28,56,20,13,14,9,19,17,5,11,5,4,2
Rhea Powell,,,11,22,31,25,27,28,25,25,21,14,12,5,2
Matthew D Myers,,,,1,15,8,12,8,11,14,3,7,6,6,2
Marylouise Isaacson,,,,,1,20,22,18,22,21,14,6,6,7,2
Micah Mahjoubian,,,,,,4,18,14,17,13,17,10,8,8,2
Andi Perez,,,,,,,0,15,18,15,13,9,9,9,2
Tom Young,,,,,,,,0,13,13,18,7,10,10,2
Amanda Mcillmurray,,,,,,,,,0,18,12,6,3,11,2
Mariel J K Martin,,,,,,,,,,0,6,10,6,12,2
Joe Celentano,,,,,,,,,,,3,6,9,13,2
Darrell L Clarke,,,,,,,,,,,,1,5,14,2
Jon Geeting,,,,,,,,,,,,,1,15,2
Total,81,74,63,61,36,34,32,31,30,29,27,20,17,16,2
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
,Judi Golding Baker,Noam Kugelmass,Matthew D Myers,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Mariel J K Martin,Andi Perez,Darrell L Clarke,Micah Mahjoubian,Tom Young,Joe Celentano,Jon Geeting,2,3
Judi Golding Baker,0,55,55,33,31,30,28,22,21,18,14,12,10,3,3
Noam Kugelmass,,2,49,24,22,20,19,21,14,16,13,13,10,4,3
Matthew D Myers,,,1,18,20,15,15,14,13,9,12,10,7,5,3
