col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Member Of The - Republican State Committee 13th Congressional District,,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,All
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,All
Margaret L Recupido,83,220,180,115,104,0,0,0,0,3,All
Camille G Mccolgan,,65,189,120,109,0,0,0,0,4,All
Linwood Holland,,,55,100,87,0,0,0,0,5,All
Dan Tinney,,,,16,116,0,0,0,0,6,All
Joseph Giedemann,,,,,7,0,0,0,0,7,All
Maria Digiorgio Mccolgan,,,,,,8,24,23,22,8,All
Christopher M Vogler,,,,,,,5,24,22,9,All
Michael A Cibik,,,,,,,,0,21,10,All
Theresa A Dintino,,,,,,,,,2,11,All
Total,349,335,292,197,159,33,31,25,24,12,All
,Member Of The - Republican State Committee 13th Congressional District,,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,1
,Margaret L Recupido,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,1
Margaret L Recupido,6,10,12,7,6,0,0,0,0,3,1
Linwood Holland,,4,9,5,4,0,0,0,0,4,1
Camille G Mccolgan,,,0,7,5,0,0,0,0,5,1
Dan Tinney,,,,1,7,0,0,0,0,6,1
Joseph Giedemann,,,,,0,0,0,0,0,7,1
Christopher M Vogler,,,,,,0,0,0,0,8,1
Maria Digiorgio Mccolgan,,,,,,,0,0,0,9,1
Michael A Cibik,,,,,,,,0,0,10,1
Theresa A Dintino,,,,,,,,,0,11,1
Total,21,16,14,11,8,0,0,0,0,12,1
,Member Of The - Republican State Committee 13th Congressional District,,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,2
,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,2
Camille G Mccolgan,5,6,6,6,4,0,0,0,0,3,2
Joseph Giedemann,,2,7,8,10,0,0,0,0,4,2
Linwood Holland,,,3,7,6,0,0,0,0,5,2
Margaret L Recupido,,,,3,6,0,0,0,0,6,2
Dan Tinney,,,,,1,0,0,0,0,7,2
Christopher M Vogler,,,,,,0,0,0,0,8,2
Maria Digiorgio Mccolgan,,,,,,,0,0,0,9,2
Michael A Cibik,,,,,,,,0,0,10,2
Theresa A Dintino,,,,,,,,,0,11,2
Total,14,14,14,14,11,0,0,0,0,12,2
,Member Of The - Republican State Committee 13th Congressional District,,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,3
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,3
Margaret L Recupido,7,12,9,6,4,0,0,0,0,3,3
Camille G Mccolgan,,1,8,5,5,0,0,0,0,4,3
Linwood Holland,,,0,3,2,0,0,0,0,5,3
Dan Tinney,,,,0,5,0,0,0,0,6,3
Joseph Giedemann,,,,,0,0,0,0,0,7,3
Christopher M Vogler,,,,,,0,0,0,0,8,3
Maria Digiorgio Mccolgan,,,,,,,0,0,0,9,3
Michael A Cibik,,,,,,,,0,0,10,3
Theresa A Dintino,,,,,,,,,0,11,3
Total,21,15,9,8,7,0,0,0,0,12,3
,Member Of The - Republican State Committee 13th Congressional District,,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,4
