col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Brendan F Boyle,Michele Lawrence,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,All
Brendan F Boyle,45,0,351,248,289,51,4,3,All
Michele Lawrence,,23,238,342,122,141,11,4,All
John Fetterman,,,58,0,0,0,0,5,All
Nina Ahmad,,,,31,0,0,0,6,All
Mike Stack,,,,,36,0,0,7,All
Kathi Cozzone,,,,,,15,0,8,All
Ray Sosa,,,,,,,5,9,All
Total,988,877,647,621,447,207,20,10,All
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Brendan F Boyle,Michele Lawrence,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,1
Brendan F Boyle,2,0,28,32,32,10,1,3,1
Michele Lawrence,,0,28,18,9,12,1,4,1
Nina Ahmad,,,0,0,0,0,0,5,1
John Fetterman,,,,4,0,0,0,6,1
Mike Stack,,,,,1,0,0,7,1
Kathi Cozzone,,,,,,2,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,105,68,56,54,42,24,2,10,1
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Brendan F Boyle,Michele Lawrence,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,2
Brendan F Boyle,2,0,33,32,31,2,0,3,2
Michele Lawrence,,3,26,28,10,8,0,4,2
John Fetterman,,,6,0,0,0,0,5,2
Nina Ahmad,,,,2,0,0,0,6,2
Mike Stack,,,,,3,0,0,7,2
Kathi Cozzone,,,,,,1,0,8,2
Ray Sosa,,,,,,,0,9,2
Total,100,75,65,62,44,11,0,10,2
,Lieutenant Governor - Democrat,,,,,Representative In Congress 2nd District - Democrat,,1,3
