To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
Write In,,,1,0,0,0,0,0,20
Diana Irey Vaughan,,,,1,0,0,0,0,20
Jeff Bartos,,,,,1,0,0,0,20
Kathy Coder,,,,,,1,0,0,20
Peg Luksik,,,,,,,1,0,20
Total,9,4,1,7,3,2,1,0,20
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,21
Lou Barletta,1,0,0,7,4,0,0,0,21
Jim Christiana,,2,0,0,0,0,0,0,21
Write In,,,1,0,0,0,0,0,21
Jeff Bartos,,,,1,0,0,0,0,21
Kathy Coder,,,,,1,0,0,0,21
Diana Irey Vaughan,,,,,,1,0,0,21
Peg Luksik,,,,,,,1,0,21
Total,14,2,1,9,6,1,1,0,21
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,Write In,22
Jim Christiana,1,0,0,5,1,2,0,0,22
Lou Barletta,,1,0,5,3,0,0,0,22
Write In,,,1,0,0,0,0,0,22
Kathy Coder,,,,1,0,0,0,0,22
Jeff Bartos,,,,,3,0,0,0,22
Diana Irey Vaughan,,,,,,1,0,0,22
Peg Luksik,,,,,,,1,0,22
Write In,,,,,,,,0,22
Total,13,12,2,13,9,5,2,1,22
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,23
Lou Barletta,1,0,0,1,1,0,0,0,23
Jim Christiana,,1,0,0,0,0,0,0,23
Write In,,,1,0,0,0,0,0,23
Jeff Bartos,,,,1,0,0,0,0,23
Kathy Coder,,,,,1,0,0,0,23
Diana Irey Vaughan,,,,,,2,0,0,23
Peg Luksik,,,,,,,1,0,23
Total,6,1,1,3,3,2,2,0,23
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,24
Jim Christiana,1,0,0,0,0,0,0,0,24
Lou Barletta,,1,0,0,0,0,0,0,24
Write In,,,1,0,0,0,0,0,24
Kathy Coder,,,,2,0,0,0,0,24
Diana Irey Vaughan,,,,,1,0,0,0,24
Jeff Bartos,,,,,,1,0,0,24
Peg Luksik,,,,,,,1,0,24
Total,4,3,1,4,3,2,1,0,24
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,25
Lou Barletta,2,0,0,9,7,1,1,0,25
Jim Christiana,,3,0,1,2,0,0,0,25
Write In,,,1,0,0,0,0,0,25
Jeff Bartos,,,,2,0,0,0,0,25
Kathy Coder,,,,,1,0,0,0,25
Diana Irey Vaughan,,,,,,1,0,0,25
Peg Luksik,,,,,,,1,0,25
Total,24,8,1,14,12,3,3,0,25
,Lou Barletta,Jim Christiana,Write In,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Write In,26
Lou Barletta,3,0,0,0,0,0,0,0,26
Jim Christiana,,2,0,1,0,0,0,0,26
Write In,,,1,0,0,0,0,0,26
Diana Irey Vaughan,,,,1,0,0,0,0,26
Jeff Bartos,,,,,1,0,0,0,26
Kathy Coder,,,,,,1,0,0,26
Peg Luksik,,,,,,,1,0,26
Write In,,,,,,,,0,26
Total,6,5,1,4,2,2,1,1,26
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,0,27
Lou Barletta,1,0,0,8,3,0,0,0,27
Jim Christiana,,1,0,0,0,1,0,0,27
Write In,,,1,0,0,0,0,0,27
Jeff Bartos,,,,2,0,0,0,0,27
Diana Irey Vaughan,,,,,1,0,0,0,27
Kathy Coder,,,,,,1,0,0,27
Peg Luksik,,,,,,,1,0,27
Total,15,4,1,11,6,4,1,0,27
,Jim Christiana,Lou Barletta,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,28
Jim Christiana,2,0,0,2,5,2,0,0,28
Lou Barletta,,1,0,5,1,0,0,0,28
Write In,,,1,0,0,0,0,0,28
Jeff Bartos,,,,1,0,0,0,0,28
Kathy Coder,,,,,1,0,0,0,28
Diana Irey Vaughan,,,,,,1,0,0,28
Peg Luksik,,,,,,,1,0,28
Total,14,10,1,10,9,5,1,0,28
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,29
Lou Barletta,3,0,0,5,2,1,0,0,29
Jim Christiana,,2,0,2,2,2,0,0,29
Write In,,,1,0,0,0,0,0,29
Kathy Coder,,,,2,0,0,0,0,29
Diana Irey Vaughan,,,,,1,0,0,0,29
Jeff Bartos,,,,,,1,0,0,29
Peg Luksik,,,,,,,1,0,29
Total,14,12,1,11,7,6,2,0,29
,Jim Christiana,Lou Barletta,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,30
Jim Christiana,1,0,0,2,4,0,1,0,30
Lou Barletta,,3,0,2,0,1,0,0,30
Write In,,,1,0,0,0,0,0,30
Jeff Bartos,,,,2,0,0,0,0,30
Kathy Coder,,,,,2,0,0,0,30
Diana Irey Vaughan,,,,,,1,0,0,30
Peg Luksik,,,,,,,1,0,30
Total,12,9,1,8,8,4,3,0,30
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,31
Jim Christiana,1,0,0,5,3,1,0,0,31
Lou Barletta,,2,0,0,3,1,0,0,31
Write In,,,1,0,0,0,0,0,31
Kathy Coder,,,,3,0,0,0,0,31
Diana Irey Vaughan,,,,,1,0,0,0,31
Jeff Bartos,,,,,,1,0,0,31
Peg Luksik,,,,,,,1,0,31
Total,13,9,1,10,9,5,1,0,31
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,32
Lou Barletta,1,0,0,8,4,0,0,0,32
Jim Christiana,,2,0,0,0,0,1,0,32
Write In,,,1,0,0,0,0,0,32
Jeff Bartos,,,,2,0,0,0,0,32
Kathy Coder,,,,,1,0,0,0,32
Diana Irey Vaughan,,,,,,3,0,0,32
Peg Luksik,,,,,,,1,0,32
Total,16,6,1,11,7,5,3,0,32
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,0,33
Lou Barletta,1,0,0,9,7,3,0,0,33
Jim Christiana,,4,0,4,2,1,0,0,33
Write In,,,1,0,0,0,0,0,33
Kathy Coder,,,,1,0,0,0,0,33
Jeff Bartos,,,,,1,0,0,0,33
Diana Irey Vaughan,,,,,,1,0,0,33
Peg Luksik,,,,,,,1,0,33
Total,23,15,1,16,12,7,2,0,33
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,0,34
Lou Barletta,3,0,0,14,14,2,0,0,34
Jim Christiana,,3,0,5,0,2,0,0,34
Write In,,,1,0,0,0,0,0,34
Kathy Coder,,,,1,0,0,0,0,34
Jeff Bartos,,,,,2,0,0,0,34
Diana Irey Vaughan,,,,,,2,0,0,34
Peg Luksik,,,,,,,1,0,34
Total,36,13,1,22,18,8,1,0,34
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,35
Lou Barletta,2,0,0,2,1,0,0,0,35
Jim Christiana,,1,0,1,1,0,0,0,35
Write In,,,1,0,0,0,0,0,35
Jeff Bartos,,,,1,0,0,0,0,35
Kathy Coder,,,,,1,0,0,0,35
Diana Irey Vaughan,,,,,,1,0,0,35
Peg Luksik,,,,,,,1,0,35
Total,8,5,1,6,5,2,1,0,35
,Lou Barletta,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Jim Christiana,Write In,0,36
Jeff Bartos,1,0,0,3,0,1,0,0,36
Kathy Coder,2,1,0,,0,0,0,0,36
Diana Irey Vaughan,0,,1,,0,0,0,0,36
Peg Luksik,0,,,,1,0,0,0,36
Lou Barletta,2,,,,,0,0,0,36
Jim Christiana,,,,,,2,0,0,36
Write In,,,,,,,1,0,36
Total,7,5,1,7,1,5,1,0,36
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,37
Lou Barletta,1,0,0,5,3,0,0,0,37
Jim Christiana,,2,0,0,0,0,0,0,37
Write In,,,1,0,0,0,0,0,37
Jeff Bartos,,,,1,0,0,0,0,37
Kathy Coder,,,,,2,0,0,0,37
Diana Irey Vaughan,,,,,,1,0,0,37
Peg Luksik,,,,,,,1,0,37
Total,12,3,1,8,6,2,1,0,37
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,0,38
Lou Barletta,2,0,0,3,8,3,0,0,38
Jim Christiana,,3,0,5,0,0,0,0,38
Write In,,,1,0,0,0,0,0,38
Kathy Coder,,,,3,0,0,0,0,38
Jeff Bartos,,,,,1,0,0,0,38
Diana Irey Vaughan,,,,,,1,0,0,38
Peg Luksik,,,,,,,2,0,38
Total,19,11,1,13,11,6,2,0,38
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,0,39
Jim Christiana,4,0,0,4,2,2,0,0,39
Lou Barletta,,1,0,3,2,1,0,0,39
Write In,,,1,0,0,0,0,0,39
Kathy Coder,,,,1,0,0,0,0,39
Jeff Bartos,,,,,1,0,0,0,39
Diana Irey Vaughan,,,,,,1,0,0,39
Peg Luksik,,,,,,,1,0,39
Total,15,10,1,10,7,6,1,0,39
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,40
Lou Barletta,1,0,0,2,5,3,0,0,40
Jim Christiana,,2,0,6,1,0,0,0,40
Write In,,,1,0,0,0,0,0,40
Kathy Coder,,,,1,0,0,0,0,40
Diana Irey Vaughan,,,,,1,0,0,0,40
Jeff Bartos,,,,,,1,0,0,40
Peg Luksik,,,,,,,1,0,40
Total,14,13,1,11,9,6,2,0,40
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,41
Lou Barletta,3,0,0,3,4,2,0,0,41
Jim Christiana,,1,0,1,0,1,0,0,41
Write In,,,1,0,0,0,0,0,41
Kathy Coder,,,,2,0,0,0,0,41
Diana Irey Vaughan,,,,,1,0,0,0,41
Jeff Bartos,,,,,,2,0,0,41
Peg Luksik,,,,,,,1,0,41
Total,16,6,1,8,7,7,2,0,41
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,0,42
Lou Barletta,3,0,0,7,2,4,0,0,42
Jim Christiana,,3,0,0,2,0,0,0,42
Write In,,,1,0,0,0,0,0,42
Jeff Bartos,,,,1,0,0,0,0,42
Diana Irey Vaughan,,,,,1,0,0,0,42
Kathy Coder,,,,,,1,0,0,42
Peg Luksik,,,,,,,1,0,42
Total,19,8,1,10,7,7,1,0,42
,Lou Barletta,Jim Christiana,Write In,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,0,43
Lou Barletta,4,0,0,2,4,0,0,0,43
Jim Christiana,,1,0,3,1,4,0,0,43
Write In,,,1,0,0,0,0,0,43
Diana Irey Vaughan,,,,1,0,0,0,0,43
Jeff Bartos,,,,,1,0,0,0,43
Kathy Coder,,,,,,1,0,0,43
Peg Luksik,,,,,,,1,0,43
Total,14,13,1,8,8,7,3,0,43
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,44
Lou Barletta,2,0,0,17,7,3,0,0,44
Jim Christiana,,2,0,4,7,1,0,0,44
Write In,,,1,0,0,0,0,0,44
Jeff Bartos,,,,2,0,0,0,0,44
Kathy Coder,,,,,1,0,0,0,44
Diana Irey Vaughan,,,,,,1,0,0,44
Peg Luksik,,,,,,,2,0,44
Total,33,17,1,25,17,7,3,0,44
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,0,45
Lou Barletta,3,0,0,5,6,0,0,0,45
Jim Christiana,,3,0,4,1,0,0,0,45
Write In,,,1,0,0,0,0,0,45
Jeff Bartos,,,,1,0,0,0,0,45
Kathy Coder,,,,,1,0,0,0,45
Diana Irey Vaughan,,,,,,1,0,0,45
Peg Luksik,,,,,,,1,0,45
Total,17,11,1,12,10,3,1,0,45
