col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Rebecca Poyourow,Liam G Boyle,Kevin Bundy,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,2,All
Torri Douglas,184,409,371,369,0,0,0,0,0,0,0,0,0,0,0,0,0,3,All
Kyle J Sampson,,110,356,365,0,0,0,0,0,0,0,0,0,0,0,0,0,4,All
Marisa Piccarreto,,,55,354,0,0,0,0,0,0,0,0,0,0,0,0,0,5,All
Kyle Shenandoah,,,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,All
Kathryn S Huggins,,,,,69,315,290,262,261,261,231,220,191,107,104,99,74,7,All
Dewayne Drummond,,,,,,19,268,173,177,176,135,193,164,81,85,60,52,8,All
Ken Washington,,,,,,,27,161,168,166,123,198,153,73,87,56,57,9,All
Monica Maria Djerassi,,,,,,,,1,216,217,180,126,80,79,63,79,40,10,All
Lisa Rhodes,,,,,,,,,3,238,147,124,83,70,61,89,43,11,All
Linda Norris,,,,,,,,,,3,145,123,81,69,60,79,34,12,All
Rebecca Poyourow,,,,,,,,,,,8,85,93,88,69,75,43,13,All
Liam G Boyle,,,,,,,,,,,,9,107,39,39,29,35,14,All
Kevin Bundy,,,,,,,,,,,,,9,52,68,37,47,15,All
Joe Khan,,,,,,,,,,,,,,7,54,42,36,16,All
Nat Lownes,,,,,,,,,,,,,,,3,33,33,17,All
Jacque Whaumbush,,,,,,,,,,,,,,,,0,20,18,All
John Brady,,,,,,,,,,,,,,,,,7,19,All
Total,633,542,447,428,544,383,375,309,306,304,276,261,232,156,142,130,104,20,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,1
,Kathryn S Huggins,Ken Washington,Linda Norris,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Kevin Bundy,Joe Khan,Jacque Whaumbush,John Brady,Nat Lownes,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,1
Kathryn S Huggins,10,38,40,38,36,34,32,18,15,13,8,4,6,0,0,0,0,3,1
Ken Washington,,3,27,32,30,25,25,10,11,8,4,4,4,0,0,0,0,4,1
Linda Norris,,,0,30,29,33,32,13,7,9,7,6,3,0,0,0,0,5,1
Dewayne Drummond,,,,2,31,25,26,10,14,6,3,2,4,0,0,0,0,6,1
Liam G Boyle,,,,,1,27,23,7,8,6,4,2,1,0,0,0,0,7,1
Monica Maria Djerassi,,,,,,0,25,11,6,8,6,4,1,0,0,0,0,8,1
Lisa Rhodes,,,,,,,0,10,4,4,5,3,2,0,0,0,0,9,1
Rebecca Poyourow,,,,,,,,1,9,9,6,3,4,0,0,0,0,10,1
Kevin Bundy,,,,,,,,,0,7,3,2,3,0,0,0,0,11,1
Joe Khan,,,,,,,,,,0,5,4,5,0,0,0,0,12,1
Jacque Whaumbush,,,,,,,,,,,0,3,2,0,0,0,0,13,1
John Brady,,,,,,,,,,,,0,1,0,0,0,0,14,1
Nat Lownes,,,,,,,,,,,,,0,0,0,0,0,15,1
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,1
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,1
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,1
Torri Douglas,,,,,,,,,,,,,,,,,0,19,1
Total,63,44,42,41,38,36,33,20,17,15,10,7,6,0,0,0,0,20,1
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,2
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Monica Maria Djerassi,Rebecca Poyourow,Lisa Rhodes,Linda Norris,Kevin Bundy,Joe Khan,Liam G Boyle,Jacque Whaumbush,Nat Lownes,John Brady,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,2
Kathryn S Huggins,10,32,33,31,32,29,26,21,16,21,18,14,13,0,0,0,0,3,2
Ken Washington,,4,27,18,20,19,17,18,12,17,10,14,7,0,0,0,0,4,2
Dewayne Drummond,,,2,17,19,19,14,19,13,14,12,15,5,0,0,0,0,5,2
Monica Maria Djerassi,,,,0,28,28,24,11,14,11,17,11,10,0,0,0,0,6,2
Rebecca Poyourow,,,,,0,21,20,11,12,13,13,8,9,0,0,0,0,7,2
Lisa Rhodes,,,,,,0,24,10,10,8,16,9,8,0,0,0,0,8,2
Linda Norris,,,,,,,0,7,9,10,16,7,6,0,0,0,0,9,2
Kevin Bundy,,,,,,,,1,11,12,4,14,7,0,0,0,0,10,2
Joe Khan,,,,,,,,,3,4,6,9,5,0,0,0,0,11,2
Liam G Boyle,,,,,,,,,,1,4,6,8,0,0,0,0,12,2
Jacque Whaumbush,,,,,,,,,,,0,7,3,0,0,0,0,13,2
Nat Lownes,,,,,,,,,,,,0,5,0,0,0,0,14,2
John Brady,,,,,,,,,,,,,3,0,0,0,0,15,2
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,2
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,2
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,2
Torri Douglas,,,,,,,,,,,,,,,,,0,19,2
Total,64,42,40,39,36,35,32,27,25,25,22,21,19,0,0,0,0,20,2
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,3
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Monica Maria Djerassi,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Rebecca Poyourow,Linda Norris,Joe Khan,Nat Lownes,John Brady,Jacque Whaumbush,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,3
Kathryn S Huggins,7,25,24,20,15,18,14,12,12,6,6,4,0,0,0,0,0,3,3
Dewayne Drummond,,2,18,16,12,14,11,10,10,6,4,3,0,0,0,0,0,4,3
Ken Washington,,,3,16,12,19,12,9,9,4,5,3,1,0,0,0,0,5,3
Monica Maria Djerassi,,,,0,9,11,17,12,14,10,5,3,1,0,0,0,0,6,3
Kevin Bundy,,,,,2,8,6,5,5,5,3,3,0,0,0,0,0,7,3
