col_1,col_2,col_3,col_4,col_5,order,division
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,All
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,All
David Torres,13,180,168,86,3,All
Paul Mango,,49,0,0,4,All
Scott R Wagner,,,48,0,5,All
Laura Ellsworth,,,,17,6,All
Total,447,229,216,103,7,All
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,1
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,1
David Torres,1,15,12,10,3,1
Paul Mango,,6,0,0,4,1
Scott R Wagner,,,2,0,5,1
Laura Ellsworth,,,,2,6,1
Total,38,21,14,12,7,1
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,2
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,2
David Torres,0,11,13,7,3,2
Scott R Wagner,,9,0,0,4,2
Paul Mango,,,3,0,5,2
Laura Ellsworth,,,,2,6,2
Total,31,20,16,9,7,2
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,3
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,3
David Torres,0,6,2,0,3,3
Scott R Wagner,,0,0,0,4,3
Paul Mango,,,2,0,5,3
Laura Ellsworth,,,,1,6,3
Total,8,6,4,1,7,3
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,4
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,4
David Torres,0,14,12,8,3,4
Scott R Wagner,,2,0,0,4,4
Paul Mango,,,1,0,5,4
Laura Ellsworth,,,,1,6,4
Total,34,16,13,9,7,4
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,5
,David Torres,Paul Mango,Laura Ellsworth,Scott R Wagner,2,5
David Torres,0,8,1,1,3,5
Paul Mango,,2,0,0,4,5
Laura Ellsworth,,,1,0,5,5
Scott R Wagner,,,,1,6,5
Total,10,10,2,2,7,5
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,6
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,6
David Torres,0,3,1,0,3,6
Scott R Wagner,,1,0,0,4,6
Paul Mango,,,0,0,5,6
Laura Ellsworth,,,,0,6,6
Total,4,4,1,0,7,6
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,7
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,7
David Torres,0,22,20,8,3,7
Scott R Wagner,,9,0,0,4,7
Paul Mango,,,5,0,5,7
Laura Ellsworth,,,,2,6,7
Total,50,31,25,10,7,7
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,8
,David Torres,Laura Ellsworth,Paul Mango,Scott R Wagner,2,8
David Torres,1,2,1,2,3,8
Laura Ellsworth,,0,0,0,4,8
Paul Mango,,,1,0,5,8
Scott R Wagner,,,,0,6,8
Total,6,2,2,2,7,8
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,9
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,9
David Torres,0,13,9,4,3,9
Paul Mango,,1,0,0,4,9
Scott R Wagner,,,2,0,5,9
Laura Ellsworth,,,,1,6,9
Total,26,14,11,5,7,9
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,10
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,10
David Torres,2,10,13,10,3,10
Paul Mango,,3,0,0,4,10
Scott R Wagner,,,0,0,5,10
Laura Ellsworth,,,,1,6,10
Total,35,13,13,11,7,10
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,11
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,11
David Torres,0,10,2,0,3,11
Paul Mango,,1,0,0,4,11
Scott R Wagner,,,1,0,5,11
Laura Ellsworth,,,,0,6,11
Total,12,11,3,0,7,11
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,12
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,12
David Torres,1,3,2,1,3,12
Scott R Wagner,,1,0,0,4,12
Paul Mango,,,1,0,5,12
Laura Ellsworth,,,,0,6,12
Total,7,4,3,1,7,12
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,13
