col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 191st District - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,All
,Joanna E Mcclinton,Theresa M Wright,Rich Lazer,Ashley Lunkenheimer,Margo Davidson,Molly Sheehan,Thaddeus Kirkland,Mary Gay Scanlon,Lindy Li,Greg Vitali,Dan Muroff,Larry Arata,All
Joanna E Mcclinton,11,34,18,18,8,12,9,9,10,5,0,0,All
Theresa M Wright,,8,0,0,0,0,0,0,0,0,0,0,All
Rich Lazer,,,3,0,0,0,0,0,0,0,0,0,All
Ashley Lunkenheimer,,,,1,0,0,0,0,0,0,0,0,All
Margo Davidson,,,,,5,0,0,0,0,0,0,0,All
Molly Sheehan,,,,,,1,0,0,0,0,0,0,All
Thaddeus Kirkland,,,,,,,3,0,0,0,0,0,All
Mary Gay Scanlon,,,,,,,,2,0,0,0,0,All
Lindy Li,,,,,,,,,0,0,0,0,All
Greg Vitali,,,,,,,,,,1,0,0,All
Dan Muroff,,,,,,,,,,,0,0,All
Larry Arata,,,,,,,,,,,,0,All
Total,134,42,21,19,13,13,12,11,10,6,0,0,All
,Representative In The General Assembly 191st District - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,25
,Joanna E Mcclinton,Theresa M Wright,Ashley Lunkenheimer,Margo Davidson,Rich Lazer,Thaddeus Kirkland,Molly Sheehan,Greg Vitali,Lindy Li,Mary Gay Scanlon,Dan Muroff,Larry Arata,25
Joanna E Mcclinton,6,23,17,8,9,5,5,3,4,1,0,0,25
Theresa M Wright,,5,0,0,0,0,0,0,0,0,0,0,25
Ashley Lunkenheimer,,,1,0,0,0,0,0,0,0,0,0,25
Margo Davidson,,,,5,0,0,0,0,0,0,0,0,25
Rich Lazer,,,,,3,0,0,0,0,0,0,0,25
Thaddeus Kirkland,,,,,,3,0,0,0,0,0,0,25
Molly Sheehan,,,,,,,0,0,0,0,0,0,25
Greg Vitali,,,,,,,,1,0,0,0,0,25
Lindy Li,,,,,,,,,0,0,0,0,25
Mary Gay Scanlon,,,,,,,,,,2,0,0,25
Dan Muroff,,,,,,,,,,,0,0,25
Larry Arata,,,,,,,,,,,,0,25
Total,81,28,18,13,12,8,5,4,4,3,0,0,25
,Representative In The General Assembly 191st District - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,27
,Joanna E Mcclinton,Theresa M Wright,Rich Lazer,Mary Gay Scanlon,Molly Sheehan,Lindy Li,Thaddeus Kirkland,Greg Vitali,Ashley Lunkenheimer,Dan Muroff,Larry Arata,Margo Davidson,27
Joanna E Mcclinton,5,11,9,8,7,6,4,2,1,0,0,0,27
Theresa M Wright,,3,0,0,0,0,0,0,0,0,0,0,27
Rich Lazer,,,0,0,0,0,0,0,0,0,0,0,27
Mary Gay Scanlon,,,,0,0,0,0,0,0,0,0,0,27
Molly Sheehan,,,,,1,0,0,0,0,0,0,0,27
Lindy Li,,,,,,0,0,0,0,0,0,0,27
Thaddeus Kirkland,,,,,,,0,0,0,0,0,0,27
Greg Vitali,,,,,,,,0,0,0,0,0,27
Ashley Lunkenheimer,,,,,,,,,0,0,0,0,27
Dan Muroff,,,,,,,,,,0,0,0,27
Larry Arata,,,,,,,,,,,0,0,27
Margo Davidson,,,,,,,,,,,,0,27
Total,53,14,9,8,8,6,4,2,1,0,0,0,27
