col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,All
,Dwight Evans,Kevin Johnson,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,All
Dwight Evans,"1,374",0,416,359,327,301,3,All
Kevin Johnson,,256,69,67,59,60,4,All
Sherrie Cohen,,,11,327,329,313,5,All
Qasim Rashad,,,,2,325,310,6,All
Carla Cain,,,,,2,311,7,All
Chris Rabb,,,,,,7,8,All
Total,"1,947",354,502,433,394,374,9,All
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,1
,Dwight Evans,Kevin Johnson,Sherrie Cohen,Carla Cain,Qasim Rashad,Chris Rabb,2,1
Dwight Evans,21,0,48,34,32,24,3,1
Kevin Johnson,,2,6,7,7,6,4,1
Sherrie Cohen,,,1,34,31,27,5,1
Carla Cain,,,,1,29,28,6,1
Qasim Rashad,,,,,0,27,7,1
Chris Rabb,,,,,,0,8,1
Total,83,10,55,42,39,30,9,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,2
,Dwight Evans,Kevin Johnson,Carla Cain,Qasim Rashad,Sherrie Cohen,Chris Rabb,2,2
Dwight Evans,24,0,32,29,29,23,3,2
Kevin Johnson,,0,4,5,5,4,4,2
Carla Cain,,,0,25,24,24,5,2
Qasim Rashad,,,,1,25,25,6,2
Sherrie Cohen,,,,,0,24,7,2
Chris Rabb,,,,,,1,8,2
Total,71,8,36,35,34,28,9,2
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,3
,Dwight Evans,Kevin Johnson,Sherrie Cohen,Chris Rabb,Carla Cain,Qasim Rashad,2,3
Dwight Evans,19,0,20,15,14,12,3,3
Kevin Johnson,,2,0,0,0,0,4,3
Sherrie Cohen,,,0,13,11,11,5,3
Chris Rabb,,,,2,11,11,6,3
Carla Cain,,,,,0,10,7,3
Qasim Rashad,,,,,,0,8,3
Total,46,2,21,18,14,12,9,3
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,4
,Dwight Evans,Kevin Johnson,Sherrie Cohen,Chris Rabb,Carla Cain,Qasim Rashad,2,4
Dwight Evans,11,0,22,16,14,15,3,4
Kevin Johnson,,0,4,4,4,2,4,4
Sherrie Cohen,,,2,17,17,11,5,4
Chris Rabb,,,,0,18,11,6,4
Carla Cain,,,,,0,11,7,4
Qasim Rashad,,,,,,0,8,4
Total,41,7,29,21,19,17,9,4
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,5
