col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,All
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Torri Douglas,40,"1,571","1,490","1,488",571,532,442,380,14,3,All
Marisa Piccarreto,,25,"1,576","1,471",549,586,379,417,20,4,All
Kyle Shenandoah,,,36,"1,477",578,511,350,382,17,5,All
Kyle J Sampson,,,,23,493,448,318,328,13,6,All
Mike Stack,,,,,237,0,0,0,0,7,All
Nina Ahmad,,,,,,116,0,0,0,8,All
Kathi Cozzone,,,,,,,47,0,0,9,All
John Fetterman,,,,,,,,98,0,10,All
Ray Sosa,,,,,,,,,4,11,All
Total,"2,022","2,018","1,915","1,664","1,095",840,626,618,26,12,All
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,1
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
Marisa Piccarreto,0,50,47,45,23,17,14,6,0,3,1
Torri Douglas,,1,47,44,21,16,15,4,0,4,1
Kyle J Sampson,,,0,44,19,16,11,4,0,5,1
Kyle Shenandoah,,,,1,19,12,10,5,0,6,1
Nina Ahmad,,,,,4,0,0,0,0,7,1
Mike Stack,,,,,,3,0,0,0,8,1
Kathi Cozzone,,,,,,,3,0,0,9,1
John Fetterman,,,,,,,,4,0,10,1
Ray Sosa,,,,,,,,,0,11,1
Total,61,58,51,48,30,24,21,11,0,12,1
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,2
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,2
Marisa Piccarreto,0,47,51,46,27,10,17,8,1,3,2
Torri Douglas,,0,46,46,25,11,13,10,1,4,2
Kyle Shenandoah,,,0,45,23,12,14,7,1,5,2
Kyle J Sampson,,,,0,22,9,13,6,1,6,2
Nina Ahmad,,,,,5,0,0,0,0,7,2
Mike Stack,,,,,,9,0,0,0,8,2
John Fetterman,,,,,,,3,0,0,9,2
Kathi Cozzone,,,,,,,,1,0,10,2
Ray Sosa,,,,,,,,,0,11,2
Total,64,61,57,52,35,31,23,13,1,12,2
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,3
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,3
Marisa Piccarreto,2,68,66,63,31,24,20,14,0,3,3
Torri Douglas,,0,64,64,23,26,18,18,0,4,3
Kyle Shenandoah,,,2,62,24,17,17,16,0,5,3
Kyle J Sampson,,,,1,19,18,17,13,0,6,3
Nina Ahmad,,,,,7,0,0,0,0,7,3
Mike Stack,,,,,,8,0,0,0,8,3
John Fetterman,,,,,,,0,0,0,9,3
Kathi Cozzone,,,,,,,,0,0,10,3
Ray Sosa,,,,,,,,,0,11,3
Total,91,85,76,68,45,41,22,19,0,12,3
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,4
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Nina Ahmad,Kathi Cozzone,Mike Stack,John Fetterman,Ray Sosa,2,4
Torri Douglas,1,33,31,32,15,10,6,7,0,3,4
Marisa Piccarreto,,0,35,32,18,7,7,5,0,4,4
Kyle Shenandoah,,,0,31,17,6,5,5,0,5,4
Kyle J Sampson,,,,1,14,6,6,5,0,6,4
Nina Ahmad,,,,,2,0,0,0,0,7,4
