col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1
,Tom Wolf,Amanda Mcillmurray,Rhea Powell,Andi Perez,Marylouise Isaacson,Mariel J K Martin,Judi Golding Baker,Micah Mahjoubian,Tom Young,Jon Geeting,Joe Celentano,Noam Kugelmass,Darrell L Clarke,Matthew D Myers,1
Tom Wolf,22,62,63,48,50,49,49,44,39,30,29,30,27,22,1
Amanda Mcillmurray,,2,44,34,36,38,39,24,24,20,19,22,16,12,1
Rhea Powell,,,2,36,40,37,38,31,26,14,22,27,17,13,1
Andi Perez,,,,0,31,35,33,26,21,18,15,20,19,15,1
Marylouise Isaacson,,,,,1,35,32,27,20,9,17,17,19,16,1
Mariel J K Martin,,,,,,1,36,25,18,15,11,20,15,15,1
Judi Golding Baker,,,,,,,0,26,21,14,15,21,18,14,1
Micah Mahjoubian,,,,,,,,0,20,11,14,20,15,8,1
Tom Young,,,,,,,,,0,15,20,17,13,12,1
Jon Geeting,,,,,,,,,,0,11,10,7,8,1
Joe Celentano,,,,,,,,,,,3,11,11,10,1
Noam Kugelmass,,,,,,,,,,,,0,9,5,1
Darrell L Clarke,,,,,,,,,,,,,0,12,1
Matthew D Myers,,,,,,,,,,,,,,0,1
Total,129,66,65,51,51,50,49,44,39,33,32,30,27,22,1
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,2
,Tom Wolf,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Micah Mahjoubian,Andi Perez,Joe Celentano,Judi Golding Baker,Tom Young,Mariel J K Martin,Darrell L Clarke,Noam Kugelmass,Jon Geeting,Matthew D Myers,2
Tom Wolf,30,87,71,69,64,55,49,51,49,46,44,44,39,20,2
Rhea Powell,,0,58,55,52,45,39,40,39,38,31,38,25,15,2
Marylouise Isaacson,,,0,52,46,42,33,41,31,40,24,31,23,18,2
Amanda Mcillmurray,,,,2,41,36,28,38,27,39,27,28,20,12,2
Micah Mahjoubian,,,,,0,32,30,30,30,29,25,28,24,14,2
Andi Perez,,,,,,0,25,28,28,31,17,25,24,10,2
Joe Celentano,,,,,,,3,18,27,18,14,23,15,11,2
Judi Golding Baker,,,,,,,,0,21,29,25,20,16,16,2
Tom Young,,,,,,,,,0,19,14,24,16,7,2
Mariel J K Martin,,,,,,,,,,0,14,19,16,11,2
Darrell L Clarke,,,,,,,,,,,0,16,12,11,2
Noam Kugelmass,,,,,,,,,,,,0,19,8,2
Jon Geeting,,,,,,,,,,,,,0,6,2
Matthew D Myers,,,,,,,,,,,,,,0,2
Total,163,88,72,71,64,55,53,52,49,47,45,44,40,21,2
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,3
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Micah Mahjoubian,Tom Young,Mariel J K Martin,Joe Celentano,Jon Geeting,Noam Kugelmass,Judi Golding Baker,Darrell L Clarke,Matthew D Myers,3
Tom Wolf,40,103,90,80,76,76,69,63,55,55,57,48,41,30,3
Rhea Powell,,0,70,58,58,52,46,44,46,43,46,39,18,15,3
Amanda Mcillmurray,,,3,58,51,49,43,44,42,43,40,38,19,13,3
Marylouise Isaacson,,,,0,54,53,48,53,28,24,31,39,32,23,3
Andi Perez,,,,,0,48,49,47,28,37,34,25,31,25,3
Micah Mahjoubian,,,,,,0,48,41,32,30,36,23,29,22,3
Tom Young,,,,,,,0,37,36,25,32,18,24,26,3
Mariel J K Martin,,,,,,,,0,17,18,24,26,25,26,3
Joe Celentano,,,,,,,,,2,32,29,14,10,9,3
Jon Geeting,,,,,,,,,,0,28,13,12,9,3
Noam Kugelmass,,,,,,,,,,,0,17,13,5,3
Judi Golding Baker,,,,,,,,,,,,0,13,8,3
Darrell L Clarke,,,,,,,,,,,,,0,25,3
Matthew D Myers,,,,,,,,,,,,,,1,3
Total,194,105,97,86,82,79,72,67,58,57,57,48,45,34,3
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,4
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Micah Mahjoubian,Judi Golding Baker,Andi Perez,Mariel J K Martin,Joe Celentano,Noam Kugelmass,Tom Young,Jon Geeting,Darrell L Clarke,Matthew D Myers,4
Tom Wolf,43,82,66,61,60,50,46,42,38,39,37,34,31,20,4
Rhea Powell,,1,48,53,56,45,39,33,31,34,31,25,25,18,4
Amanda Mcillmurray,,,0,44,40,36,26,34,22,25,27,24,20,14,4
Marylouise Isaacson,,,,0,45,39,32,32,27,26,26,21,19,14,4
Micah Mahjoubian,,,,,1,40,33,30,27,32,27,22,21,16,4
Judi Golding Baker,,,,,,0,22,30,17,21,16,19,20,18,4
Andi Perez,,,,,,,0,24,21,25,21,17,19,10,4
Mariel J K Martin,,,,,,,,0,19,24,17,12,16,8,4
Joe Celentano,,,,,,,,,2,18,23,18,10,10,4
Noam Kugelmass,,,,,,,,,,0,15,10,13,11,4
Tom Young,,,,,,,,,,,0,20,11,8,4
Jon Geeting,,,,,,,,,,,,0,11,10,4
Darrell L Clarke,,,,,,,,,,,,,0,11,4
Matthew D Myers,,,,,,,,,,,,,,0,4
Total,157,84,68,62,62,51,46,45,43,40,37,36,32,22,4
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,5
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Mariel J K Martin,Andi Perez,Micah Mahjoubian,Joe Celentano,Tom Young,Judi Golding Baker,Jon Geeting,Noam Kugelmass,Darrell L Clarke,Matthew D Myers,5
Tom Wolf,19,28,27,22,19,17,17,16,15,15,14,10,6,5,5
Rhea Powell,,1,16,18,13,13,13,8,11,13,7,9,3,3,5
Amanda Mcillmurray,,,0,18,13,13,11,9,11,12,9,6,4,3,5
Marylouise Isaacson,,,,0,16,13,12,5,9,12,6,7,4,3,5
Mariel J K Martin,,,,,0,12,8,3,7,9,4,5,4,4,5
Andi Perez,,,,,,0,11,8,9,7,6,4,2,5,5
Micah Mahjoubian,,,,,,,0,7,9,6,5,7,2,1,5
Joe Celentano,,,,,,,,1,8,4,8,4,1,3,5
Tom Young,,,,,,,,,0,5,7,7,4,4,5
Judi Golding Baker,,,,,,,,,,0,6,5,4,4,5
Jon Geeting,,,,,,,,,,,0,2,3,4,5
Noam Kugelmass,,,,,,,,,,,,0,3,1,5
Darrell L Clarke,,,,,,,,,,,,,0,4,5
Matthew D Myers,,,,,,,,,,,,,,0,5
Total,68,29,27,23,20,19,18,17,16,15,14,10,7,7,5
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,6
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Tom Young,Mariel J K Martin,Joe Celentano,Judi Golding Baker,Darrell L Clarke,Jon Geeting,Noam Kugelmass,Matthew D Myers,6
Tom Wolf,18,56,49,43,43,38,36,35,32,24,21,20,20,18,6
Rhea Powell,,0,37,33,32,29,24,27,28,22,15,16,15,12,6
Amanda Mcillmurray,,,1,28,33,23,22,23,23,20,12,16,16,11,6
Andi Perez,,,,1,30,23,22,26,22,15,12,13,13,12,6
Marylouise Isaacson,,,,,0,24,26,25,22,20,12,15,11,15,6
Micah Mahjoubian,,,,,,1,23,20,20,10,14,8,16,9,6
Tom Young,,,,,,,0,19,19,10,9,13,12,12,6
Mariel J K Martin,,,,,,,,0,19,14,10,8,9,7,6
Joe Celentano,,,,,,,,,1,13,7,11,11,8,6
Judi Golding Baker,,,,,,,,,,0,6,8,4,7,6
Darrell L Clarke,,,,,,,,,,,0,8,7,13,6
Jon Geeting,,,,,,,,,,,,0,7,10,6
Noam Kugelmass,,,,,,,,,,,,,0,5,6
Matthew D Myers,,,,,,,,,,,,,,0,6
Total,101,58,50,46,44,39,36,35,34,25,22,21,20,19,6
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,7
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Andi Perez,Micah Mahjoubian,Tom Young,Marylouise Isaacson,Noam Kugelmass,Judi Golding Baker,Mariel J K Martin,Joe Celentano,Darrell L Clarke,Jon Geeting,Matthew D Myers,7
Tom Wolf,9,43,29,22,21,22,20,20,19,19,17,15,11,4,7
Rhea Powell,,0,24,19,18,20,19,19,18,19,17,13,10,4,7
Amanda Mcillmurray,,,0,18,12,14,15,16,14,15,11,13,9,1,7
Andi Perez,,,,0,10,12,10,12,11,12,9,9,8,3,7
Micah Mahjoubian,,,,,0,8,8,10,9,11,6,7,4,2,7
Tom Young,,,,,,0,8,14,8,8,14,8,8,2,7
Marylouise Isaacson,,,,,,,0,9,16,12,7,10,6,2,7
Noam Kugelmass,,,,,,,,0,10,11,11,7,8,2,7
Judi Golding Baker,,,,,,,,,0,12,6,8,5,3,7
Mariel J K Martin,,,,,,,,,,0,7,9,5,3,7
Joe Celentano,,,,,,,,,,,0,6,5,2,7
Darrell L Clarke,,,,,,,,,,,,0,3,2,7
Jon Geeting,,,,,,,,,,,,,0,0,7
Matthew D Myers,,,,,,,,,,,,,,0,7
Total,62,44,29,22,22,22,20,20,19,19,17,15,11,4,7
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,8
,Tom Wolf,Amanda Mcillmurray,Rhea Powell,Marylouise Isaacson,Andi Perez,Judi Golding Baker,Tom Young,Joe Celentano,Mariel J K Martin,Micah Mahjoubian,Noam Kugelmass,Darrell L Clarke,Jon Geeting,Matthew D Myers,8
Tom Wolf,16,65,65,51,48,47,45,42,41,41,35,28,28,19,8
Amanda Mcillmurray,,1,50,41,35,42,29,27,37,28,28,22,19,13,8
Rhea Powell,,,0,41,41,40,33,30,32,32,30,23,20,14,8
Marylouise Isaacson,,,,0,33,35,28,22,32,25,25,19,15,12,8
Andi Perez,,,,,0,28,23,26,27,30,22,19,16,13,8
Judi Golding Baker,,,,,,0,22,19,33,23,19,17,13,14,8
Tom Young,,,,,,,1,24,20,23,23,15,16,12,8
Joe Celentano,,,,,,,,0,17,24,22,10,16,11,8
Mariel J K Martin,,,,,,,,,0,19,20,17,12,9,8
Micah Mahjoubian,,,,,,,,,,0,22,15,14,11,8
Noam Kugelmass,,,,,,,,,,,0,9,11,5,8
Darrell L Clarke,,,,,,,,,,,,0,7,9,8
Jon Geeting,,,,,,,,,,,,,0,10,8
Matthew D Myers,,,,,,,,,,,,,,0,8
Total,115,68,66,52,48,48,48,43,43,42,36,30,29,21,8
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,9
,Tom Wolf,Amanda Mcillmurray,Rhea Powell,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Judi Golding Baker,Micah Mahjoubian,Tom Young,Noam Kugelmass,Joe Celentano,Jon Geeting,Matthew D Myers,Darrell L Clarke,9
Tom Wolf,24,72,65,54,42,41,41,40,39,30,27,25,23,21,9
Amanda Mcillmurray,,0,50,45,31,36,37,25,25,20,15,17,11,16,9
Rhea Powell,,,0,47,32,36,41,28,25,27,19,15,15,12,9
Marylouise Isaacson,,,,0,29,34,34,31,24,21,16,11,12,10,9
Andi Perez,,,,,0,26,23,24,17,20,12,12,8,12,9
Mariel J K Martin,,,,,,0,26,24,21,18,15,7,9,12,9
Judi Golding Baker,,,,,,,0,20,15,16,10,9,10,8,9
Micah Mahjoubian,,,,,,,,0,23,17,13,8,11,10,9
Tom Young,,,,,,,,,0,16,17,10,16,9,9
Noam Kugelmass,,,,,,,,,,0,13,11,8,6,9
Joe Celentano,,,,,,,,,,,0,9,10,3,9
Jon Geeting,,,,,,,,,,,,0,9,5,9
Matthew D Myers,,,,,,,,,,,,,0,8,9
Darrell L Clarke,,,,,,,,,,,,,,0,9
Total,133,74,68,56,43,43,42,40,39,32,27,26,23,22,9
,Governor - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,10
