col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Member Of The - Republican State Committee 1st Congressional District,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,All
,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,Calvin R Tucker,Denise Furey,Walt Vogler,2,All
Maria Digiorgio Mccolgan,20,108,112,113,0,0,0,3,All
Theresa A Dintino,,20,107,107,0,0,0,4,All
Christopher M Vogler,,,11,114,0,0,0,5,All
Michael A Cibik,,,,10,0,0,0,6,All
Calvin R Tucker,,,,,1,3,2,7,All
Denise Furey,,,,,,1,2,8,All
Walt Vogler,,,,,,,0,9,All
Total,139,131,129,129,4,4,2,10,All
,Member Of The - Republican State Committee 1st Congressional District,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,1
,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,Calvin R Tucker,Denise Furey,Walt Vogler,2,1
Maria Digiorgio Mccolgan,3,7,7,8,0,0,0,3,1
Theresa A Dintino,,3,7,7,0,0,0,4,1
Christopher M Vogler,,,2,7,0,0,0,5,1
Michael A Cibik,,,,1,0,0,0,6,1
Calvin R Tucker,,,,,0,0,0,7,1
Denise Furey,,,,,,0,0,8,1
Walt Vogler,,,,,,,0,9,1
Total,11,10,9,9,0,0,0,10,1
,Member Of The - Republican State Committee 1st Congressional District,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,2
,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Calvin R Tucker,Denise Furey,Walt Vogler,2,2
Michael A Cibik,1,5,5,4,0,0,0,3,2
Christopher M Vogler,,0,5,4,0,0,0,4,2
Maria Digiorgio Mccolgan,,,0,4,0,0,0,5,2
Theresa A Dintino,,,,0,0,0,0,6,2
Calvin R Tucker,,,,,0,0,0,7,2
Denise Furey,,,,,,0,0,8,2
Walt Vogler,,,,,,,0,9,2
Total,6,5,5,4,0,0,0,10,2
,Member Of The - Republican State Committee 1st Congressional District,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,3
,Theresa A Dintino,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Calvin R Tucker,Denise Furey,Walt Vogler,2,3
Theresa A Dintino,2,7,7,7,0,0,0,3,3
Michael A Cibik,,1,7,7,0,0,0,4,3
Christopher M Vogler,,,0,7,0,0,0,5,3
Maria Digiorgio Mccolgan,,,,0,0,0,0,6,3
Calvin R Tucker,,,,,0,0,0,7,3
Denise Furey,,,,,,0,0,8,3
Walt Vogler,,,,,,,0,9,3
Total,9,8,7,7,0,0,0,10,3
,Member Of The - Republican State Committee 1st Congressional District,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,4
,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Maria Digiorgio Mccolgan,Calvin R Tucker,Denise Furey,Walt Vogler,2,4
Christopher M Vogler,2,11,10,10,0,0,0,3,4
Michael A Cibik,,1,10,11,0,0,0,4,4
Theresa A Dintino,,,3,10,0,0,0,5,4
Maria Digiorgio Mccolgan,,,,1,0,0,0,6,4
Calvin R Tucker,,,,,0,0,0,7,4
Denise Furey,,,,,,0,0,8,4
Walt Vogler,,,,,,,0,9,4
Total,13,13,13,12,0,0,0,10,4
