col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Micah Mahjoubian,Tom Young,Mariel J K Martin,Judi Golding Baker,Joe Celentano,Noam Kugelmass,Darrell L Clarke,Jon Geeting,Matthew D Myers,2,All
Rhea Powell,142,"1,014",915,796,737,662,687,736,614,659,415,472,269,3,All
Amanda Mcillmurray,,155,870,694,600,568,670,681,505,527,382,429,245,4,All
Marylouise Isaacson,,,14,731,708,591,726,653,449,468,451,333,336,5,All
Andi Perez,,,,21,614,558,623,480,423,469,408,374,303,6,All
Micah Mahjoubian,,,,,36,571,528,438,425,483,376,286,285,7,All
Tom Young,,,,,,50,440,329,488,432,318,348,293,8,All
Mariel J K Martin,,,,,,,8,507,294,363,378,240,297,9,All
Judi Golding Baker,,,,,,,,4,276,348,311,252,227,10,All
Joe Celentano,,,,,,,,,71,404,187,335,174,11,All
Noam Kugelmass,,,,,,,,,,8,229,300,144,12,All
Darrell L Clarke,,,,,,,,,,,35,172,295,13,All
Jon Geeting,,,,,,,,,,,,36,147,14,All
Matthew D Myers,,,,,,,,,,,,,36,15,All
Total,"1,515","1,406","1,220","1,086","1,030",973,954,858,829,772,697,655,533,16,All
