col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Lieutenant Governor - Democrat,,,,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,All
Mike Stack,171,0,0,0,0,172,199,140,170,149,130,148,101,99,All
John Fetterman,,72,0,0,0,72,66,55,59,55,53,61,44,39,All
Nina Ahmad,,,40,0,0,69,54,68,44,64,61,41,52,36,All
Kathi Cozzone,,,,25,0,58,45,44,27,32,28,23,24,18,All
Ray Sosa,,,,,5,2,3,2,3,2,4,3,4,3,All
Meagan Ingerson,,,,,,3,228,232,200,226,202,188,161,125,All
James Harrity,,,,,,,3,194,230,205,185,214,156,145,All
Mona Getzes Cohen,,,,,,,,1,170,195,162,153,124,109,All
Richard Lombardo,,,,,,,,,0,217,191,210,156,158,All
Erica Vanstone,,,,,,,,,,0,211,197,174,146,All
Catherine Bartch,,,,,,,,,,,0,173,169,139,All
Frank T Brzozowski,,,,,,,,,,,,1,144,141,All
Marnie Aument Loughrey,,,,,,,,,,,,,1,115,All
Billy Cortes,,,,,,,,,,,,,,0,All
Total,487,186,143,111,10,381,375,311,308,305,283,281,232,198,All
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,1
,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Marnie Aument Loughrey,Billy Cortes,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,1
Meagan Ingerson,1,21,17,21,15,20,21,17,9,13,4,7,8,0,1
James Harrity,,0,22,22,20,21,19,19,16,14,7,3,9,0,1
Frank T Brzozowski,,,0,22,23,23,16,18,17,12,8,3,7,1,1
Catherine Bartch,,,,0,21,24,17,20,15,11,4,4,9,1,1
Richard Lombardo,,,,,0,21,13,18,16,14,7,4,3,1,1
Erica Vanstone,,,,,,0,15,21,15,11,5,4,7,1,1
Mona Getzes Cohen,,,,,,,0,15,10,8,4,8,7,1,1
Marnie Aument Loughrey,,,,,,,,0,15,11,3,3,7,1,1
Billy Cortes,,,,,,,,,0,7,5,2,6,1,1
Mike Stack,,,,,,,,,,4,0,0,0,0,1
John Fetterman,,,,,,,,,,,2,0,0,0,1
Kathi Cozzone,,,,,,,,,,,,0,0,0,1
Nina Ahmad,,,,,,,,,,,,,0,0,1
Ray Sosa,,,,,,,,,,,,,,0,1
Total,35,33,31,30,29,28,28,26,21,26,13,10,10,1,1
,Lieutenant Governor - Democrat,,,,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,2
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2
Mike Stack,16,0,0,0,0,28,22,22,25,18,16,18,16,11,2
John Fetterman,,7,0,0,0,5,5,5,4,6,4,5,5,4,2
Nina Ahmad,,,4,0,0,6,7,5,3,5,7,3,2,7,2
Kathi Cozzone,,,,0,0,8,6,6,3,2,3,3,2,2,2
Ray Sosa,,,,,0,1,0,0,1,1,1,1,1,1,2
James Harrity,,,,,,0,24,21,29,23,22,26,22,19,2
Mona Getzes Cohen,,,,,,,0,27,20,20,23,18,17,13,2
Meagan Ingerson,,,,,,,,0,18,20,19,16,13,14,2
Richard Lombardo,,,,,,,,,0,22,22,25,24,15,2
Catherine Bartch,,,,,,,,,,0,24,20,18,20,2
Erica Vanstone,,,,,,,,,,,0,20,18,18,2
Frank T Brzozowski,,,,,,,,,,,,0,20,14,2
Billy Cortes,,,,,,,,,,,,,0,13,2
Marnie Aument Loughrey,,,,,,,,,,,,,,0,2
Total,62,16,16,9,1,49,40,38,37,34,32,31,27,27,2
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,3
,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Erica Vanstone,Billy Cortes,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,3
Meagan Ingerson,0,13,10,9,7,8,6,6,5,10,8,1,2,0,3
Mona Getzes Cohen,,0,8,9,6,7,5,4,4,6,10,0,3,0,3
James Harrity,,,0,3,3,5,3,2,4,6,4,2,1,0,3
Erica Vanstone,,,,0,9,8,6,6,6,5,4,0,2,0,3
Billy Cortes,,,,,0,7,5,6,5,4,3,1,2,0,3
Richard Lombardo,,,,,,0,7,7,7,5,2,1,1,0,3
Catherine Bartch,,,,,,,0,6,4,5,2,1,0,0,3
Marnie Aument Loughrey,,,,,,,,0,4,3,2,1,0,0,3
Frank T Brzozowski,,,,,,,,,0,3,1,1,1,0,3
Mike Stack,,,,,,,,,,1,0,0,0,0,3
Kathi Cozzone,,,,,,,,,,,0,0,0,0,3
John Fetterman,,,,,,,,,,,,2,0,0,3
Nina Ahmad,,,,,,,,,,,,,0,0,3
Ray Sosa,,,,,,,,,,,,,,0,3
Total,22,19,14,12,11,11,10,8,7,18,11,4,4,0,3
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,4
,James Harrity,Meagan Ingerson,Richard Lombardo,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,4
James Harrity,0,14,14,11,10,10,12,11,10,13,6,2,1,0,4
Meagan Ingerson,,0,12,10,9,10,9,9,9,8,7,5,2,0,4
Richard Lombardo,,,0,10,11,11,10,13,11,12,5,1,2,0,4
Mona Getzes Cohen,,,,0,6,7,6,8,7,8,5,2,1,0,4
Catherine Bartch,,,,,0,9,10,8,8,6,4,2,2,1,4
Erica Vanstone,,,,,,0,9,8,9,8,5,1,1,0,4
Marnie Aument Loughrey,,,,,,,0,7,9,6,5,2,1,1,4
Frank T Brzozowski,,,,,,,,0,8,8,4,1,1,0,4
Billy Cortes,,,,,,,,,0,6,3,2,2,0,4
Mike Stack,,,,,,,,,,4,0,0,0,0,4
John Fetterman,,,,,,,,,,,5,0,0,0,4
Kathi Cozzone,,,,,,,,,,,,0,0,0,4
Nina Ahmad,,,,,,,,,,,,,1,0,4
Ray Sosa,,,,,,,,,,,,,,0,4
Total,22,22,20,16,15,15,15,14,13,21,16,6,5,1,4
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,5
,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Catherine Bartch,Erica Vanstone,Richard Lombardo,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,5
James Harrity,0,19,17,19,17,20,18,17,12,15,7,5,2,1,5
Mona Getzes Cohen,,0,15,15,15,12,13,10,6,12,7,3,2,1,5
Meagan Ingerson,,,0,14,12,14,12,11,6,11,6,3,3,1,5
