col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Tom Wolf,62,492,181,173,120,15,3,All
Mike Stack,,38,0,0,0,0,4,All
Nina Ahmad,,,12,0,0,0,5,All
Kathi Cozzone,,,,9,0,0,6,All
John Fetterman,,,,,13,0,7,All
Ray Sosa,,,,,,3,8,All
Total,"1,043",530,193,182,133,18,9,All
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
Tom Wolf,6,21,8,6,2,1,3,1
Mike Stack,,3,0,0,0,0,4,1
Nina Ahmad,,,0,0,0,0,5,1
Kathi Cozzone,,,,0,0,0,6,1
John Fetterman,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,44,24,8,6,2,1,9,1
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Tom Wolf,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,2
Tom Wolf,3,25,7,8,7,1,3,2
Mike Stack,,1,0,0,0,0,4,2
John Fetterman,,,1,0,0,0,5,2
Nina Ahmad,,,,0,0,0,6,2
Kathi Cozzone,,,,,0,0,7,2
Ray Sosa,,,,,,0,8,2
Total,51,26,8,8,7,1,9,2
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Tom Wolf,3,20,10,6,3,0,3,3
Mike Stack,,2,0,0,0,0,4,3
Kathi Cozzone,,,0,0,0,0,5,3
Nina Ahmad,,,,0,0,0,6,3
John Fetterman,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,42,22,10,6,3,0,9,3
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Tom Wolf,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,4
Tom Wolf,1,30,10,9,8,0,3,4
Mike Stack,,0,0,0,0,0,4,4
Nina Ahmad,,,2,0,0,0,5,4
John Fetterman,,,,0,0,0,6,4
Kathi Cozzone,,,,,0,0,7,4
Ray Sosa,,,,,,0,8,4
Total,58,30,12,9,8,0,9,4
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,5
Tom Wolf,3,26,13,6,4,0,3,5
Mike Stack,,0,0,0,0,0,4,5
Nina Ahmad,,,0,0,0,0,5,5
Kathi Cozzone,,,,0,0,0,6,5
John Fetterman,,,,,0,0,7,5
Ray Sosa,,,,,,0,8,5
Total,52,26,13,6,4,0,9,5
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,6
