col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,All
Bob Casey Jr,126,"1,180","1,195","1,155",475,42,3,All
Mike Stack,,116,0,0,0,0,4,All
Nina Ahmad,,,71,0,0,0,5,All
John Fetterman,,,,87,0,0,6,All
Kathi Cozzone,,,,,32,0,7,All
Ray Sosa,,,,,,8,8,All
Total,"4,173","1,296","1,266","1,242",507,50,9,All
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Bob Casey Jr,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,1
Bob Casey Jr,2,38,25,10,4,0,3,1
John Fetterman,,6,0,0,0,0,4,1
Nina Ahmad,,,1,0,0,0,5,1
Mike Stack,,,,1,0,0,6,1
Kathi Cozzone,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,79,44,26,11,4,0,9,1
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,2
Bob Casey Jr,2,38,22,15,14,0,3,2
Nina Ahmad,,0,0,0,0,0,4,2
John Fetterman,,,3,0,0,0,5,2
Mike Stack,,,,1,0,0,6,2
Kathi Cozzone,,,,,0,0,7,2
Ray Sosa,,,,,,0,8,2
Total,91,38,25,16,14,0,9,2
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,3
Bob Casey Jr,2,30,29,13,10,1,3,3
Mike Stack,,3,0,0,0,0,4,3
Nina Ahmad,,,2,0,0,0,5,3
Kathi Cozzone,,,,1,0,0,6,3
John Fetterman,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,85,33,31,14,10,1,9,3
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,4
Bob Casey Jr,1,13,13,10,6,2,3,4
Mike Stack,,0,0,0,0,0,4,4
Nina Ahmad,,,0,0,0,0,5,4
John Fetterman,,,,1,0,0,6,4
Kathi Cozzone,,,,,1,0,7,4
Ray Sosa,,,,,,0,8,4
Total,45,13,13,11,7,2,9,4
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Bob Casey Jr,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,5
Bob Casey Jr,5,28,28,27,15,4,3,5
John Fetterman,,8,0,0,0,0,4,5
Mike Stack,,,7,0,0,0,5,5
Nina Ahmad,,,,1,0,0,6,5
Kathi Cozzone,,,,,0,0,7,5
Ray Sosa,,,,,,2,8,5
Total,107,36,35,28,15,6,9,5
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,6
,Bob Casey Jr,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,6
Bob Casey Jr,2,18,16,13,8,0,3,6
Nina Ahmad,,1,0,0,0,0,4,6
Mike Stack,,,0,0,0,0,5,6
John Fetterman,,,,0,0,0,6,6
Kathi Cozzone,,,,,1,0,7,6
Ray Sosa,,,,,,0,8,6
Total,57,19,16,13,9,0,9,6
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,7
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,7
Bob Casey Jr,2,30,18,14,8,0,3,7
Nina Ahmad,,2,0,0,0,0,4,7
John Fetterman,,,0,0,0,0,5,7
Mike Stack,,,,1,0,0,6,7
Kathi Cozzone,,,,,0,0,7,7
Ray Sosa,,,,,,0,8,7
Total,72,32,18,15,8,0,9,7
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,8
,Bob Casey Jr,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,8
Bob Casey Jr,2,16,12,11,6,0,3,8
John Fetterman,,0,0,0,0,0,4,8
Nina Ahmad,,,1,0,0,0,5,8
Mike Stack,,,,1,0,0,6,8
Kathi Cozzone,,,,,0,0,7,8
Ray Sosa,,,,,,0,8,8
Total,47,16,13,12,6,0,9,8
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,9
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,9
Bob Casey Jr,2,25,25,18,8,2,3,9
Mike Stack,,4,0,0,0,0,4,9
Nina Ahmad,,,1,0,0,0,5,9
John Fetterman,,,,2,0,0,6,9
Kathi Cozzone,,,,,0,0,7,9
Ray Sosa,,,,,,0,8,9
Total,80,29,26,20,8,2,9,9
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,10
,Bob Casey Jr,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,10
Bob Casey Jr,0,21,20,11,6,1,3,10
Mike Stack,,3,0,0,0,0,4,10
John Fetterman,,,1,0,0,0,5,10
Nina Ahmad,,,,0,0,0,6,10
Kathi Cozzone,,,,,0,0,7,10
Ray Sosa,,,,,,0,8,10
Total,59,24,21,11,6,1,9,10
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,11
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,11
Bob Casey Jr,4,34,25,20,13,1,3,11
Nina Ahmad,,1,0,0,0,0,4,11
John Fetterman,,,0,0,0,0,5,11
Mike Stack,,,,0,0,0,6,11
Kathi Cozzone,,,,,0,0,7,11
Ray Sosa,,,,,,1,8,11
Total,97,35,25,20,13,2,9,11
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,12
,Bob Casey Jr,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,12
Bob Casey Jr,0,27,19,20,7,2,3,12
John Fetterman,,1,0,0,0,0,4,12
Mike Stack,,,5,0,0,0,5,12
Nina Ahmad,,,,0,0,0,6,12
Kathi Cozzone,,,,,0,0,7,12
Ray Sosa,,,,,,0,8,12
Total,75,28,24,20,7,2,9,12
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,13
,Bob Casey Jr,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,13
Bob Casey Jr,1,27,22,18,6,1,3,13
John Fetterman,,0,0,0,0,0,4,13
Mike Stack,,,1,0,0,0,5,13
Nina Ahmad,,,,1,0,0,6,13
Kathi Cozzone,,,,,0,0,7,13
Ray Sosa,,,,,,0,8,13
Total,75,27,23,19,6,1,9,13
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,14
,Bob Casey Jr,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,14
Bob Casey Jr,7,48,39,33,10,0,3,14
Mike Stack,,3,0,0,0,0,4,14
John Fetterman,,,4,0,0,0,5,14
Nina Ahmad,,,,4,0,0,6,14
Kathi Cozzone,,,,,2,0,7,14
Ray Sosa,,,,,,0,8,14
Total,137,51,43,37,12,0,9,14
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,15
,Bob Casey Jr,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,15
Bob Casey Jr,0,33,28,19,11,2,3,15
Nina Ahmad,,1,0,0,0,0,4,15
John Fetterman,,,2,0,0,0,5,15
Mike Stack,,,,1,0,0,6,15
Kathi Cozzone,,,,,3,0,7,15
Ray Sosa,,,,,,1,8,15
Total,93,34,30,20,14,3,9,15
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,16
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,16
Bob Casey Jr,0,19,16,5,7,0,3,16
Mike Stack,,0,0,0,0,0,4,16
Nina Ahmad,,,0,0,0,0,5,16
John Fetterman,,,,2,0,0,6,16
Kathi Cozzone,,,,,0,0,7,16
Ray Sosa,,,,,,0,8,16
Total,47,19,16,7,7,0,9,16
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,17
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,17
Bob Casey Jr,2,27,23,20,10,1,3,17
Mike Stack,,2,0,0,0,0,4,17
Nina Ahmad,,,2,0,0,0,5,17
John Fetterman,,,,1,0,0,6,17
Kathi Cozzone,,,,,4,0,7,17
Ray Sosa,,,,,,1,8,17
Total,83,29,25,21,14,2,9,17
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,18
,Bob Casey Jr,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,18
Bob Casey Jr,0,38,18,17,7,1,3,18
John Fetterman,,0,0,0,0,0,4,18
Mike Stack,,,2,0,0,0,5,18
Nina Ahmad,,,,1,0,0,6,18
Kathi Cozzone,,,,,0,0,7,18
Ray Sosa,,,,,,0,8,18
Total,81,38,20,18,7,1,9,18
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,19
,Bob Casey Jr,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,19
Bob Casey Jr,1,24,23,14,5,0,3,19
John Fetterman,,2,0,0,0,0,4,19
Nina Ahmad,,,1,0,0,0,5,19
Mike Stack,,,,4,0,0,6,19
Kathi Cozzone,,,,,0,0,7,19
Ray Sosa,,,,,,0,8,19
Total,67,26,24,18,5,0,9,19
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,20
,Bob Casey Jr,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,20
Bob Casey Jr,5,26,18,15,6,0,3,20
John Fetterman,,0,0,0,0,0,4,20
Nina Ahmad,,,1,0,0,0,5,20
Mike Stack,,,,0,0,0,6,20
Kathi Cozzone,,,,,1,0,7,20
Ray Sosa,,,,,,0,8,20
Total,70,26,19,15,7,0,9,20
