col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,All
,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
Michael A Cibik,3,133,134,133,74,45,27,10,3,All
Maria Digiorgio Mccolgan,,5,130,130,79,44,22,10,4,All
Theresa A Dintino,,,9,126,72,43,21,9,5,All
Christopher M Vogler,,,,5,74,41,22,9,6,All
Kathy Coder,,,,,8,0,0,0,7,All
Diana Irey Vaughan,,,,,,12,0,0,8,All
Jeff Bartos,,,,,,,8,0,9,All
Peg Luksik,,,,,,,,4,10,All
Total,169,167,162,158,118,72,42,15,11,All
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,1
,Christopher M Vogler,Theresa A Dintino,Michael A Cibik,Maria Digiorgio Mccolgan,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,1
Christopher M Vogler,0,8,8,9,6,4,1,0,3,1
Theresa A Dintino,,0,9,8,5,6,0,0,4,1
Michael A Cibik,,,0,8,5,4,1,0,5,1
Maria Digiorgio Mccolgan,,,,0,5,4,0,0,6,1
Kathy Coder,,,,,1,0,0,0,7,1
Diana Irey Vaughan,,,,,,1,0,0,8,1
Jeff Bartos,,,,,,,0,0,9,1
Peg Luksik,,,,,,,,0,10,1
Total,11,11,10,9,8,7,2,0,11,1
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,2
,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Kathy Coder,Peg Luksik,Diana Irey Vaughan,Jeff Bartos,2,2
Theresa A Dintino,1,5,5,5,2,2,0,1,3,2
Christopher M Vogler,,0,5,5,1,2,0,1,4,2
Maria Digiorgio Mccolgan,,,0,5,1,2,0,1,5,2
Michael A Cibik,,,,0,1,2,0,1,6,2
Kathy Coder,,,,,0,0,0,0,7,2
Peg Luksik,,,,,,0,0,0,8,2
Diana Irey Vaughan,,,,,,,1,0,9,2
Jeff Bartos,,,,,,,,0,10,2
Total,7,5,5,5,2,2,1,1,11,2
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,3
,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,3
Maria Digiorgio Mccolgan,1,12,12,12,5,4,3,1,3,3
Theresa A Dintino,,1,12,12,4,4,2,1,4,3
Christopher M Vogler,,,0,12,4,4,2,1,5,3
Michael A Cibik,,,,0,4,4,2,1,6,3
Diana Irey Vaughan,,,,,1,0,0,0,7,3
Kathy Coder,,,,,,0,0,0,8,3
Jeff Bartos,,,,,,,0,0,9,3
Peg Luksik,,,,,,,,0,10,3
Total,15,13,12,12,6,4,3,1,11,3
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,4
,Maria Digiorgio Mccolgan,Christopher M Vogler,Theresa A Dintino,Michael A Cibik,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,4
Maria Digiorgio Mccolgan,0,8,8,8,4,5,2,1,3,4
Christopher M Vogler,,1,6,6,4,2,2,1,4,4
Theresa A Dintino,,,1,8,4,3,1,1,5,4
Michael A Cibik,,,,0,4,3,1,1,6,4
Kathy Coder,,,,,1,0,0,0,7,4
Diana Irey Vaughan,,,,,,1,0,0,8,4
Jeff Bartos,,,,,,,2,0,9,4
Peg Luksik,,,,,,,,0,10,4
Total,12,10,10,9,8,6,4,1,11,4
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,5
,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Jeff Bartos,2,5
Michael A Cibik,1,13,12,11,13,4,1,0,3,5
Theresa A Dintino,,0,12,13,10,4,1,0,4,5
Christopher M Vogler,,,0,11,7,5,1,0,5,5
Maria Digiorgio Mccolgan,,,,0,9,3,1,0,6,5
Kathy Coder,,,,,0,0,0,0,7,5
Diana Irey Vaughan,,,,,,3,0,0,8,5
Peg Luksik,,,,,,,2,0,9,5
Jeff Bartos,,,,,,,,1,10,5
Total,20,16,14,14,15,11,3,1,11,5
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,6
,Theresa A Dintino,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,6
Theresa A Dintino,1,8,8,7,5,2,1,0,3,6
Maria Digiorgio Mccolgan,,0,8,8,7,2,0,0,4,6
Michael A Cibik,,,0,8,5,2,0,0,5,6
Christopher M Vogler,,,,0,5,2,0,0,6,6
