col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,457,3,All
Total,457,4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,17,3,1
Total,17,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,14,3,2
Total,14,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,15,3,3
Total,15,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,21,3,4
Total,21,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,34,3,5
Total,34,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,16,3,6
Total,16,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,18,3,7
Total,18,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,29,3,8
Total,29,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,31,3,9
Total,31,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,24,3,10
Total,24,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,24,3,11
Total,24,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,27,3,12
Total,27,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,24,3,13
Total,24,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,32,3,14
Total,32,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,20,3,15
Total,20,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,9,3,16
Total,9,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,8,3,17
Total,8,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,14,3,18
Total,14,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,19,3,19
Total,19,4,19
,Governor - Democrat,1,20
,Tom Wolf,2,20
Tom Wolf,7,3,20
Total,7,4,20
,Governor - Democrat,1,21
,Tom Wolf,2,21
Tom Wolf,12,3,21
Total,12,4,21
,Governor - Democrat,1,22
,Tom Wolf,2,22
Tom Wolf,18,3,22
Total,18,4,22
,Governor - Democrat,1,23
,Tom Wolf,2,23
Tom Wolf,17,3,23
Total,17,4,23
,Governor - Democrat,1,24
,Tom Wolf,2,24
Tom Wolf,7,3,24
Total,7,4,24
