col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,All
,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Mariel J K Martin,Tom Young,Matthew D Myers,Andi Perez,Micah Mahjoubian,Joe Celentano,Darrell L Clarke,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,All
Rhea Powell,15,"1,006","1,039",768,815,389,832,804,793,477,731,681,478,420,563,371,306,12,3,All
Marylouise Isaacson,,6,962,"1,027",957,657,"1,041",987,606,709,689,514,372,605,490,308,175,11,4,All
Amanda Mcillmurray,,,19,807,663,397,729,665,636,439,717,534,422,345,576,412,165,10,5,All
Mariel J K Martin,,,,15,768,718,890,791,484,756,568,399,280,596,411,259,123,11,6,All
Tom Young,,,,,14,630,873,896,662,604,406,520,395,691,285,261,187,10,7,All
Matthew D Myers,,,,,,162,592,563,322,759,312,209,181,692,187,162,73,10,8,All
Andi Perez,,,,,,,3,889,524,657,499,466,383,558,410,286,114,15,9,All
Micah Mahjoubian,,,,,,,,7,552,618,449,521,311,554,394,240,174,3,10,All
Joe Celentano,,,,,,,,,24,312,358,489,394,421,285,254,205,13,11,All
Darrell L Clarke,,,,,,,,,,6,347,228,187,549,262,177,59,9,12,All
Judi Golding Baker,,,,,,,,,,,0,336,233,191,385,207,121,11,13,All
Noam Kugelmass,,,,,,,,,,,,3,308,203,287,219,129,6,14,All
Jon Geeting,,,,,,,,,,,,,5,175,189,222,76,9,15,All
Mike Stack,,,,,,,,,,,,,,305,0,0,0,0,16,All
Nina Ahmad,,,,,,,,,,,,,,,184,0,0,0,17,All
John Fetterman,,,,,,,,,,,,,,,,206,0,0,18,All
Kathi Cozzone,,,,,,,,,,,,,,,,,84,0,19,All
Ray Sosa,,,,,,,,,,,,,,,,,,8,20,All
Total,"1,721","1,631","1,556","1,533","1,493","1,430","1,424","1,418","1,225","1,196",929,865,687,"1,661","1,071",932,574,46,21,All
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,1
,Rhea Powell,Amanda Mcillmurray,Joe Celentano,Andi Perez,Matthew D Myers,Darrell L Clarke,Mariel J K Martin,Marylouise Isaacson,Micah Mahjoubian,Tom Young,Noam Kugelmass,Jon Geeting,Judi Golding Baker,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,Kathi Cozzone,2,1
Rhea Powell,0,22,18,19,14,17,14,15,14,11,13,12,13,11,11,8,2,1,3,1
Amanda Mcillmurray,,0,16,18,11,13,15,14,11,15,14,11,8,8,11,10,0,1,4,1
Joe Celentano,,,0,15,8,10,11,8,8,11,9,9,5,12,8,4,1,1,5,1
Andi Perez,,,,0,11,13,12,10,11,13,11,10,7,7,9,8,0,1,6,1
Matthew D Myers,,,,,0,13,9,12,6,6,5,5,9,9,7,3,1,1,7,1
Darrell L Clarke,,,,,,0,11,10,10,6,9,7,9,8,8,4,0,0,8,1
Mariel J K Martin,,,,,,,0,9,8,9,9,7,7,4,8,6,1,1,9,1
Marylouise Isaacson,,,,,,,,0,9,7,8,3,8,5,8,2,3,2,10,1
Micah Mahjoubian,,,,,,,,,1,6,8,6,7,6,7,4,1,0,11,1
Tom Young,,,,,,,,,,0,7,6,5,6,9,1,0,2,12,1
Noam Kugelmass,,,,,,,,,,,0,6,4,3,7,6,0,0,13,1
Jon Geeting,,,,,,,,,,,,0,4,4,4,6,0,0,14,1
Judi Golding Baker,,,,,,,,,,,,,0,5,7,1,1,0,15,1
Mike Stack,,,,,,,,,,,,,,9,0,0,0,0,16,1
John Fetterman,,,,,,,,,,,,,,,3,0,0,0,17,1
Nina Ahmad,,,,,,,,,,,,,,,,3,0,0,18,1
Ray Sosa,,,,,,,,,,,,,,,,,1,0,19,1
Kathi Cozzone,,,,,,,,,,,,,,,,,,0,20,1
Total,33,30,26,25,21,20,20,20,19,18,16,14,14,27,21,19,4,3,21,1
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,2
