col_1,col_2,col_3,col_4,col_5,col_6,order,division
,United States Senator - Republican,,Governor - Republican,,,1,All
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,All
Lou Barletta,6,0,361,228,103,3,All
Jim Christiana,,9,185,218,100,4,All
Paul Mango,,,65,0,0,5,All
Scott R Wagner,,,,47,0,6,All
Laura Ellsworth,,,,,18,7,All
Total,698,512,611,493,221,8,All
,Governor - Republican,,,United States Senator - Republican,,1,1
,Scott R Wagner,Paul Mango,Laura Ellsworth,Lou Barletta,Jim Christiana,2,1
Scott R Wagner,1,0,0,2,0,3,1
Paul Mango,,1,0,0,1,4,1
Laura Ellsworth,,,0,0,0,5,1
Lou Barletta,,,,0,0,6,1
Jim Christiana,,,,,0,7,1
Total,3,2,0,2,1,8,1
,United States Senator - Republican,,Governor - Republican,,,1,2
,Jim Christiana,Lou Barletta,Scott R Wagner,Laura Ellsworth,Paul Mango,2,2
Jim Christiana,0,0,2,1,1,3,2
Lou Barletta,,0,1,0,0,4,2
Scott R Wagner,,,1,0,0,5,2
Laura Ellsworth,,,,1,0,6,2
Paul Mango,,,,,0,7,2
Total,4,1,4,2,1,8,2
,United States Senator - Republican,,Governor - Republican,,,1,3
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,3
Jim Christiana,0,0,5,5,3,3,3
Lou Barletta,,0,5,4,1,4,3
Paul Mango,,,3,0,0,5,3
Scott R Wagner,,,,2,0,6,3
Laura Ellsworth,,,,,0,7,3
Total,13,10,13,11,4,8,3
,United States Senator - Republican,,Governor - Republican,,,1,4
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,4
Lou Barletta,0,0,11,19,1,3,4
Jim Christiana,,0,15,5,4,4,4
Scott R Wagner,,,2,0,0,5,4
Paul Mango,,,,1,0,6,4
Laura Ellsworth,,,,,0,7,4
Total,31,24,28,25,5,8,4
,Governor - Republican,,,United States Senator - Republican,,1,5
,Scott R Wagner,Paul Mango,Laura Ellsworth,Jim Christiana,Lou Barletta,2,5
Scott R Wagner,3,0,0,7,5,3,5
Paul Mango,,2,0,2,4,4,5
Laura Ellsworth,,,1,4,2,5,5
Jim Christiana,,,,1,0,6,5
Lou Barletta,,,,,0,7,5
Total,15,8,7,14,11,8,5
,United States Senator - Republican,,Governor - Republican,,,1,6
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,6
Lou Barletta,0,0,10,6,2,3,6
Jim Christiana,,0,4,1,3,4,6
Paul Mango,,,1,0,0,5,6
Scott R Wagner,,,,2,0,6,6
Laura Ellsworth,,,,,0,7,6
Total,18,8,15,9,5,8,6
,Governor - Republican,,,United States Senator - Republican,,1,7
,Paul Mango,Scott R Wagner,Laura Ellsworth,Jim Christiana,Lou Barletta,2,7
Paul Mango,0,0,0,8,14,3,7
Scott R Wagner,,1,0,8,4,4,7
Laura Ellsworth,,,0,3,1,5,7
Jim Christiana,,,,0,0,6,7
Lou Barletta,,,,,0,7,7
Total,22,13,4,19,19,8,7
,Governor - Republican,,,United States Senator - Republican,,1,8
,Paul Mango,Scott R Wagner,Laura Ellsworth,Lou Barletta,Jim Christiana,2,8
Paul Mango,1,0,0,6,3,3,8
Scott R Wagner,,2,0,2,2,4,8
Laura Ellsworth,,,0,1,0,5,8
Lou Barletta,,,,0,0,6,8
Jim Christiana,,,,,0,7,8
Total,10,6,1,9,5,8,8
,Governor - Republican,,,United States Senator - Republican,,1,9
,Paul Mango,Scott R Wagner,Laura Ellsworth,Lou Barletta,Jim Christiana,2,9
Paul Mango,3,0,0,13,7,3,9
Scott R Wagner,,1,0,5,10,4,9
Laura Ellsworth,,,0,3,2,5,9
Lou Barletta,,,,0,0,6,9
Jim Christiana,,,,,1,7,9
Total,23,16,5,21,20,8,9
,United States Senator - Republican,,Governor - Republican,,,1,10
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,10
Lou Barletta,1,0,7,5,2,3,10
Jim Christiana,,0,6,4,0,4,10
Paul Mango,,,2,0,0,5,10
Scott R Wagner,,,,3,0,6,10
Laura Ellsworth,,,,,0,7,10
Total,15,10,15,12,2,8,10
,United States Senator - Republican,,Governor - Republican,,,1,11
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,11
Jim Christiana,0,0,6,4,4,3,11
Lou Barletta,,1,1,4,4,4,11
Laura Ellsworth,,,1,0,0,5,11
Paul Mango,,,,0,0,6,11
Scott R Wagner,,,,,0,7,11
Total,14,10,8,8,8,8,11
,United States Senator - Republican,,Governor - Republican,,,1,12
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,12
Lou Barletta,0,0,11,8,4,3,12
Jim Christiana,,0,8,2,2,4,12
Scott R Wagner,,,0,0,0,5,12
Paul Mango,,,,1,0,6,12
Laura Ellsworth,,,,,0,7,12
Total,23,12,19,11,6,8,12
,United States Senator - Republican,,Governor - Republican,,,1,13
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,13
Lou Barletta,0,0,10,7,3,3,13
Jim Christiana,,0,6,3,4,4,13
Scott R Wagner,,,1,0,0,5,13
Paul Mango,,,,2,0,6,13
Laura Ellsworth,,,,,0,7,13
Total,20,13,17,12,7,8,13
,United States Senator - Republican,,Governor - Republican,,,1,14
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,14
Jim Christiana,0,0,9,6,3,3,14
Lou Barletta,,0,4,2,1,4,14
Paul Mango,,,2,0,0,5,14
Scott R Wagner,,,,2,0,6,14
Laura Ellsworth,,,,,0,7,14
Total,18,7,15,10,4,8,14
,United States Senator - Republican,,Governor - Republican,,,1,15
,Lou Barletta,Jim Christiana,Paul Mango,Laura Ellsworth,Scott R Wagner,2,15
Lou Barletta,0,0,1,0,0,3,15
Jim Christiana,,0,0,0,0,4,15
Paul Mango,,,0,0,0,5,15
Laura Ellsworth,,,,0,0,6,15
Scott R Wagner,,,,,0,7,15
Total,1,0,1,0,0,8,15
,United States Senator - Republican,,Governor - Republican,,,1,16
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,16
Lou Barletta,0,0,18,5,5,3,16
Jim Christiana,,0,3,7,2,4,16
