col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,All
,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,All
Kathy Enggasser,46,215,231,218,214,3,All
John Dellricci,,42,214,211,208,4,All
Mary Ann Quartullo,,,25,217,208,5,All
James G Donnelly Sr,,,,33,213,6,All
Patrick Parkinson,,,,,16,7,All
Total,287,264,262,261,235,8,All
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,3
,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Patrick Parkinson,Mary Ann Quartullo,2,3
James G Donnelly Sr,2,7,8,8,8,3,3
John Dellricci,,4,7,7,7,4,3
Kathy Enggasser,,,3,8,7,5,3
Patrick Parkinson,,,,3,7,6,3
Mary Ann Quartullo,,,,,2,7,3
Total,11,11,11,11,10,8,3
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,4
,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,4
Kathy Enggasser,4,9,9,6,7,3,4
John Dellricci,,2,9,6,7,4,4
Mary Ann Quartullo,,,1,6,7,5,4
James G Donnelly Sr,,,,1,6,6,4
Patrick Parkinson,,,,,0,7,4
Total,13,11,10,7,7,8,4
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,5
,John Dellricci,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,5
John Dellricci,4,5,5,5,5,3,5
James G Donnelly Sr,,1,6,7,6,4,5
Kathy Enggasser,,,2,6,6,5,5
Mary Ann Quartullo,,,,0,6,6,5
Patrick Parkinson,,,,,1,7,5
Total,9,8,8,7,7,8,5
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,6
,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,6
Kathy Enggasser,4,11,9,9,10,3,6
James G Donnelly Sr,,1,9,9,10,4,6
John Dellricci,,,3,8,9,5,6
Mary Ann Quartullo,,,,1,8,6,6
Patrick Parkinson,,,,,0,7,6
Total,15,12,12,10,10,8,6
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,7
,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,7
Kathy Enggasser,3,5,6,5,5,3,7
James G Donnelly Sr,,3,5,5,5,4,7
Mary Ann Quartullo,,,2,5,5,5,7
John Dellricci,,,,2,5,6,7
Patrick Parkinson,,,,,0,7,7
Total,9,8,8,7,5,8,7
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,8
,James G Donnelly Sr,John Dellricci,Patrick Parkinson,Mary Ann Quartullo,Kathy Enggasser,2,8
James G Donnelly Sr,2,14,15,14,14,3,8
John Dellricci,,2,14,14,14,4,8
Patrick Parkinson,,,1,14,14,5,8
Mary Ann Quartullo,,,,1,14,6,8
Kathy Enggasser,,,,,0,7,8
Total,17,16,16,15,14,8,8
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,9
,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,2,9
Kathy Enggasser,4,24,26,24,21,3,9
