col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,All
,Scott R Wagner,Paul Mango,Laura Ellsworth,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,All
Scott R Wagner,37,0,0,79,81,35,6,3,All
Paul Mango,,37,0,49,43,74,8,4,All
Laura Ellsworth,,,17,30,14,12,4,5,All
Kathy Coder,,,,3,0,0,0,6,All
Jeff Bartos,,,,,1,0,0,7,All
Diana Irey Vaughan,,,,,,3,0,8,All
Peg Luksik,,,,,,,1,9,All
Total,238,211,77,161,139,124,19,10,All
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,1
,Paul Mango,Laura Ellsworth,Scott R Wagner,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,1
Paul Mango,3,0,0,2,3,1,1,3,1
Laura Ellsworth,,2,0,2,2,1,0,4,1
Scott R Wagner,,,1,5,1,0,0,5,1
Jeff Bartos,,,,0,0,0,0,6,1
Kathy Coder,,,,,0,0,0,7,1
Diana Irey Vaughan,,,,,,0,0,8,1
Peg Luksik,,,,,,,0,9,1
Total,10,7,7,9,6,2,1,10,1
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,2
,Scott R Wagner,Paul Mango,Laura Ellsworth,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,2
Scott R Wagner,3,0,0,5,6,6,1,3,2
Paul Mango,,1,0,10,5,2,1,4,2
Laura Ellsworth,,,0,0,0,2,0,5,2
Diana Irey Vaughan,,,,0,0,0,0,6,2
Jeff Bartos,,,,,0,0,0,7,2
Kathy Coder,,,,,,1,0,8,2
Peg Luksik,,,,,,,0,9,2
Total,21,19,2,15,11,11,2,10,2
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,3
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Scott R Wagner,Paul Mango,Laura Ellsworth,2,3
Kathy Coder,0,0,0,0,7,7,4,3,3
Diana Irey Vaughan,,0,0,0,5,3,2,4,3
Jeff Bartos,,,0,0,2,1,1,5,3
Peg Luksik,,,,0,0,0,0,6,3
Scott R Wagner,,,,,4,0,0,7,3
Paul Mango,,,,,,4,0,8,3
Laura Ellsworth,,,,,,,2,9,3
Total,18,10,4,0,18,15,9,10,3
