To Remove,United States Senator - Democrat,To Remove 2,Lieutenant Governor - Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,All
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,All
Bob Casey Jr,32,0,429,164,135,99,8,0,All
Write In,,0,1,0,0,0,0,0,All
Mike Stack,,,57,0,0,0,0,0,All
John Fetterman,,,,22,0,0,0,0,All
Nina Ahmad,,,,,8,0,0,0,All
Kathi Cozzone,,,,,,12,0,0,All
Ray Sosa,,,,,,,2,0,All
Write In,,,,,,,,0,All
Total,867,1,487,186,143,111,10,0,All
1,2,3,4,5,6,7,8,9,All
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,1
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Write In,1
Bob Casey Jr,2,0,25,12,10,10,1,0,1
Write In,,0,0,0,0,0,0,0,1
Mike Stack,,,1,0,0,0,0,0,1
John Fetterman,,,,1,0,0,0,0,1
Kathi Cozzone,,,,,0,0,0,0,1
Nina Ahmad,,,,,,0,0,0,1
Ray Sosa,,,,,,,0,0,1
Write In,,,,,,,,0,1
Total,60,0,26,13,10,10,1,0,1
1,2,3,4,5,6,7,8,9,1
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,2
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,2
Bob Casey Jr,1,0,51,15,14,7,1,0,2
Write In,,0,0,0,0,0,0,0,2
Mike Stack,,,11,0,0,0,0,0,2
John Fetterman,,,,1,0,0,0,0,2
Nina Ahmad,,,,,2,0,0,0,2
Kathi Cozzone,,,,,,2,0,0,2
Ray Sosa,,,,,,,0,0,2
Write In,,,,,,,,0,2
Total,89,0,62,16,16,9,1,0,2
1,2,3,4,5,6,7,8,9,2
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,3
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,3
Bob Casey Jr,1,0,17,11,3,4,0,0,3
Write In,,0,0,0,0,0,0,0,3
Mike Stack,,,1,0,0,0,0,0,3
Kathi Cozzone,,,,0,0,0,0,0,3
John Fetterman,,,,,1,0,0,0,3
Nina Ahmad,,,,,,0,0,0,3
Ray Sosa,,,,,,,0,0,3
Write In,,,,,,,,0,3
Total,36,0,18,11,4,4,0,0,3
1,2,3,4,5,6,7,8,9,3
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,4
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Write In,4
Bob Casey Jr,3,0,20,15,6,5,1,0,4
Write In,,0,0,0,0,0,0,0,4
Mike Stack,,,1,0,0,0,0,0,4
John Fetterman,,,,1,0,0,0,0,4
Kathi Cozzone,,,,,0,0,0,0,4
Nina Ahmad,,,,,,0,0,0,4
Ray Sosa,,,,,,,0,0,4
Write In,,,,,,,,0,4
Total,50,0,21,16,6,5,1,0,4
1,2,3,4,5,6,7,8,9,4
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,5
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,Write In,5
Bob Casey Jr,1,0,28,11,5,3,2,0,5
Write In,,0,0,0,0,0,0,0,5
Mike Stack,,,1,0,0,0,0,0,5
Nina Ahmad,,,,0,0,0,0,0,5
Kathi Cozzone,,,,,1,0,0,0,5
John Fetterman,,,,,,0,0,0,5
Ray Sosa,,,,,,,0,0,5
Write In,,,,,,,,0,5
Total,50,0,29,11,6,3,2,0,5
1,2,3,4,5,6,7,8,9,5
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,6
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,6
Bob Casey Jr,5,0,36,10,10,3,0,0,6
Write In,,0,1,0,0,0,0,0,6
Mike Stack,,,5,0,0,0,0,0,6
John Fetterman,,,,3,0,0,0,0,6
Nina Ahmad,,,,,0,0,0,0,6
Kathi Cozzone,,,,,,0,0,0,6
Ray Sosa,,,,,,,0,0,6
Write In,,,,,,,,0,6
Total,64,1,42,13,10,3,0,0,6
1,2,3,4,5,6,7,8,9,6
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,7
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,7
Bob Casey Jr,0,0,24,9,7,2,1,0,7
Write In,,0,0,0,0,0,0,0,7
Mike Stack,,,3,0,0,0,0,0,7
John Fetterman,,,,3,0,0,0,0,7
Nina Ahmad,,,,,1,0,0,0,7
Kathi Cozzone,,,,,,0,0,0,7
Ray Sosa,,,,,,,1,0,7
Write In,,,,,,,,0,7
Total,43,0,27,12,8,2,2,0,7
1,2,3,4,5,6,7,8,9,7
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,8
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,8
Bob Casey Jr,2,0,11,13,5,3,1,0,8
Write In,,0,0,0,0,0,0,0,8
Mike Stack,,,6,0,0,0,0,0,8
John Fetterman,,,,0,0,0,0,0,8
Nina Ahmad,,,,,0,0,0,0,8
Kathi Cozzone,,,,,,1,0,0,8
Ray Sosa,,,,,,,0,0,8
Write In,,,,,,,,0,8
Total,35,0,17,13,5,4,1,0,8
1,2,3,4,5,6,7,8,9,8
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,9
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,9
Bob Casey Jr,0,0,11,4,5,0,0,0,9
Write In,,0,0,0,0,0,0,0,9
Mike Stack,,,0,0,0,0,0,0,9
John Fetterman,,,,2,0,0,0,0,9
Nina Ahmad,,,,,0,0,0,0,9
Kathi Cozzone,,,,,,1,0,0,9
Ray Sosa,,,,,,,0,0,9
Write In,,,,,,,,0,9
Total,20,0,11,6,5,1,0,0,9
1,2,3,4,5,6,7,8,9,9
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,10
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Write In,10
Bob Casey Jr,1,0,16,11,8,1,0,0,10
Write In,,0,0,0,0,0,0,0,10
Mike Stack,,,4,0,0,0,0,0,10
Nina Ahmad,,,,1,0,0,0,0,10
John Fetterman,,,,,1,0,0,0,10
Kathi Cozzone,,,,,,0,0,0,10
Ray Sosa,,,,,,,0,0,10
Write In,,,,,,,,0,10
Total,37,0,20,12,9,1,0,0,10
1,2,3,4,5,6,7,8,9,10
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,11
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,11
Bob Casey Jr,2,0,20,7,7,3,0,0,11
Write In,,0,0,0,0,0,0,0,11
Mike Stack,,,2,0,0,0,0,0,11
Kathi Cozzone,,,,2,0,0,0,0,11
John Fetterman,,,,,1,0,0,0,11
Nina Ahmad,,,,,,1,0,0,11
Ray Sosa,,,,,,,0,0,11
Write In,,,,,,,,0,11
Total,39,0,22,9,8,4,0,0,11
1,2,3,4,5,6,7,8,9,11
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,12
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Write In,12
Bob Casey Jr,1,0,13,5,4,3,0,0,12
Write In,,0,0,0,0,0,0,0,12
Mike Stack,,,0,0,0,0,0,0,12
Kathi Cozzone,,,,1,0,0,0,0,12
Nina Ahmad,,,,,0,0,0,0,12
John Fetterman,,,,,,0,0,0,12
Ray Sosa,,,,,,,0,0,12
Write In,,,,,,,,0,12
Total,26,0,13,6,4,3,0,0,12
1,2,3,4,5,6,7,8,9,12
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,13
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Write In,13
Bob Casey Jr,4,0,19,15,4,4,0,0,13
Write In,,0,0,0,0,0,0,0,13
Mike Stack,,,4,0,0,0,0,0,13
John Fetterman,,,,1,0,0,0,0,13
Kathi Cozzone,,,,,3,0,0,0,13
Nina Ahmad,,,,,,0,0,0,13
Ray Sosa,,,,,,,0,0,13
Write In,,,,,,,,0,13
Total,46,0,23,16,7,4,0,0,13
1,2,3,4,5,6,7,8,9,13
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,14
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,14
Bob Casey Jr,1,0,16,11,5,3,0,0,14
Write In,,0,0,0,0,0,0,0,14
Mike Stack,,,4,0,0,0,0,0,14
John Fetterman,,,,1,0,0,0,0,14
Nina Ahmad,,,,,0,0,0,0,14
Kathi Cozzone,,,,,,0,0,0,14
Ray Sosa,,,,,,,0,0,14
Write In,,,,,,,,0,14
Total,36,0,20,12,5,3,0,0,14
1,2,3,4,5,6,7,8,9,14
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,15
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,15
Bob Casey Jr,3,0,38,16,7,6,0,0,15
Write In,,0,0,0,0,0,0,0,15
Mike Stack,,,3,0,0,0,0,0,15
Kathi Cozzone,,,,0,0,0,0,0,15
John Fetterman,,,,,2,0,0,0,15
Nina Ahmad,,,,,,0,0,0,15
Ray Sosa,,,,,,,0,0,15
Write In,,,,,,,,0,15
Total,70,0,41,16,9,6,0,0,15
1,2,3,4,5,6,7,8,9,15
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,16
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,16
Bob Casey Jr,1,0,31,8,8,2,0,0,16
Write In,,0,0,0,0,0,0,0,16
Mike Stack,,,3,0,0,0,0,0,16
John Fetterman,,,,1,0,0,0,0,16
Nina Ahmad,,,,,0,0,0,0,16
Kathi Cozzone,,,,,,0,0,0,16
Ray Sosa,,,,,,,0,0,16
Write In,,,,,,,,0,16
Total,50,0,34,9,8,2,0,0,16
1,2,3,4,5,6,7,8,9,16
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,17
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,17
Bob Casey Jr,1,0,26,6,5,2,1,0,17
Write In,,0,0,0,0,0,0,0,17
Mike Stack,,,6,0,0,0,0,0,17
John Fetterman,,,,0,0,0,0,0,17
Nina Ahmad,,,,,1,0,0,0,17
Kathi Cozzone,,,,,,1,0,0,17
Ray Sosa,,,,,,,0,0,17
Write In,,,,,,,,0,17
Total,41,0,32,6,6,3,1,0,17
1,2,3,4,5,6,7,8,9,17
,United States Senator - Democrat,,Lieutenant Governor - Democrat,,,,,,18
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Write In,18
Bob Casey Jr,3,0,27,18,15,12,0,0,18
Write In,,0,0,0,0,0,0,0,18
Mike Stack,,,2,0,0,0,0,0,18
Nina Ahmad,,,,2,0,0,0,0,18
John Fetterman,,,,,3,0,0,0,18
Kathi Cozzone,,,,,,0,0,0,18
Ray Sosa,,,,,,,1,0,18
Write In,,,,,,,,0,18
Total,75,0,29,20,18,12,1,0,18
1,2,3,4,5,6,7,8,9,18
