col_1,col_2,col_3,col_4,order,division
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,All
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,All
Tom Wolf,147,"1,441",652,3,All
Brendan F Boyle,,63,0,4,All
Michele Lawrence,,,28,5,All
Total,"2,240","1,504",680,6,All
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,1
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,1
Tom Wolf,9,24,20,3,1
Brendan F Boyle,,0,0,4,1
Michele Lawrence,,,1,5,1
Total,53,24,21,6,1
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,2
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,2
Tom Wolf,10,52,23,3,2
Brendan F Boyle,,4,0,4,2
Michele Lawrence,,,1,5,2
Total,85,56,24,6,2
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,3
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,3
Tom Wolf,2,31,22,3,3
Brendan F Boyle,,7,0,4,3
Michele Lawrence,,,2,5,3
Total,55,38,24,6,3
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,4
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,4
Tom Wolf,2,20,13,3,4
Brendan F Boyle,,2,0,4,4
Michele Lawrence,,,3,5,4
Total,35,22,16,6,4
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,5
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,5
Tom Wolf,6,24,21,3,5
Brendan F Boyle,,2,0,4,5
Michele Lawrence,,,0,5,5
Total,51,26,21,6,5
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,6
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,6
Tom Wolf,9,97,33,3,6
Brendan F Boyle,,5,0,4,6
Michele Lawrence,,,0,5,6
Total,139,102,33,6,6
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,7
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,7
Tom Wolf,12,44,22,3,7
Brendan F Boyle,,2,0,4,7
Michele Lawrence,,,0,5,7
Total,78,46,22,6,7
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,8
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,8
Tom Wolf,10,27,22,3,8
Brendan F Boyle,,3,0,4,8
Michele Lawrence,,,1,5,8
Total,59,30,23,6,8
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,9
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,9
Tom Wolf,3,45,15,3,9
Brendan F Boyle,,1,0,4,9
Michele Lawrence,,,1,5,9
Total,63,46,16,6,9
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,10
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,10
Tom Wolf,1,30,9,3,10
Brendan F Boyle,,3,0,4,10
Michele Lawrence,,,1,5,10
Total,40,33,10,6,10
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,11
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,11
Tom Wolf,2,42,12,3,11
