col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,1
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,1
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,1
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,1
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,1
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,1
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,1
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,1
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,1
Total,16,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,2
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,2
Torri Douglas,10,32,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Marisa Piccarreto,,4,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Kyle J Sampson,,,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Kyle Shenandoah,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,2
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,2
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,2
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,2
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,2
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,2
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,2
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,2
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,2
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,2
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,2
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,2
Total,43,37,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,3
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Rich Lazer,Theresa M Wright,Molly Sheehan,Thaddeus Kirkland,Lindy Li,Margo Davidson,Ashley Lunkenheimer,Greg Vitali,Mary Gay Scanlon,Dan Muroff,Shelly Chauncey,David Wertime,Larry Arata,2,3
Torri Douglas,1,11,15,11,9,9,5,3,0,2,2,1,1,0,0,0,0,3,3
Marisa Piccarreto,,0,10,9,5,3,3,2,1,2,1,0,2,1,0,0,0,4,3
Kyle Shenandoah,,,1,11,3,3,3,1,0,1,1,0,1,0,1,0,0,5,3
Kyle J Sampson,,,,1,3,2,2,1,2,1,1,0,2,0,0,0,0,6,3
Rich Lazer,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3
Theresa M Wright,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,8,3
Molly Sheehan,,,,,,,2,0,0,0,0,0,0,0,0,0,0,9,3
Thaddeus Kirkland,,,,,,,,4,0,0,0,0,0,0,0,0,0,10,3
Lindy Li,,,,,,,,,2,0,0,0,0,0,0,0,0,11,3
Margo Davidson,,,,,,,,,,2,0,0,0,0,0,0,0,12,3
Ashley Lunkenheimer,,,,,,,,,,,1,0,0,0,0,0,0,13,3
Greg Vitali,,,,,,,,,,,,2,0,0,0,0,0,14,3
Mary Gay Scanlon,,,,,,,,,,,,,0,0,0,0,0,15,3
Dan Muroff,,,,,,,,,,,,,,0,0,0,0,16,3
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,3
David Wertime,,,,,,,,,,,,,,,,0,0,18,3
Larry Arata,,,,,,,,,,,,,,,,,0,19,3
Total,35,20,17,16,16,11,8,8,5,5,3,3,3,1,1,0,0,20,3
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,4
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Rich Lazer,Theresa M Wright,Molly Sheehan,Lindy Li,Mary Gay Scanlon,Greg Vitali,Ashley Lunkenheimer,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,2,4
Torri Douglas,2,27,29,25,9,10,8,2,2,4,3,0,0,0,0,0,0,3,4
Kyle J Sampson,,0,26,24,9,6,9,2,1,2,2,1,0,0,0,0,0,4,4
Marisa Piccarreto,,,0,26,6,6,7,5,2,3,3,0,0,0,0,0,0,5,4
Kyle Shenandoah,,,,1,6,5,7,3,1,3,2,0,0,0,0,0,0,6,4
Rich Lazer,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,7,4
Theresa M Wright,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,8,4
Molly Sheehan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,4
Lindy Li,,,,,,,,4,0,0,0,0,0,0,0,0,0,10,4
Mary Gay Scanlon,,,,,,,,,5,0,0,0,0,0,0,0,0,11,4
Greg Vitali,,,,,,,,,,0,0,0,0,0,0,0,0,12,4
Ashley Lunkenheimer,,,,,,,,,,,0,0,0,0,0,0,0,13,4
Thaddeus Kirkland,,,,,,,,,,,,0,0,0,0,0,0,14,4
Dan Muroff,,,,,,,,,,,,,0,0,0,0,0,15,4
David Wertime,,,,,,,,,,,,,,0,0,0,0,16,4
Larry Arata,,,,,,,,,,,,,,,0,0,0,17,4
Margo Davidson,,,,,,,,,,,,,,,,0,0,18,4
Shelly Chauncey,,,,,,,,,,,,,,,,,0,19,4
Total,41,33,33,29,25,14,11,10,8,4,3,1,0,0,0,0,0,20,4
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,5
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,5
Torri Douglas,9,47,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Marisa Piccarreto,,3,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
Kyle J Sampson,,,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Kyle Shenandoah,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,5
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,5
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,5
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,5
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,5
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,5
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,5
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,5
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,5
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,5
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,5
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,5
Total,59,54,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,6
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,6
Torri Douglas,11,96,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Marisa Piccarreto,,7,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Kyle Shenandoah,,,4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Kyle J Sampson,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,6
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,6
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,6
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,6
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,6
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,6
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,6
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,6
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,6
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,6
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,6
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,6
Total,108,106,94,93,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,7
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,7
Torri Douglas,7,16,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Kyle J Sampson,,3,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
Marisa Piccarreto,,,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
Kyle Shenandoah,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,7
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,7
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,7
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,7
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,7
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,7
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,7
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,7
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,7
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,7
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,7
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,7
Total,28,24,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,8
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,8
Torri Douglas,17,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Kyle J Sampson,,6,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
Kyle Shenandoah,,,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Marisa Piccarreto,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,8
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,8
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,8
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,8
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,8
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,8
