col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,All
,Marylouise Isaacson,Rhea Powell,Micah Mahjoubian,Judi Golding Baker,Andi Perez,Mariel J K Martin,Tom Young,Amanda Mcillmurray,Darrell L Clarke,Matthew D Myers,Noam Kugelmass,Joe Celentano,Jon Geeting,Michael H O Brien,Debby Derricks,All
Marylouise Isaacson,3,"1,127","1,266","1,285","1,203","1,192",991,"1,041",874,766,624,560,354,"1,077",786,All
Rhea Powell,,8,900,890,875,809,711,"1,006",522,384,701,642,387,833,788,All
Micah Mahjoubian,,,1,991,"1,068",949,931,721,787,645,596,515,290,942,637,All
Judi Golding Baker,,,,0,"1,011","1,033",793,815,817,737,488,371,236,851,639,All
Andi Perez,,,,,0,"1,022",863,726,788,678,530,437,309,847,611,All
Mariel J K Martin,,,,,,0,828,782,752,666,438,378,241,794,591,All
Tom Young,,,,,,,1,549,636,627,477,507,287,831,435,All
Amanda Mcillmurray,,,,,,,,0,424,348,547,493,300,594,651,All
Darrell L Clarke,,,,,,,,,7,618,302,233,168,742,378,All
Matthew D Myers,,,,,,,,,,0,231,206,160,600,303,All
Noam Kugelmass,,,,,,,,,,,1,411,243,479,424,All
Joe Celentano,,,,,,,,,,,,0,258,455,340,All
Jon Geeting,,,,,,,,,,,,,2,280,244,All
Michael H O Brien,,,,,,,,,,,,,,295,0,All
Debby Derricks,,,,,,,,,,,,,,,175,All
Total,"1,902","1,648","1,607","1,523","1,493","1,415","1,299","1,262","1,149",927,917,804,535,"1,886","1,309",All
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,1
