col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,All
,Walt Vogler,Calvin R Tucker,Denise Furey,Kathy Coder,Jeff Bartos,Peg Luksik,Diana Irey Vaughan,2,All
Walt Vogler,1,6,6,6,5,0,0,3,All
Calvin R Tucker,,0,6,6,3,1,0,4,All
Denise Furey,,,0,5,2,2,1,5,All
Kathy Coder,,,,1,0,0,0,6,All
Jeff Bartos,,,,,1,0,0,7,All
Peg Luksik,,,,,,2,0,8,All
Diana Irey Vaughan,,,,,,,0,9,All
Total,12,10,10,11,6,4,1,10,All
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,1
,Peg Luksik,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Denise Furey,Calvin R Tucker,Walt Vogler,2,1
Peg Luksik,2,0,0,0,2,1,0,3,1
Jeff Bartos,,0,0,0,1,1,1,4,1
Diana Irey Vaughan,,,0,0,0,0,0,5,1
Kathy Coder,,,,0,0,0,0,6,1
Denise Furey,,,,,0,2,1,7,1
Calvin R Tucker,,,,,,0,1,8,1
Walt Vogler,,,,,,,0,9,1
Total,4,1,0,0,3,2,1,10,1
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,2
,Walt Vogler,Calvin R Tucker,Denise Furey,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,2
Walt Vogler,1,1,1,2,0,0,0,3,2
Calvin R Tucker,,0,1,1,0,0,0,4,2
Denise Furey,,,0,1,0,0,0,5,2
Jeff Bartos,,,,0,0,0,0,6,2
Diana Irey Vaughan,,,,,0,0,0,7,2
Kathy Coder,,,,,,0,0,8,2
Peg Luksik,,,,,,,0,9,2
Total,3,1,1,2,0,0,0,10,2
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,3
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Calvin R Tucker,Walt Vogler,Denise Furey,2,3
Kathy Coder,0,0,0,0,2,1,0,3,3
Diana Irey Vaughan,,0,0,0,0,0,0,4,3
Jeff Bartos,,,0,0,0,0,0,5,3
Peg Luksik,,,,0,0,0,0,6,3
Calvin R Tucker,,,,,0,0,0,7,3
Walt Vogler,,,,,,0,0,8,3
Denise Furey,,,,,,,0,9,3
Total,3,0,0,0,2,1,0,10,3
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 2nd Congressional District,,,1,4
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Calvin R Tucker,Denise Furey,Walt Vogler,2,4
Kathy Coder,1,0,0,0,0,0,0,3,4
Diana Irey Vaughan,,0,0,0,0,0,0,4,4
Jeff Bartos,,,0,0,0,0,0,5,4
Peg Luksik,,,,0,0,0,0,6,4
Calvin R Tucker,,,,,0,0,0,7,4
Denise Furey,,,,,,0,0,8,4
Walt Vogler,,,,,,,0,9,4
Total,1,0,0,0,0,0,0,10,4
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,5
,Calvin R Tucker,Walt Vogler,Denise Furey,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,5
Calvin R Tucker,0,1,0,1,0,0,0,3,5
Walt Vogler,,0,0,1,0,0,0,4,5
Denise Furey,,,0,0,0,0,0,5,5
Jeff Bartos,,,,0,0,0,0,6,5
Diana Irey Vaughan,,,,,0,0,0,7,5
Kathy Coder,,,,,,0,0,8,5
Peg Luksik,,,,,,,0,9,5
Total,1,1,0,1,0,0,0,10,5
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,8
,Calvin R Tucker,Denise Furey,Walt Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,8
Calvin R Tucker,0,1,1,1,0,0,0,3,8
Denise Furey,,0,1,1,0,0,0,4,8
Walt Vogler,,,0,1,0,0,0,5,8
Kathy Coder,,,,0,0,0,0,6,8
Diana Irey Vaughan,,,,,0,0,0,7,8
Jeff Bartos,,,,,,0,0,8,8
Peg Luksik,,,,,,,0,9,8
Total,1,1,1,1,0,0,0,10,8
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,11
,Denise Furey,Calvin R Tucker,Walt Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,11
Denise Furey,0,0,0,1,0,0,0,3,11
Calvin R Tucker,,0,0,0,0,0,0,4,11
Walt Vogler,,,0,0,0,0,0,5,11
Kathy Coder,,,,0,0,0,0,6,11
Diana Irey Vaughan,,,,,0,0,0,7,11
Jeff Bartos,,,,,,0,0,8,11
Peg Luksik,,,,,,,0,9,11
Total,1,0,0,1,0,0,0,10,11
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,12
,Calvin R Tucker,Denise Furey,Walt Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,12
Calvin R Tucker,0,0,0,1,0,0,0,3,12
Denise Furey,,0,0,0,0,0,0,4,12
Walt Vogler,,,0,0,0,0,0,5,12
Kathy Coder,,,,0,0,0,0,6,12
Diana Irey Vaughan,,,,,0,0,0,7,12
Jeff Bartos,,,,,,0,0,8,12
Peg Luksik,,,,,,,0,9,12
Total,1,0,0,1,0,0,0,10,12
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,13
,Denise Furey,Calvin R Tucker,Walt Vogler,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,13
Denise Furey,0,0,0,1,0,0,0,3,13
