col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Bob Casey Jr,Kathryn S Huggins,Monica Maria Djerassi,Ken Washington,Linda Norris,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,2,All
Bob Casey Jr,213,"1,282",909,882,875,857,838,735,543,505,356,351,249,229,3,All
Kathryn S Huggins,,10,727,729,690,736,707,636,405,408,224,237,190,162,4,All
Monica Maria Djerassi,,,4,464,680,490,475,571,252,374,228,213,169,122,5,All
Ken Washington,,,,8,462,652,617,416,330,190,139,167,92,110,6,All
Linda Norris,,,,,7,463,465,609,235,314,194,221,177,116,7,All
Dewayne Drummond,,,,,,6,602,428,319,209,148,154,99,94,8,All
Liam G Boyle,,,,,,,5,393,302,210,128,157,88,104,9,All
Lisa Rhodes,,,,,,,,1,184,296,159,138,176,96,10,All
Kevin Bundy,,,,,,,,,10,169,130,188,75,116,11,All
Rebecca Poyourow,,,,,,,,,,2,178,141,167,100,12,All
Joe Khan,,,,,,,,,,,1,108,96,73,13,All
Nat Lownes,,,,,,,,,,,,3,56,69,14,All
Jacque Whaumbush,,,,,,,,,,,,,0,41,15,All
John Brady,,,,,,,,,,,,,,2,16,All
Total,"1,989","1,320",943,917,913,880,861,760,574,518,372,365,257,244,17,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Bob Casey Jr,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,2,1
Bob Casey Jr,2,55,52,52,50,49,41,40,9,4,3,3,2,0,3,1
Kathryn S Huggins,,0,48,48,48,43,39,38,9,3,1,1,1,0,4,1
Dewayne Drummond,,,0,50,48,42,37,39,7,2,1,2,1,0,5,1
Ken Washington,,,,0,49,42,37,40,6,1,1,2,0,0,6,1
Liam G Boyle,,,,,0,42,37,39,7,2,1,2,0,0,7,1
Linda Norris,,,,,,0,37,39,3,2,2,1,1,0,8,1
Monica Maria Djerassi,,,,,,,0,32,4,3,2,2,2,0,9,1
Lisa Rhodes,,,,,,,,0,0,0,0,1,0,0,10,1
Kevin Bundy,,,,,,,,,1,3,1,1,1,0,11,1
Rebecca Poyourow,,,,,,,,,,0,2,2,2,0,12,1
